upptage	upptagna	V.PTCP;PST	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
jagat	jagas	V.CVB;ACT	V;PASS;IND;PRS	C
lösa	lösen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
kläder	klädda	V.CVB	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
kokt	koken	ADJ;INDF;NEUT;SG	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
säljs	sälj	V;PASS;IND;PRS	V;IMP	C
förfars	förfors	V;PASS;IND;PRS	V;PASS;IND;PST	C
besöka	besök	V;ACT;NFIN	V;IMP	C
fällas	fällda	ADJ;INDF;GEN;PL	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
bundna	bundne	ADJ;INDF;PL	ADJ;DEF;MASC;SG	C
läs	lästes	V;IMP	V;PASS;IND;PST	C
bältens	bältets	N;INDF;GEN;PL	N;DEF;GEN;SG	C
borgaren	borgarens	N;DEF;NOM;SG	N;DEF;GEN;SG	C
anklagats	anklagades	V.CVB;PASS	V;PASS;IND;PST	C
fattat	fattat	ADJ;INDF;NEUT;SG	ADJ;INDF;NEUT;SG	C
fäste	fästens	N;INDF;NOM;SG	N;INDF;GEN;PL	C
sökts	sök	V.CVB;PASS	V;IMP	C
täcke	täckt	ADJ;DEF;MASC;SG	ADJ;INDF;NEUT;SG	C
rovets	rov	N;DEF;GEN;SG	N;INDF;NOM;SG	C
upplyses	upplyses	V;PASS;IND;PRS	V;PASS;IND;PRS	C
kokar	kokade	V;ACT;IND;PRS	V;ACT;IND;PST	C
ax	ax	N;INDF;NOM;SG	N;INDF;NOM;PL	C
bäre	bärare	V.PTCP;PST	V.CVB;COMPV	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
