jagat	jagas	V.CVB;ACT	V;PASS;IND;PRS	C
skarpt	skarpa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	TGT_SLOT_ERROR
säljs	sälj	V;PASS;IND;PRS	V;IMP	C
sjuka	sjuke	V;ACT;NFIN	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
betar	beten	V;ACT;IND;PRS	N;DEF;SG	TGT_SLOT_ERROR
förfars	förfors	V;PASS;IND;PRS	V;PASS;IND;PST	C
besöka	besök	V;ACT;NFIN	V;IMP	C
bundna	bundne	ADJ;INDF;PL	ADJ;DEF;MASC;SG	C
läs	lästes	V;IMP	V;PASS;IND;PST	C
bältens	bältets	N;INDF;GEN;PL	N;DEF;GEN;SG	C
borgaren	borgarens	N;DEF;NOM;SG	N;DEF;GEN;SG	C
anklagats	anklagades	V.CVB;PASS	V;PASS;IND;PST	C
fattat	fattat	ADJ;INDF;NEUT;SG	ADJ;INDF;NEUT;SG	C
fäste	fästens	N;INDF;NOM;SG	N;INDF;GEN;PL	C
sökts	sök	V.CVB;PASS	V;IMP	C
ed	eder	N;INDF;NOM;SG	N;INDF;PL	TGT_SLOT_ERROR
fördolde	fördolda	V.PTCP;PST	V;ACT;NFIN	TGT_SLOT_ERROR
täcke	täckt	ADJ;DEF;MASC;SG	ADJ;INDF;NEUT;SG	C
vreden	vrede	ADJ;INDF;MASC+FEM;SG	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
rovets	rov	N;DEF;GEN;SG	N;INDF;NOM;SG	C
befälhavare	befälhavarna	V.PTCP;PST	V;ACT;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
upplyses	upplyses	V;PASS;IND;PRS	V;PASS;IND;PRS	C
beskärd	beskärda	V.PTCP;PST	V;ACT;NFIN	TGT_SLOT_ERROR
kokar	kokade	V;ACT;IND;PRS	V;ACT;IND;PST	C
ax	ax	N;INDF;NOM;SG	N;INDF;NOM;PL	C
lärda	lärde	ADJ;INDF;PL	ADJ;DEF;MASC;SG	C
beröms	berömde	V;PASS;IND;PRS	V;ACT;IND;PST	C
markens	marker	N;DEF;GEN;SG	N;INDF;PL	TGT_SLOT_ERROR
odjur	odjurets	N;INDF;NOM;PL	N;DEF;GEN;SG	C
befäst	befästa	V;IMP	V;ACT;NFIN	C
antänt	antänder	V.CVB;ACT	V;ACT;IND;PRS	C
blottar	blottas	V;ACT;IND;PRS	V;PASS;IND;PRS	C
utgörande	utgjordes	V.PTCP;PRS	V;PASS;IND;PST	C
rov	rovets	N;INDF;NOM;SG	N;DEF;GEN;SG	C
skötte	sköt	V;ACT;IND;PST	V;IMP	C
talat	talade	V.CVB;ACT	V;ACT;IND;PST	C
släktens	släkterna	N;DEF;GEN;SG	N;DEF;PL	TGT_SLOT_ERROR
blottar	blotta	V;ACT;IND;PRS	V;ACT;NFIN	C
blottades	blotta	V;PASS;IND;PST	V;ACT;NFIN	C
vålds	vålds	N;INDF;GEN;SG	N;INDF;GEN;SG	C
stöts	stöttes	V;PASS;IND;PRS	V;PASS;IND;PST	C
våldsverkarna	våldsverkare	V;ACT;NFIN	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
tystad	tystades	V.PTCP;PST	V;PASS;IND;PST	C
bindes	bindas	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
förras	förra	ADJ;INDF;GEN;PL	V;ACT;NFIN	TGT_SLOT_ERROR
bakhålls	bakhåll	N;INDF;GEN;SG	N;INDF;NOM;SG	C
klöv	klövs	N;INDF;NOM;SG	N;INDF;GEN;PL	TGT_SLOT_ERROR
lösts	lös	V.CVB;PASS	V;IMP	C
öppna	öppnas	V;IMP	V;PASS;IND;PRS	C
stöts	stöttes	V;PASS;IND;PRS	V;PASS;IND;PST	C
betäckas	betäck	V;PASS;NFIN	V;IMP	C
saknade	saknas	V;ACT;IND;PST	V;PASS;IND;PRS	C
byttor	byttan	N;INDF;NOM;PL	N;DEF;NOM;SG	C
bäste	bästa	V.PTCP;PST	V;ACT;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
tågas	tåga	V;PASS;NFIN	V;ACT;NFIN	C
dyrkade	dyrkas	V;ACT;IND;PST	V;PASS;NFIN	C
lära	läras	V;ACT;NFIN	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
odjurs	odjurs	N;INDF;GEN;PL	N;INDF;GEN;PL	C
sökas	söka	V;PASS;NFIN	V;ACT;NFIN	C
anställs	anställa	V;PASS;IND;PRS	V;ACT;NFIN	C
murares	murarens	N;INDF;GEN;SG	N;DEF;GEN;SG	C
årorna	årors	N;DEF;NOM;PL	N;INDF;GEN;PL	C
vilddjur	vilddjurs	N;INDF;NOM;PL	N;INDF;GEN;PL	C
flyttas	flyttar	V;PASS;NFIN	V;ACT;IND;PRS	C
blottas	blotta	V;PASS;IND;PRS	V;ACT;NFIN	C
påbudet	påbuds	N;DEF;NOM;SG	N;INDF;GEN;PL	C
värde	värden	ADJ;DEF;MASC;SG	N;DEF;SG	TGT_SLOT_ERROR
täcke	täcken	N;INDF;NOM;SG	N;INDF;NOM;PL	C
utfärdas	utfärdas	V;PASS;IND;PRS	V;PASS;IND;PRS	C
lärd	lärd	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG	C
talas	talas	V;PASS;IND;PRS	V;PASS;IND;PRS	C
utfärdad	utfärdas	V.PTCP;PST	V;PASS;NFIN	C
fästande	fästas	V.PTCP;PRS	V;PASS;NFIN	C
korsfäst	korsfästes	V.CVB;ACT	V;PASS;IND;PST	C
klätt	klädd	ADJ;INDF;NEUT;SG	ADJ;INDF;MASC+FEM;SG	C
sändande	sänds	V.PTCP;PRS	V;PASS;IND;PRS	C
upplösande	upplösas	V.PTCP;PRS	V;PASS;NFIN	C
avstånds	avståndet	N;INDF;GEN;PL	N;DEF;NOM;SG	C
libyerna	libyer	N;DEF;PL	N;INDF;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
församla	församla	V;ACT;NFIN	V;ACT;NFIN	C
kokat	kokades	V.CVB;ACT	V;PASS;IND;PST	C
blotta	blottas	V;ACT;NFIN	V;PASS;NFIN	C
mätt	mäta	V.CVB;ACT	V;ACT;NFIN	C
fortfara	fortfare	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
korsfästes	korsfästes	V;PASS;IND;PST	V;PASS;IND;PST	C
befästes	befästas	V;PASS;IND;PST	V;PASS;NFIN	C
minskar	minskade	V;ACT;IND;PRS	V;ACT;IND;PST	C
våld	vålds	N;INDF;NOM;SG	N;INDF;GEN;SG	C
blotta	blottas	V;IMP	V;PASS;IND;PRS	C
förvarar	förvarade	V;ACT;IND;PRS	V;ACT;IND;PST	C
armes	armen	V;PASS;IND;PRS	ADJ;INDF;MASC+FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
blottar	blotta	V;ACT;IND;PRS	V;ACT;NFIN	C
ringare	ringaren	N;INDF;NOM;PL	N;DEF;NOM;SG	C
upphöjd	upphöjda	V.PTCP;PST	V;ACT;NFIN	TGT_SLOT_ERROR
svängdes	svängdes	V;PASS;IND;PST	V;PASS;IND;PST	C
givna	givet	ADJ;DEF	ADJ;INDF;NEUT;SG	C
användande	använd	V.PTCP;PRS	V;IMP	C
används	använd	V;PASS;IND;PRS	V;IMP	C
drive	drivas	V.PTCP;PST	ADJ;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
uddens	uddarna	N;DEF;GEN;SG	N;DEF;NOM;PL	C
blottas	blottas	V;PASS;IND;PRS	V;PASS;NFIN	C
blottas	blottas	V;PASS;NFIN	V;PASS;IND;PRS	C
svalt	svala	ADJ;INDF;NEUT;SG	V;ACT;NFIN	TGT_SLOT_ERROR
lösande	lös	V.PTCP;PRS	V;IMP	C
stött	stöta	V.CVB;ACT	V;ACT;NFIN	C
lagade	lagades	V;ACT;IND;PST	V;PASS;IND;PST	C
täckt	täckt	ADJ;INDF;NEUT;SG	ADJ;INDF;NEUT;SG	C
stärkas	stärk	V;PASS;NFIN	V;IMP	C
blottande	blottas	V.PTCP;PRS	V;PASS;NFIN	C
bältens	bältets	N;INDF;GEN;PL	N;DEF;GEN;SG	C
utsträckt	utsträcka	V.PTCP;PST	V;ACT;NFIN	C
lame	lama	V.PTCP;PST	V;ACT;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
fast	faste	ADJ;INDF;NEUT;SG	V;ACT;IND;PST	TGT_SLOT_ERROR
anställd	anställas	V.PTCP;PST	V;PASS;NFIN	C
utför	utfördes	V;ACT;IND;PRS	V;PASS;IND;PST	C
stötande	stöta	V.PTCP;PRS	V;ACT;NFIN	C
öppnats	öppnas	V.CVB;PASS	V;PASS;IND;PRS	C
berömts	berömma	V.CVB;PASS	V;ACT;NFIN	C
upptagnast	upptagne	ADJ;INDF;NEUT;SG;SPRL	ADJ;DEF;MASC;SG	C
blotta	blotta	V;IMP	V;ACT;NFIN	C
utfärdas	utfärdar	V;PASS;IND;PRS	V;ACT;IND;PRS	C
faders	fadern	N;INDF;GEN;SG	ADJ;INDF;MASC+FEM;SG	TGT_SLOT_ERROR
städerna	städer	N;DEF;PL	N;INDF;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
öppnades	öppna	V;PASS;IND;PST	V;ACT;NFIN	C
Noa	Noas	V;ACT;NFIN	ADJ;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
alls	allt	N;INDF;GEN;SG	ADJ;INDF;NEUT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
stötande	stöta	V.PTCP;PRS	V;ACT;NFIN	C
växe	växt	V.PTCP;PST	ADJ;INDF;NEUT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
överstes	översta	V;PASS;IND;PRS	V;ACT;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
löst	lös	V.PTCP;PST	V;IMP	C
äppelträdet	äppelträds	N;DEF;NOM;SG	N;INDF;GEN;PL	C
antändande	antänder	V.PTCP;PRS	V;ACT;IND;PRS	C
blottade	blottas	V;ACT;IND;PST	V;PASS;NFIN	C
öppnas	öppna	V;PASS;NFIN	V;ACT;NFIN	C
mätt	mäta	V.PTCP;PST	V;ACT;NFIN	C
tagen	tagen	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG	C
arme	armes	V.PTCP;PST	V;PASS;IND;PRS	SRC_SLOT_ERROR;TGT_SLOT_ERROR
täcka	täcke	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
övrigas	övriga	ADJ;INDF;GEN;PL	V;ACT;NFIN	TGT_SLOT_ERROR
behöves	behövs	V;PASS;IND;PRS	N;INDF;GEN;SG	TGT_SLOT_ERROR
såld	sälj	V.PTCP;PST	V;IMP	C
sänd	sänds	V.PTCP;PST	V;PASS;IND;PRS	C
sornas	son	N;DEF;GEN;PL	N;DEF;NOM;SG	C
fyllde	fyllde	ADJ;DEF;MASC;SG	ADJ;DEF;MASC;SG	C
täckt	täckt	ADJ;INDF;NEUT;SG	ADJ;INDF;NEUT;SG	C
kos	kon	N;INDF;GEN;SG	ADJ;INDF;MASC+FEM;SG	TGT_SLOT_ERROR
konungadömes	konungadömens	N;INDF;GEN;SG	N;INDF;GEN;PL	C
vilddjurs	vilddjur	N;INDF;GEN;PL	N;INDF;NOM;SG	C
föda	födas	V;ACT;NFIN	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
lärt	lärda	ADJ;INDF;NEUT;SG	V;ACT;NFIN	TGT_SLOT_ERROR
