felldir	felldur	V;IND;PST;2;SG	V.PTCP;PST;NOM;SG	POS_PAIR_ERROR
sættir	sættið	V;IND;PRS;2;SG	V;IMP;2;PL	C
svo	svona	V;IMP;2;SG	V.PTCP;PST;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR
boðaði	boð	V;SBJV;PST;3;SG	N;INDF;ACC;SG	POS_PAIR_ERROR
keyptir	keyptu	V;IND;PST;2;SG	N;INDF;GEN;SG	TGT_SLOT_ERROR
sætti	sættir	V;SBJV;PST;1;SG	V;IND;PST;2;SG	C
heiman	heima	ADJ;ACC;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR
Haf	Hafði	V;IMP;2;SG	V;SBJV;PST;1;SG	TGT_SLOT_ERROR
sættir	sættir	V;IND;PRS;2;SG	V;IND;PRS;3;SG	C
Hafið	Hafði	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	TGT_SLOT_ERROR
handbolta	handbolta	N;INDF;DAT;SG	N;INDF;GEN;SG	C
handboltanum	handbolta	N;DEF;DAT;SG	N;INDF;DAT;SG	C
Fyrstur	Fyrsti	V.PTCP;PST;NOM;SG	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
mála	máli	V;IMP;2;SG	V;SBJV;PRS;1;SG	C
útlisti	útlista	N;INDF;DAT;SG	N;INDF;GEN;PL	SRC_LEXICAL_ERROR
hittu	hitt	V;IND;PST;3;PL	V.PTCP;PST;ACC;SG	POS_PAIR_ERROR
flokkar	flokki	N;INDF;NOM;PL	N;INDF;DAT;SG	C
Fyrsti	Fyrstur	N;INDF;DAT;SG	V.PTCP;PST;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
minnstu	minnsta	N;INDF;GEN;SG	N;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
skýr	skýr	V;IMP;2;SG	V;IMP;2;SG	C
er	eruð	N;INDF;ACC;SG	V;IND;PST;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
leyndir	leyn	V;IND;PST;2;SG	V;IMP;2;SG	C
mál	málið	N;INDF;ACC;SG	V;IMP;2;PL	POS_PAIR_ERROR
gætir	gætt	V;SBJV;PRS;2;SG	V.PTCP;PST;ACC;SG	TGT_SLOT_ERROR
köstum	kasti	V;SBJV;PRS;1;PL	V;SBJV;PRS;3;PL	C
klæddi	klæði	V;IND;PST;3;SG	V;SBJV;PRS;1;SG	C
styrkja	styrkjum	V;NFIN	V;SBJV;PRS;1;PL	C
klæðið	klæði	V;IMP;2;PL	V;SBJV;PRS;1;SG	C
flokk	flokki	N;INDF;ACC;SG	N;INDF;DAT;SG	C
skírið	skírið	V;IMP;2;PL	V;IND;PRS;2;PL	C
