сама	само	N;GEN;SG	N;ESS;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
превозносив	превозносим	V.CVB;PST	V;PRS;1;PL	C
посохом	посохи	N;INS;SG	N;ACC;PL	C
язвами	язве	N;INS;PL	N;DAT;SG	C
временных	временным	ADJ;GEN;PL	ADJ;INS;MASC;SG	C
похвалили	похвалился	V;PST;PL	V;PST;SG;MASC	PARADIGM_ERROR
звёзды	звездой	N;NOM;PL	N;INS;SG	C
растите	растишь	V;IMP;2;PL	V;PRS;2;SG	C
выводите	выводи	V;PRS;2;PL	V;IMP;2;SG	C
возвести	возвестите	V;IMP;2;SG	V;IMP;2;PL	C
спросим	спроси	V;FUT;1;PL	V;IMP;2;SG	C
петый	поют	V.PTCP;PASS;PST	V;PRS;3;PL	C
выводишь	выводи	V;PRS;2;SG	V;IMP;2;SG	C
животные	животного	N;NOM;PL	N;GEN;SG	C
выводили	выводите	V;PST;PL	V;PRS;2;PL	C
литых	литая	ADJ;GEN;PL	ADJ;NOM;FEM;SG	C
как	каков	N;NOM;SG	N;GEN;PL	POS_PAIR_ERROR;SRC_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
славив	славите	V.CVB;PST	V;PRS;2;PL	C
губим	губишь	V;PRS;1;PL	V;PRS;2;SG	C
растите	растишь	V;IMP;2;PL	V;PRS;2;SG	C
скрытое	скрыты	ADJ;ACC;NEUT;SG	ADJ;PL;LGSPEC1	C
рассеявший	рассеете	V.PTCP;ACT;PST	V;FUT;2;PL	C
царями	царям	N;INS;PL	N;DAT;PL	C
славили	славите	V;PST;PL	V;PRS;2;PL	C
умножили	умножь	V;PST;PL	V;IMP;2;SG	C
рассеете	рассеете	V;FUT;2;PL	V;FUT;2;PL	C
выпросился	выпросили	V;PST;SG;MASC	V;PST;PL	PARADIGM_ERROR
письмам	письма	N;DAT;PL	N;NOM;PL	C
неверного	неверным	ADJ;GEN;MASC;SG	ADJ;INS;NEUT;SG	C
сравнишь	сравните	V;FUT;2;SG	V;IMP;2;PL	C
возносимый	возношу	V.PTCP;PASS;PRS	V;PRS;1;SG	C
светила	светило	V;PST;SG;FEM	V;PST;SG;NEUT	C
пев	поют	V.CVB;PST	V;PRS;3;PL	C
горькой	горек	ADJ;DAT;FEM;SG	ADJ;MASC;SG;LGSPEC1	C
гумне	гумнам	N;ESS;SG	N;DAT;PL	C
решился	реши	V;PST;SG;MASC	V;IMP;2;SG	PARADIGM_ERROR
жилищ	жилища	N;GEN;PL	N;NOM;PL	C
духовного	духовная	ADJ;ANIM;ACC;MASC;SG	ADJ;NOM;FEM;SG	C
соорудите	соорудил	V;FUT;2;PL	V;PST;SG;MASC	C
губящий	губишь	V.PTCP;ACT;PRS	V;PRS;2;SG	C
выводила	выводи	V;PST;SG;FEM	V;IMP;2;SG	C
литой	литая	ADJ;INAN;ACC;MASC;SG	ADJ;NOM;FEM;SG	C
ослабейте	ослабеете	V;IMP;2;PL	V;FUT;2;PL	C
литой	литая	ADJ;INAN;ACC;MASC;SG	ADJ;NOM;FEM;SG	C
соделай	соделать	N;ACC;SG	ADJ;GEN;FEM;SG	SRC_LEXICAL_ERROR
возвести	возвестите	V;IMP;2;SG	V;IMP;2;PL	C
соорудила	соорудил	V;PST;SG;FEM	V;PST;SG;MASC	C
согрешите	согрешите	V;FUT;2;PL	V;IMP;2;PL	C
возвестите	возвестите	V;FUT;2;PL	V;IMP;2;PL	C
стороживший	сторожить	V.PTCP;ACT;PST	V;NFIN	C
выдавший	выдадите	V.PTCP;ACT;PST	V;FUT;2;PL	C
нашли	наши	V.CVB	N;ACC;PL	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
