berð	berst	N;INDF;NOM;SG	V;IND;PRS;1;SG	C
opnast	opnaði	V;IND;PRS;3;SG	V;SBJV;PST;3;SG	C
kom	komast	V;IMP;2;SG	V;IND;PRS;3;PL	C
lagði	lagt	V;SBJV;PST;1;SG	V.PTCP;PST;ACC;SG	C
útlisti	útlistum	N;INDF;DAT;SG	N;INDF;DAT;PL	SRC_LEXICAL_ERROR;TGT_LEXICAL_ERROR
skipið	skip	V;IMP;2;PL	N;INDF;ACC;SG	C
haldist	halda	V;SBJV;PRS;1;SG	V;NFIN	C
reka	reki	V;NFIN	V;SBJV;PRS;3;PL	C
hafið	haf	V;IND;PRS;2;PL	V;IMP;2;SG	C
eyrum	eyrunum	N;INDF;DAT;PL	N;DEF;DAT;PL	C
stökk	stökkti	V;IMP;2;SG	V;IND;PST;3;SG	C
dæma	dæmast	V;NFIN	V;IND;PRS;3;PL	C
gjaldi	gjalda	N;INDF;DAT;SG	N;INDF;GEN;PL	C
færð	færir	N;INDF;NOM;SG	V;SBJV;PRS;2;SG	C
breytist	breytti	V;SBJV;PRS;1;SG	V;IND;PST;3;SG	C
brenna	brennu	N;INDF;GEN;PL	N;INDF;GEN;SG	C
færði	færir	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
virði	virða	V;SBJV;PRS;3;PL	V;NFIN	C
hafir	hafa	V;SBJV;PRS;2;SG	V;NFIN	C
mælir	mæli	V;SBJV;PRS;2;SG	V;SBJV;PRS;3;PL	C
rek	reki	V;IMP;2;SG	V;SBJV;PRS;3;PL	C
missir	missi	V;SBJV;PRS;2;SG	V;SBJV;PRS;3;PL	C
boðið	boðum	V;IMP;2;PL	N;INDF;DAT;PL	C
berast	ber	V;IND;PRS;3;PL	V;IMP;2;SG	C
fyllast	fylla	V;IND;PRS;3;PL	V;NFIN	C
skipa	skipaði	N;INDF;GEN;PL	V;SBJV;PST;3;SG	C
fáist	fá	V;SBJV;PRS;1;SG	V;IMP;2;SG	C
skjótast	skjótum	V;IND;PRS;3;PL	V;SBJV;PRS;1;PL	C
komna	komist	V.PTCP;PST;GEN;SG	V;SBJV;PRS;1;SG	C
ráðum	ráð	N;INDF;DAT;PL	N;INDF;ACC;SG	C
fæddu	fæddir	N;INDF;GEN;SG	V;IND;PST;2;SG	C
mundir	mundum	V;IND;PST;2;SG	N;INDF;DAT;PL	C
réttu	rétt	N;INDF;GEN;SG	N;INDF;ACC;SG	C
líki	lík	V;SBJV;PRS;3;PL	V;IMP;2;SG	C
tíð	tíða	N;INDF;ACC;SG	N;INDF;GEN;PL	C
áttundi	áttunda	N;INDF;DAT;SG	N;INDF;GEN;PL	C
merkir	merkti	V;SBJV;PRS;2;SG	V;IND;PST;3;SG	C
komst	komna	V;IND;PRS;1;SG	V.PTCP;PST;GEN;SG	C
aukast	aukist	V;IND;PRS;3;PL	V;SBJV;PRS;1;SG	C
líkt	líkir	V.PTCP;PST;ACC;SG	V;SBJV;PRS;2;SG	C
hópum	hópi	N;INDF;DAT;PL	N;INDF;DAT;SG	C
látið	látum	V;IND;PRS;2;PL	V;SBJV;PRS;1;PL	C
anda	andaði	N;INDF;GEN;PL	V;SBJV;PST;3;SG	C
hvílíks	hvílíkir	PRN;INDF;GEN;SG	V;IND;PST;2;SG	SRC_LEXICAL_ERROR
svaraði	svarið	V;SBJV;PST;3;SG	V;IMP;2;PL	C
stær	stærir	V;IMP;2;SG	V;SBJV;PRS;2;SG	SRC_LEXICAL_ERROR
auk	auka	V;IMP;2;SG	V;NFIN	C
ríkti	ríkið	V;IND;PST;3;SG	V;IND;PRS;2;PL	C
komist	kom	V;SBJV;PRS;1;SG	V;IMP;2;SG	C
veittu	veitast	V;IND;PST;3;PL	V;IND;PRS;3;PL	C
hópa	hóp	N;INDF;GEN;PL	N;INDF;ACC;SG	C
heyrðum	heyrðir	N;INDF;DAT;PL	V;IND;PST;2;SG	C
gjörast	gjörist	V;IND;PRS;3;PL	V;SBJV;PRS;1;SG	C
birtum	birta	V;SBJV;PRS;1;PL	V;NFIN	C
líkur	líki	V;IND;PRS;2;SG	V;SBJV;PRS;3;PL	C
borgir	borga	V;IND;PST;2;SG	N;INDF;GEN;PL	C
byggist	byggði	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
fiska	fiskinn	N;INDF;GEN;PL	N;DEF;ACC;SG	C
skjótast	skjóta	V;IND;PRS;3;PL	V;NFIN	C
byggðum	byggðir	N;INDF;DAT;PL	V;IND;PST;2;SG	C
réttur	réttu	V.PTCP;PST;NOM;SG	N;INDF;GEN;SG	C
seldu	seldir	N;INDF;GEN;SG	V;IND;PST;2;SG	C
kasta	kastið	N;INDF;GEN;PL	V;IMP;2;PL	C
mælum	mælir	V;SBJV;PRS;1;PL	V;SBJV;PRS;2;SG	C
fylltu	fyllist	V;IND;PST;3;PL	V;SBJV;PRS;1;SG	C
reiðum	reiði	N;INDF;DAT;PL	N;INDF;DAT;SG	C
klæðum	klæða	N;INDF;DAT;PL	N;INDF;GEN;PL	C
breyttu	breyta	V;IND;PST;3;PL	V;NFIN	C
vanheilagan	vanheilagt	ADJ;ACC;SG	N;INDF;ACC;SG	SRC_LEXICAL_ERROR
haldast	halda	V;IND;PRS;3;PL	V;NFIN	C
lok	loka	N;INDF;ACC;SG	N;INDF;GEN;PL	C
gæti	gætu	V;SBJV;PRS;3;PL	V;SBJV;PST;3;PL	C
megið	mega	V;IND;PRS;2;PL	V;NFIN	C
dæmist	dæmast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
auki	aukast	V;SBJV;PRS;3;PL	V;IND;PRS;3;PL	C
skipa	skipast	N;INDF;GEN;PL	V;IND;PRS;3;SG	C
klæða	klæði	N;INDF;GEN;PL	N;INDF;DAT;SG	C
greina	greinunum	N;INDF;GEN;PL	N;DEF;DAT;PL	C
fyllir	fyllast	V;SBJV;PRS;2;SG	V;IND;PRS;3;PL	C
líkir	lík	V;SBJV;PRS;2;SG	V;IMP;2;SG	C
kæru	kærir	V;SBJV;PST;3;PL	V;SBJV;PRS;2;SG	C
líkið	líkir	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
þúsundum	þúsundunum	N;INDF;DAT;PL	N;DEF;DAT;PL	C
gríska	grísku	N;INDF;GEN;PL	N;INDF;GEN;SG	C
gefinn	gefin	N;DEF;ACC;SG	V.PTCP;PST;ACC;PL	C
vissuð	vissir	V;IND;PST;2;PL	V;IND;PST;2;SG	C
reyndur	reyndir	V.PTCP;PST;NOM;SG	V;IND;PST;2;SG	C
skrifi	skrifaði	N;INDF;DAT;SG	V;SBJV;PST;3;SG	C
mælir	mælið	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
þekkist	þekktu	V;SBJV;PRS;1;SG	V;IND;PST;3;PL	C
háls	hálsinn	N;INDF;ACC;SG	N;DEF;ACC;SG	C
færu	færir	V;SBJV;PST;3;PL	V;SBJV;PRS;2;SG	C
aftrið	aftrar	V;IMP;2;PL	ADJ;NOM;PL	SRC_LEXICAL_ERROR
muni	munum	V;SBJV;PRS;3;PL	V;SBJV;PRS;1;PL	C
talaði	talið	V;SBJV;PST;3;SG	V;IMP;2;PL	C
vissu	vissir	N;INDF;GEN;SG	V;IND;PST;2;SG	C
boði	boða	N;INDF;DAT;SG	N;INDF;GEN;PL	C
fylli	fyllti	V;SBJV;PRS;3;PL	V;IND;PST;3;SG	C
hvílíks	hvílíka	PRN;INDF;GEN;SG	N;INDF;GEN;PL	SRC_LEXICAL_ERROR
reki	rekið	V;SBJV;PRS;3;PL	V;IND;PRS;2;PL	C
byggðu	byggir	V.PTCP;PST;DAT;PL	V;SBJV;PRS;2;SG	C
komist	komast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
megum	mega	V;SBJV;PRS;1;PL	V;NFIN	C
grein	greinunum	N;INDF;ACC;SG	N;DEF;DAT;PL	C
boð	boðum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
leysti	leysa	V;IND;PST;3;SG	V;NFIN	C
leita	leitaði	N;INDF;GEN;PL	V;SBJV;PST;3;SG	C
álit	áliti	N;INDF;ACC;SG	N;INDF;DAT;SG	C
senda	sendum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
vakir	vaka	V;SBJV;PRS;2;SG	V;NFIN	C
mælum	mæli	V;SBJV;PRS;1;PL	V;SBJV;PRS;3;PL	C
fundinn	fundum	N;DEF;ACC;SG	N;INDF;DAT;PL	C
virðast	virði	V;IND;PRS;3;PL	V;SBJV;PRS;3;PL	C
ríkið	ríki	V;IND;PRS;2;PL	V;SBJV;PRS;3;PL	C
þúsund	þúsundunum	N;INDF;ACC;SG	N;DEF;DAT;PL	C
mun	muni	V;IMP;2;SG	V;SBJV;PRS;3;PL	C
líkist	líkir	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
fært	færðu	V.PTCP;PST;ACC;SG	V.PTCP;PST;DAT;PL	C
gætir	gætti	V;SBJV;PRS;2;SG	V;IND;PST;3;SG	C
máli	málum	N;INDF;DAT;SG	N;INDF;DAT;PL	C
horft	horfum	V.PTCP;PST;ACC;SG	V;SBJV;PRS;1;PL	C
gættu	gætu	V;IND;PST;3;PL	V;SBJV;PST;3;PL	C
skiptum	skiptið	N;INDF;DAT;PL	V;IMP;2;PL	C
hneigðu	hneigði	V.PTCP;PST;DAT;PL	V;SBJV;PST;1;SG	C
leyst	leysir	V.PTCP;PST;ACC;SG	V;SBJV;PRS;2;SG	C
fjarlægð	fjarlægir	N;INDF;NOM;SG	V;SBJV;PRS;2;SG	C
hóp	hópum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
þúsunda	þúsund	N;INDF;GEN;PL	N;INDF;ACC;SG	C
hópum	hóp	N;INDF;DAT;PL	N;INDF;ACC;SG	C
þreytst	þreytum	V;IND;PRS;1;SG	V;SBJV;PRS;1;PL	SRC_LEXICAL_ERROR
komu	koma	V;SBJV;PST;3;PL	V;NFIN	C
langi	langað	N;INDF;DAT;SG	V.CVB	C
Haf	Hafið	V;IMP;2;SG	V;IND;PRS;2;PL	C
flokkinn	flokka	N;DEF;ACC;SG	N;INDF;GEN;PL	C
Látum	Látið	V;SBJV;PRS;1;PL	V;IND;PRS;2;PL	C
þekkist	þekkti	V;SBJV;PRS;1;SG	V;IND;PST;3;SG	C
dána	dáið	V.PTCP;PST;GEN;SG	V;IND;PRS;2;PL	C
látna	láta	V.PTCP;PST;GEN;SG	V;NFIN	C
gjörist	gjörði	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
gifta	gift	V;NFIN	V;IMP;2;SG	C
lofið	lofaði	V;IMP;2;PL	V;SBJV;PST;3;SG	C
veitast	veittu	V;IND;PRS;3;PL	V;IND;PST;3;PL	C
gjörir	gjörði	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
skýrðu	skýrt	V.PTCP;PST;DAT;PL	V.PTCP;PST;ACC;SG	C
tíðum	tíð	N;INDF;DAT;PL	N;INDF;ACC;SG	C
