утром	утре	N;INS;SG	N;ESS;SG	C
объясни	объяснили	V;IMP;2;SG	V;PST;PL	C
призванных	призванные	ADJ;ESS;PL	ADJ;NOM;PL	C
жилищу	жилищам	N;DAT;SG	N;DAT;PL	C
развалиною	развалинам	ADJ;INS;FEM;SG	N;DAT;PL	C
затворила	затворить	V;PST;SG;FEM	V;NFIN	C
бичом	бич	N;INS;SG	N;NOM;SG	C
новом	новым	N;INS;SG	ADJ;INS;MASC;SG	C
провозгласите	провозгласили	V;FUT;2;PL	V;PST;PL	C
выходила	выходит	V;PST;SG;FEM	V;FUT;3;SG	C
выбросить	выбросили	V;NFIN	V;PST;PL	C
переходили	переходят	V;PST;PL	V;PRS;3;PL	C
первое	первых	ADJ;NOM;NEUT;SG	N;GEN;PL	C
саранчу	саранче	N;DAT;SG	N;ESS;SG	C
фараонов	фараона	N;GEN;PL	N;GEN;SG	C
малых	малым	N;GEN;PL	ADJ;INS;MASC;SG	C
Велика	Велик	N;GEN;SG	N;NOM;SG	C
раздражите	раздражить	V;FUT;2;PL	V;NFIN	C
проводите	проводили	V;FUT;2;PL	V;PST;PL	C
стражи	стражам	N;NOM;PL	N;DAT;PL	C
живым	живою	ADJ;INS;MASC;SG	ADJ;INS;FEM;SG	C
скоту	скоте	N;DAT;SG	N;ESS;SG	C
заключен	заключите	V.PTCP;PASS;PST	V;FUT;2;PL	C
находила	находили	V;PST;SG;FEM	V;PST;PL	C
жертв	жертвам	N;NOM;SG	N;DAT;PL	C
соделала	соделались	ADJ;FEM;SG;LGSPEC1	NUM;NOM;PL	SRC_LEXICAL_ERROR
мертвою	мертвый	ADJ;INS;FEM;SG	ADJ;ACC;MASC;SG	C
доходит	доходила	V;FUT;3;SG	V;PST;SG;FEM	C
налагали	налагайте	V.CVB	V;IMP;2;PL	C
жертвою	жертвы	ADJ;INS;FEM;SG	N;NOM;PL	C
звездах	звездам	N;ESS;PL	N;DAT;PL	C
скрепите	скрепить	V;FUT;2;PL	V;NFIN	C
темным	темных	ADJ;INS;NEUT;SG	ADJ;ESS;PL	C
добре	добра	N;ESS;SG	N;GEN;SG	C
возлюбили	возлюби	V;PST;PL	V;IMP;2;SG	C
запретить	запрети	V;NFIN	V;IMP;2;SG	C
простертой	простертым	ADJ;ESS;FEM;SG	ADJ;INS;MASC;SG	C
нечистым	нечистые	ADJ;INS;MASC;SG	ADJ;ACC;PL	C
святою	святой	ADJ;INS;FEM;SG	ADJ;ESS;FEM;SG	C
глазом	глазу	N;INS;SG	N;DAT;SG	C
заклятое	заклятым	ADJ;NOM;NEUT;SG	ADJ;INS;MASC;SG	C
беременную	беременная	ADJ;ACC;FEM;SG	ADJ;NOM;FEM;SG	C
расслабленного	расслабленным	ADJ;GEN;NEUT;SG	ADJ;INS;NEUT;SG	C
имеют	имея	V;FUT;3;PL	V.CVB;PRS	C
Дан	Даном	N;NOM;SG	N;INS;SG	C
души	душа	N;NOM;PL	N;GEN;SG	C
перемените	переменили	V;FUT;2;PL	V;PST;PL	C
богам	богами	N;DAT;PL	N;INS;PL	C
проходите	проходят	V;FUT;2;PL	V;PRS;3;PL	C
пьяною	пьяные	ADJ;INS;FEM;SG	ADJ;ACC;PL	C
схватите	схватить	V;FUT;2;PL	V;NFIN	C
пролить	пролили	V;NFIN	V;PST;PL	C
убитого	убитой	ADJ;GEN;MASC;SG	ADJ;ESS;FEM;SG	C
твердых	твердой	N;GEN;PL	ADJ;ESS;FEM;SG	C
выходила	выходить	V;PST;SG;FEM	V;NFIN	C
духу	духом	N;DAT;SG	N;INS;SG	C
трава	траве	N;GEN;SG	N;ESS;SG	C
строишь	строите	V;FUT;2;SG	V;FUT;2;PL	C
наследуйте	наследует	V;IMP;2;PL	V;PRS;3;SG	C
простертым	простертой	ADJ;INS;MASC;SG	ADJ;ESS;FEM;SG	C
доходила	доходит	V;PST;SG;FEM	V;FUT;3;SG	C
заменим	заменили	V;IMP;1;PL	V;PST;PL	C
признает	признайте	V;PRS;3;SG	V;IMP;2;PL	C
отвратили	отвратить	V;PST;PL	V;NFIN	C
отпустить	отпустим	V;NFIN	V;IMP;1;PL	C
собранные	собранный	ADJ;NOM;PL	ADJ;NOM;MASC;SG	C
ненаказанно	ненаказанным	N;ESS;SG	ADJ;INS;MASC;SG	SRC_LEXICAL_ERROR
очистите	очисти	V;FUT;2;PL	V;IMP;2;SG	C
носился	носили	V;PST;SG;MASC	V;PST;PL	C
вороные	ворона	ADJ;ACC;PL	N;GEN;SG	C
почитаете	почитает	V;PRS;2;PL	V;PRS;3;SG	C
тьмы	тьме	N;NOM;PL	N;ESS;SG	C
попускал	попускаешь	ADJ;MASC;SG;LGSPEC1	V;PRS;2;SG	C
затворила	затворили	V;PST;SG;FEM	V;PST;PL	C
говори	говорили	V;IMP;2;SG	V;PST;PL	C
осквернили	осквернить	V;PST;PL	V;NFIN	C
сестрою	сестре	ADJ;INS;FEM;SG	N;ESS;SG	C
права	правого	N;GEN;SG	ADJ;GEN;MASC;SG	C
познать	познаешь	ADJ;GEN;FEM;SG	V;PRS;2;SG	C
растили	растила	V;PST;PL	V;PST;SG;FEM	C
богатым	богатых	ADJ;INS;MASC;SG	N;GEN;PL	C
черви	червь	N;ACC;PL	N;ACC;SG	C
поя	пою	V.CVB;PRS	V;PRS;1;SG	C
приложить	приложили	V;NFIN	V;PST;PL	C
спроси	спросить	V;IMP;2;SG	V;NFIN	C
вноси	вносить	V;IMP;2;SG	V;NFIN	C
онемело	онемеешь	V;PST;SG;NEUT	V;PRS;2;SG	C
признали	признают	V.CVB	V;FUT;3;PL	C
дал	дала	ADJ;MASC;SG;LGSPEC1	ADJ;FEM;SG;LGSPEC1	C
голодным	голодных	ADJ;INS;NEUT;SG	ADJ;ESS;PL	C
любимую	любимый	ADJ;ACC;FEM;SG	ADJ;ACC;MASC;SG	C
язвою	язве	ADJ;INS;FEM;SG	N;ESS;SG	C
познаете	познаю	V;PRS;2;PL	V;PRS;1;SG	C
находят	находился	V;PRS;3;PL	V;PST;SG;MASC	C
желчи	желчь	N;ACC;PL	N;ACC;SG	C
пророчествуй	пророчествуйте	N;ACC;SG	V;IMP;2;PL	C
твердом	твердой	N;INS;SG	ADJ;ESS;FEM;SG	C
наполнить	наполнили	V;NFIN	V;PST;PL	C
сокруши	сокрушили	V;IMP;2;SG	V;PST;PL	C
убогие	убогого	V.PTCP;ACT;PST	ADJ;GEN;MASC;SG	C
выходили	выходите	V;PST;PL	V;FUT;2;PL	C
вороной	вороны	ADJ;ESS;FEM;SG	N;NOM;PL	C
лесу	леса	N;DAT;SG	N;GEN;SG	C
новое	новые	ADJ;NOM;NEUT;SG	ADJ;ACC;PL	C
сходим	сходите	V;IMP;1;PL	V;FUT;2;PL	C
открыт	открытой	N;NOM;SG	ADJ;ESS;FEM;SG	C
победит	победили	V;FUT;3;SG	V;PST;PL	C
отходят	отходила	V;PRS;3;PL	V;PST;SG;FEM	C
Дину	Дине	N;DAT;SG	N;ESS;SG	C
обнови	обновить	V;IMP;2;SG	V;NFIN	C
приводили	приводить	V;PST;PL	V;NFIN	C
родишь	родили	V;FUT;2;SG	V;PST;PL	C
внушили	внуши	V;PST;PL	V;IMP;2;SG	C
вышли	вышло	V.CVB	V;PST;SG;NEUT	C
утомленного	утомленный	ADJ;GEN;NEUT;SG	ADJ;NOM;MASC;SG	C
Христу	Христа	N;DAT;SG	N;GEN;SG	C
теснить	теснили	V;NFIN	V;PST;PL	C
возлюбленных	возлюбленной	N;GEN;PL	ADJ;ESS;FEM;SG	C
возлюбленный	возлюбленною	ADJ;ACC;MASC;SG	ADJ;INS;FEM;SG	C
разреши	разрешить	V;IMP;2;SG	V;NFIN	C
рассудить	рассудили	V;NFIN	V;PST;PL	C
Иудину	Иудиной	N;DAT;SG	ADJ;ESS;FEM;SG	C
побили	побить	V;PST;PL	V;NFIN	C
наполните	наполни	V;FUT;2;PL	V;IMP;2;SG	C
родили	родить	V;PST;PL	V;NFIN	C
убила	убить	V;PST;SG;FEM	V;NFIN	C
жаб	жабы	N;NOM;SG	N;NOM;PL	C
творите	творила	V;FUT;2;PL	V;PST;SG;FEM	C
считал	считаешь	ADJ;MASC;SG;LGSPEC1	V;PRS;2;SG	C
отправили	отправить	V;PST;PL	V;NFIN	C
любимую	любимых	ADJ;ACC;FEM;SG	N;GEN;PL	C
убитые	убитый	ADJ;ACC;PL	ADJ;ACC;MASC;SG	C
сходит	сходишь	V;FUT;3;SG	V;FUT;2;SG	C
приклонили	приклони	V;PST;PL	V;IMP;2;SG	C
рои	рой	N;ACC;PL	N;ACC;SG	C
пара	пары	N;GEN;SG	N;NOM;PL	C
отходит	отходили	V;FUT;3;SG	V;PST;PL	C
истребите	истребили	V;FUT;2;PL	V;PST;PL	C
хвалите	хвалить	V;FUT;2;PL	V;NFIN	C
взял	взяло	ADJ;MASC;SG;LGSPEC1	V;PST;SG;NEUT	C
губить	губили	V;NFIN	V;PST;PL	C
чужого	чужой	ADJ;GEN;MASC;SG	ADJ;ESS;FEM;SG	C
находили	находим	V;PST;PL	V;IMP;1;PL	C
немых	немого	N;GEN;PL	ADJ;GEN;MASC;SG	C
осудили	осудить	V;PST;PL	V;NFIN	C
заключи	заключили	V;IMP;2;SG	V;PST;PL	C
Духом	Духу	N;INS;SG	N;DAT;SG	C
весу	весе	N;DAT;SG	N;ESS;SG	C
вносить	вноси	V;NFIN	V;IMP;2;SG	C
почитал	почитаете	ADJ;MASC;SG;LGSPEC1	V;PRS;2;PL	C
запретили	запретить	V;PST;PL	V;NFIN	C
дух	духами	N;NOM;SG	N;INS;PL	C
соделала	соделали	ADJ;FEM;SG;LGSPEC1	V.CVB	SRC_LEXICAL_ERROR
Христов	Христом	N;GEN;PL	N;INS;SG	C
Святом	Святого	N;INS;SG	ADJ;GEN;MASC;SG	C
убитою	убитым	ADJ;INS;FEM;SG	ADJ;INS;MASC;SG	C
переносить	переноси	V;NFIN	V;IMP;2;SG	C
мечом	мечи	N;INS;SG	N;NOM;PL	C
фараон	фараоном	N;NOM;SG	N;INS;SG	C
преступить	преступили	V;NFIN	V;PST;PL	C
лукавые	лукавый	ADJ;ACC;PL	ADJ;ACC;MASC;SG	C
стража	стражами	N;GEN;SG	N;INS;PL	C
горды	гордою	N;NOM;PL	ADJ;INS;FEM;SG	C
выводили	выводить	V;PST;PL	V;NFIN	C
возбуди	возбудите	V;IMP;2;SG	V;FUT;2;PL	C
отправляли	отправляйте	V.CVB	V;IMP;2;PL	C
тьмою	тьме	ADJ;INS;FEM;SG	N;ESS;SG	C
белом	белые	N;INS;SG	ADJ;ACC;PL	C
целую	целого	ADJ;ACC;FEM;SG	ADJ;GEN;MASC;SG	C
были	было	V.CVB	V;PST;SG;NEUT	C
обитать	обитая	ADJ;GEN;FEM;SG	V.CVB;PRS	C
пара	пару	N;GEN;SG	N;DAT;SG	C
приводите	приводить	V;FUT;2;PL	V;NFIN	C
выбросите	выбросили	V;FUT;2;PL	V;PST;PL	C
половиною	половинах	ADJ;INS;FEM;SG	N;ESS;PL	C
пьяные	пьяного	ADJ;ACC;PL	ADJ;GEN;MASC;SG	C
выходим	выходите	V;IMP;1;PL	V;FUT;2;PL	C
прямой	прямых	ADJ;ESS;FEM;SG	N;GEN;PL	C
дух	духу	N;NOM;SG	N;DAT;SG	C
переходили	переходит	V;PST;PL	V;FUT;3;SG	C
вредить	вредили	V;NFIN	V;PST;PL	C
принимай	принимайте	N;ACC;SG	V;IMP;2;PL	C
отходят	отходить	V;PRS;3;PL	V;NFIN	C
охраняющий	охраняйте	V.PTCP;ACT;PRS	V;IMP;2;PL	C
погрешите	погрешили	V;FUT;2;PL	V;PST;PL	C
находят	находила	V;PRS;3;PL	V;PST;SG;FEM	C
узнаем	узнаете	V;PRS;1;PL	V;PRS;2;PL	C
сходишь	сходит	V;FUT;2;SG	V;FUT;3;SG	C
благословила	благословите	V;PST;SG;FEM	V;FUT;2;PL	C
немых	немой	N;GEN;PL	ADJ;ESS;FEM;SG	C
приносить	приноси	V;NFIN	V;IMP;2;SG	C
разбирать	разбирайте	ADJ;GEN;FEM;SG	V;IMP;2;PL	C
слеп	слепой	N;NOM;SG	ADJ;ESS;FEM;SG	C
града	град	N;GEN;SG	N;NOM;SG	C
наступив	наступить	V.CVB;PST	V;NFIN	C
вспомни	вспомнили	V;IMP;2;SG	V;PST;PL	C
язвах	язвами	N;ESS;PL	N;INS;PL	C
носильщиками	носильщиков	N;INS;PL	N;GEN;PL	C
скалах	скала	N;ESS;PL	N;GEN;SG	C
выводить	выводит	V;NFIN	V;FUT;3;SG	C
заключите	заключи	V;FUT;2;PL	V;IMP;2;SG	C
саранче	саранчи	N;ESS;SG	N;NOM;PL	C
скованный	скованного	ADJ;ACC;MASC;SG	ADJ;GEN;MASC;SG	C
лесах	леса	N;ESS;PL	N;GEN;SG	C
верхом	верха	N;INS;SG	N;GEN;SG	C
подносили	подносят	V;PST;PL	V;PRS;3;PL	C
нечист	нечистых	N;NOM;SG	N;GEN;PL	C
сторожу	сторож	N;DAT;SG	N;NOM;SG	C
отложи	отложили	V;IMP;2;SG	V;PST;PL	C
находят	находили	V;PRS;3;PL	V;PST;PL	C
смешанного	смешанное	ADJ;GEN;MASC;SG	ADJ;NOM;NEUT;SG	C
обратили	обратить	V;PST;PL	V;NFIN	C
проклятою	проклятые	ADJ;INS;FEM;SG	ADJ;ACC;PL	C
Богом	Боге	N;INS;SG	N;ESS;SG	C
Хочет	Хочешь	V;PRS;3;SG	V;PRS;2;SG	C
одержимого	одержимых	ADJ;GEN;MASC;SG	N;GEN;PL	C
служила	служить	V;PST;SG;FEM	V;NFIN	C
добро	доброю	N;ESS;SG	ADJ;INS;FEM;SG	C
мечом	меча	N;INS;SG	N;GEN;SG	C
находит	находили	V;FUT;3;SG	V;PST;PL	C
тысяч	тысяче	N;NOM;SG	N;ESS;SG	C
вкусить	вкусили	V;NFIN	V;PST;PL	C
возлюбленный	возлюбленной	ADJ;ACC;MASC;SG	ADJ;ESS;FEM;SG	C
объявите	объявили	V;FUT;2;PL	V;PST;PL	C
пролили	пролить	V;PST;PL	V;NFIN	C
войском	войске	N;INS;SG	N;ESS;SG	C
свободным	свободный	ADJ;INS;NEUT;SG	ADJ;NOM;MASC;SG	C
спросить	спросили	V;NFIN	V;PST;PL	C
золоте	золотом	N;ESS;SG	N;INS;SG	C
