láta	látum	V;NFIN	V;SBJV;PRS;1;PL	C
þúsundum	þúsund	N;INDF;DAT;PL	N;INDF;ACC;SG	C
gifta	giftist	V;NFIN	V;SBJV;PRS;1;SG	C
breiddu	breidd	N;INDF;GEN;SG	N;INDF;ACC;SG	C
halda	haldast	V;NFIN	V;IND;PRS;3;PL	C
auk	aukið	V;IMP;2;SG	V;IND;PRS;2;PL	C
stökkti	stökktu	V;IND;PST;3;SG	V;IND;PST;3;PL	C
boðin	boði	V.PTCP;PST;ACC;PL	N;INDF;DAT;SG	C
elska	elsku	N;INDF;GEN;PL	N;INDF;GEN;SG	C
fylla	fyllist	V;NFIN	V;SBJV;PRS;1;SG	C
byggður	byggðir	V.PTCP;PST;NOM;SG	V;IND;PST;2;SG	C
skilinn	skilið	N;DEF;ACC;SG	V;IMP;2;PL	C
boðum	boði	N;INDF;DAT;PL	N;INDF;DAT;SG	C
borga	borgum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
flokkinn	flokka	N;DEF;ACC;SG	N;INDF;GEN;PL	C
gæti	gætti	V;SBJV;PRS;3;PL	V;IND;PST;3;SG	C
heilla	heill	N;INDF;GEN;PL	N;INDF;ACC;SG	C
leyfið	leyfi	V;IND;PRS;2;PL	V;SBJV;PRS;3;PL	C
málið	málum	V;IMP;2;PL	N;INDF;DAT;PL	C
grein	greinunum	N;INDF;ACC;SG	N;DEF;DAT;PL	C
Kom	Koma	N;INDF;ACC;SG	N;INDF;GEN;PL	C
birtir	birti	V;SBJV;PRS;2;SG	V;SBJV;PRS;3;PL	C
búist	búið	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
fyllti	fylltu	V;IND;PST;3;SG	V;IND;PST;3;PL	C
lík	líka	V;IMP;2;SG	V;NFIN	C
komna	koma	V.PTCP;PST;GEN;SG	V;NFIN	C
vona	vonum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
skrifa	skrifaði	N;INDF;GEN;PL	V;SBJV;PST;3;SG	C
Komum	Komu	N;INDF;DAT;PL	N;INDF;GEN;SG	C
Látið	Látum	V;IND;PRS;2;PL	V;SBJV;PRS;1;PL	C
halda	haldið	V;NFIN	V;IND;PRS;2;PL	C
klæddum	klædduð	N;INDF;DAT;PL	V;IND;PST;2;PL	C
byggð	byggði	N;INDF;NOM;SG	V;SBJV;PST;1;SG	C
tali	talaði	N;INDF;DAT;SG	V;SBJV;PST;3;SG	C
þúsunda	þúsundunum	N;INDF;GEN;PL	N;DEF;DAT;PL	C
fást	fá	V;IND;PRS;1;SG	V;IMP;2;SG	C
skipa	skipaði	N;INDF;GEN;PL	V;SBJV;PST;3;SG	C
fæðist	fæða	V;SBJV;PRS;1;SG	V;NFIN	C
þúsundunum	þúsunda	N;DEF;DAT;PL	N;INDF;GEN;PL	C
fundið	fundin	V;IMP;2;PL	V.PTCP;PST;ACC;PL	C
hafði	hafa	V;SBJV;PST;1;SG	V;NFIN	C
styrki	styrkir	V;SBJV;PRS;3;PL	V;SBJV;PRS;2;SG	C
tjá	tjáði	V;IMP;2;SG	V;SBJV;PST;1;SG	C
ríki	ríkið	V;SBJV;PRS;3;PL	V;IND;PRS;2;PL	C
sé	séum	V;IMP;2;SG	V;SBJV;PRS;1;PL	C
öðlast	öðlist	V;IND;PRS;3;PL	V;SBJV;PRS;1;SG	C
færist	færði	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
komum	komast	V;SBJV;PRS;1;PL	V;IND;PRS;3;PL	C
látið	látum	V;IND;PRS;2;PL	V;SBJV;PRS;1;PL	C
græddi	græddur	N;INDF;DAT;SG	V.PTCP;PST;NOM;SG	C
styrktu	styrkist	V;IND;PST;3;PL	V;SBJV;PRS;1;SG	C
gjöri	gjörir	V;SBJV;PRS;3;PL	V;SBJV;PRS;2;SG	C
leyfi	leyfði	V;SBJV;PRS;3;PL	V;SBJV;PST;1;SG	C
læsir	læsti	V;SBJV;PRS;2;SG	V;IND;PST;3;SG	C
kallaði	kallast	V;SBJV;PST;3;SG	V;IND;PRS;3;SG	C
settum	settuð	N;INDF;DAT;PL	V;IND;PST;2;PL	C
fleygt	fleygði	V.PTCP;PST;ACC;SG	V;SBJV;PST;1;SG	C
þolið	þoli	V;IMP;2;PL	N;INDF;DAT;SG	C
líkist	líkir	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
reki	rek	V;SBJV;PRS;3;PL	V;IMP;2;SG	C
byggðu	byggði	V.PTCP;PST;DAT;PL	V;SBJV;PST;1;SG	C
boði	boðið	N;INDF;DAT;SG	V;IMP;2;PL	C
ríkt	ríkti	V.PTCP;PST;ACC;SG	V;IND;PST;3;SG	C
byggð	byggist	N;INDF;NOM;SG	V;SBJV;PRS;1;SG	C
leggur	leggi	V;IND;PRS;2;SG	V;SBJV;PRS;3;PL	C
skrifi	skrifum	N;INDF;DAT;SG	N;INDF;DAT;PL	C
hætt	hætta	N;INDF;ACC;SG	N;INDF;GEN;PL	C
hópur	hóp	V.PTCP;PST;NOM;SG	N;INDF;ACC;SG	C
sendum	sendi	N;INDF;DAT;PL	N;INDF;DAT;SG	C
leiði	leiða	N;INDF;DAT;SG	N;INDF;GEN;PL	C
boði	boð	N;INDF;DAT;SG	N;INDF;ACC;SG	C
styrki	styrkti	V;SBJV;PRS;3;PL	V;IND;PST;3;SG	C
líkur	líkt	V;IND;PRS;2;SG	V.PTCP;PST;ACC;SG	C
reiðir	reiði	V;IND;PST;2;SG	N;INDF;DAT;SG	C
sleppir	slepptu	V;SBJV;PRS;2;SG	V;IND;PST;3;PL	C
hættu	hætti	N;INDF;GEN;SG	N;INDF;DAT;SG	C
færist	færu	V;SBJV;PRS;1;SG	V;SBJV;PST;3;PL	C
boðið	boðum	V;IMP;2;PL	N;INDF;DAT;PL	C
þekkti	þekkist	V;IND;PST;3;SG	V;SBJV;PRS;1;SG	C
hópa	hópinn	N;INDF;GEN;PL	N;DEF;ACC;SG	C
aukast	auki	V;IND;PRS;3;PL	V;SBJV;PRS;3;PL	C
skipa	skipið	N;INDF;GEN;PL	V;IMP;2;PL	C
boðin	boða	V.PTCP;PST;ACC;PL	N;INDF;GEN;PL	C
kæra	kærir	V;NFIN	V;SBJV;PRS;2;SG	C
hafna	hafið	V.PTCP;PST;GEN;SG	V;IND;PRS;2;PL	C
talaði	talast	V;SBJV;PST;3;SG	V;IND;PRS;3;SG	C
megið	mega	V;IND;PRS;2;PL	V;NFIN	C
komist	kom	V;SBJV;PRS;1;SG	V;IMP;2;SG	C
spillast	spillist	V;IND;PRS;3;PL	V;SBJV;PRS;1;SG	C
spyrjist	spyrjast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
leysir	leysa	V;SBJV;PRS;2;SG	V;NFIN	C
senda	sendir	N;INDF;GEN;PL	V;IND;PST;2;SG	C
gjörði	gjörir	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
horfði	horfið	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
fiskurinn	fiska	N;DEF;NOM;SG	N;INDF;GEN;PL	C
birtist	birtir	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
tíðir	tíð	V;IND;PST;2;SG	N;INDF;ACC;SG	C
helgast	helga	V;IND;PRS;3;SG	N;INDF;GEN;PL	C
hópi	hópa	N;INDF;DAT;SG	N;INDF;GEN;PL	C
þolað	þolið	V.CVB	V;IMP;2;PL	C
skipi	skipast	N;INDF;DAT;SG	V;IND;PRS;3;SG	C
lokum	lok	N;INDF;DAT;PL	N;INDF;ACC;SG	C
metum	met	N;INDF;DAT;PL	N;INDF;ACC;SG	C
minnst	minna	V;IND;PRS;1;SG	V;NFIN	C
skipið	skipaði	V;IMP;2;PL	V;SBJV;PST;3;SG	C
skrifum	skrifa	N;INDF;DAT;PL	N;INDF;GEN;PL	C
Kom	Komum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
mælum	mælið	V;SBJV;PRS;1;PL	V;IND;PRS;2;PL	C
glatast	glataði	V;IND;PRS;3;SG	V;SBJV;PST;3;SG	C
tjáði	tjá	V;SBJV;PST;1;SG	V;IMP;2;SG	C
dæmdu	dæmdir	N;INDF;GEN;SG	V;IND;PST;2;SG	C
borði	borð	V;SBJV;PST;1;SG	N;INDF;NOM;SG	C
rétt	réttu	N;INDF;ACC;SG	N;INDF;GEN;SG	C
send	sendir	N;INDF;ACC;SG	V;IND;PST;2;SG	C
hefur	hefði	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
týnda	týndur	N;INDF;GEN;PL	V.PTCP;PST;NOM;SG	C
mættum	mætti	N;INDF;DAT;PL	N;INDF;DAT;SG	C
mælist	mælum	V;SBJV;PRS;1;SG	V;SBJV;PRS;1;PL	C
skírast	skírði	V;IND;PRS;3;PL	V;SBJV;PST;1;SG	C
ríkið	ríkti	V;IND;PRS;2;PL	V;IND;PST;3;SG	C
gættu	gætti	V;IND;PST;3;PL	V;IND;PST;3;SG	C
kosti	kosta	N;INDF;DAT;SG	N;INDF;GEN;PL	C
klæði	klæðum	N;INDF;DAT;SG	N;INDF;DAT;PL	C
þol	þolið	N;INDF;ACC;SG	V;IMP;2;PL	C
birta	birtist	V;NFIN	V;SBJV;PRS;1;SG	C
fylli	fyllir	V;SBJV;PRS;3;PL	V;SBJV;PRS;2;SG	C
gifta	giftast	V;NFIN	V;IND;PRS;3;PL	C
hugsast	hugsaði	V;IND;PRS;3;SG	V;SBJV;PST;3;SG	C
sýnist	sýnast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
komum	komist	V;SBJV;PRS;1;PL	V;SBJV;PRS;1;SG	C
fylla	fyllast	V;NFIN	V;IND;PRS;3;PL	C
flokki	flokk	N;INDF;DAT;SG	N;INDF;ACC;SG	C
bættu	bæta	V;IND;PST;3;PL	V;NFIN	C
hefði	hefur	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
líkur	lík	V;IND;PRS;2;SG	V;IMP;2;SG	C
styrk	styrki	V;IMP;2;SG	V;SBJV;PRS;3;PL	C
stundum	stundir	N;INDF;DAT;PL	V;IND;PST;2;SG	C
minni	minna	V;SBJV;PRS;3;PL	V;NFIN	C
þekkist	þekktu	V;SBJV;PRS;1;SG	V;IND;PST;3;PL	C
heitt	heitir	V.PTCP;PST;ACC;SG	V;SBJV;PRS;2;SG	C
fylltu	fyllti	V;IND;PST;3;PL	V;IND;PST;3;SG	C
komst	komist	V;IND;PRS;1;SG	V;SBJV;PRS;1;SG	C
grein	greinum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
flokki	flokkinn	N;INDF;DAT;SG	N;DEF;ACC;SG	C
eyðist	eyða	V;SBJV;PRS;1;SG	V;NFIN	C
koma	komist	V;NFIN	V;SBJV;PRS;1;SG	C
leyfa	leyfði	V;NFIN	V;SBJV;PST;1;SG	C
greina	greinum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
skýrt	skýrðu	V.PTCP;PST;ACC;SG	V.PTCP;PST;DAT;PL	C
trúðu	trú	V.PTCP;PST;DAT;PL	V;IMP;2;SG	C
minn	minnist	V;IMP;2;SG	V;SBJV;PRS;1;SG	C
auki	aukast	V;SBJV;PRS;3;PL	V;IND;PRS;3;PL	C
reynd	reyndir	N;INDF;ACC;SG	V;IND;PST;2;SG	C
færir	færist	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
ríkið	ríktu	V;IND;PRS;2;PL	V;IND;PST;3;PL	C
flokkum	flokki	N;INDF;DAT;PL	N;INDF;DAT;SG	C
liðið	liðinn	V;IMP;2;PL	N;DEF;ACC;SG	C
fæðast	fæðist	V;IND;PRS;3;PL	V;SBJV;PRS;1;SG	C
gjörast	gjöra	V;IND;PRS;3;PL	V;NFIN	C
styrkir	styrki	V;SBJV;PRS;2;SG	V;SBJV;PRS;3;PL	C
kross	krossinn	N;INDF;ACC;SG	N;DEF;ACC;SG	C
jafna	jafnast	N;INDF;GEN;PL	V;IND;PRS;3;SG	C
gættu	gætir	V;IND;PST;3;PL	V;SBJV;PRS;2;SG	C
stökkti	stökk	V;IND;PST;3;SG	V;IMP;2;SG	C
fyllti	fylla	V;IND;PST;3;SG	V;NFIN	C
birtir	birtum	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;PL	C
mun	muni	V;IMP;2;SG	V;SBJV;PRS;3;PL	C
rek	rekið	V;IMP;2;SG	V;IND;PRS;2;PL	C
elska	elskaði	N;INDF;GEN;PL	V;SBJV;PST;3;SG	C
spáðu	spá	V.PTCP;PST;DAT;PL	V;IMP;2;SG	C
óska	óskum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
ráða	ráði	N;INDF;GEN;PL	N;INDF;DAT;SG	C
fylli	fylla	V;SBJV;PRS;3;PL	V;NFIN	C
rétt	rétta	N;INDF;ACC;SG	N;INDF;GEN;PL	C
akur	akurinn	V.PTCP;PST;NOM;SG	N;DEF;NOM;SG	C
málum	mál	N;INDF;DAT;PL	N;INDF;ACC;SG	C
fyllti	fyllir	V;IND;PST;3;SG	V;SBJV;PRS;2;SG	C
leggið	leggi	V;IND;PRS;2;PL	V;SBJV;PRS;3;PL	C
fiska	fiskurinn	N;INDF;GEN;PL	N;DEF;NOM;SG	C
jafnir	jafna	V;IND;PST;2;SG	N;INDF;GEN;PL	C
fluttu	fluttur	N;INDF;GEN;SG	V.PTCP;PST;NOM;SG	C
mælir	mæli	V;SBJV;PRS;2;SG	V;SBJV;PRS;3;PL	C
hópum	hópa	N;INDF;DAT;PL	N;INDF;GEN;PL	C
breytum	breytti	V;SBJV;PRS;1;PL	V;IND;PST;3;SG	C
fæðist	fæðast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
leyst	leysa	V.PTCP;PST;ACC;SG	V;NFIN	C
skipast	skipaði	V;IND;PRS;3;SG	V;SBJV;PST;3;SG	C
leggi	leggur	V;SBJV;PRS;3;PL	V;IND;PRS;2;SG	C
höfða	höfðuð	N;INDF;GEN;PL	V;IND;PST;2;PL	C
mælir	mæla	V;SBJV;PRS;2;SG	V;NFIN	C
skapa	skapaði	N;INDF;GEN;PL	V;SBJV;PST;3;SG	C
mála	máli	N;INDF;GEN;PL	N;INDF;DAT;SG	C
málið	mál	V;IMP;2;PL	N;INDF;ACC;SG	C
skiptir	skiptið	V;IND;PST;2;SG	V;IMP;2;PL	C
gjöra	gjörði	V;NFIN	V;SBJV;PST;1;SG	C
hneigðu	hneigði	V.PTCP;PST;DAT;PL	V;SBJV;PST;1;SG	C
fjarlægð	fjarlægir	N;INDF;NOM;SG	V;SBJV;PRS;2;SG	C
minnast	minna	V;IND;PRS;3;PL	V;NFIN	C
auka	aukið	V;NFIN	V;IND;PRS;2;PL	C
gjörðu	gjörir	V.PTCP;PST;DAT;PL	V;SBJV;PRS;2;SG	C
klæða	klæði	N;INDF;GEN;PL	N;INDF;DAT;SG	C
skipi	skipa	N;INDF;DAT;SG	N;INDF;GEN;PL	C
felldu	felldir	N;INDF;GEN;SG	V;IND;PST;2;SG	C
ali	ala	N;INDF;DAT;SG	N;INDF;GEN;PL	C
komu	komum	V;SBJV;PST;3;PL	V;SBJV;PRS;1;PL	C
fæddi	fæddir	N;INDF;DAT;SG	V;IND;PST;2;SG	C
flokki	flokkum	N;INDF;DAT;SG	N;INDF;DAT;PL	C
birtast	birta	V;IND;PRS;3;PL	V;NFIN	C
hljómað	hljómaði	V.CVB	V;SBJV;PST;3;SG	C
fletta	flettir	V;NFIN	V;SBJV;PRS;2;SG	C
gjörðu	gjörist	V.PTCP;PST;DAT;PL	V;SBJV;PRS;1;SG	C
gætu	gæti	V;SBJV;PST;3;PL	V;SBJV;PRS;3;PL	C
kær	kærir	V;IMP;2;SG	V;SBJV;PRS;2;SG	C
hafir	haf	V;SBJV;PRS;2;SG	V;IMP;2;SG	C
leysast	leysa	V;IND;PRS;3;PL	V;NFIN	C
réttur	rétt	V.PTCP;PST;NOM;SG	N;INDF;ACC;SG	C
kóróna	kórónu	N;INDF;GEN;PL	N;INDF;GEN;SG	C
opnast	opnaði	V;IND;PRS;3;SG	V;SBJV;PST;3;SG	C
leysir	leysast	V;SBJV;PRS;2;SG	V;IND;PRS;3;PL	C
felld	felldur	N;INDF;ACC;SG	V.PTCP;PST;NOM;SG	C
safnast	safnaði	V;IND;PRS;3;SG	V;SBJV;PST;3;SG	C
skrifa	skrifum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
alinn	ala	N;DEF;ACC;SG	N;INDF;GEN;PL	C
gjöri	gjörði	V;SBJV;PRS;3;PL	V;SBJV;PST;1;SG	C
turn	turninn	N;INDF;ACC;SG	N;DEF;ACC;SG	C
breyta	breytti	V;NFIN	V;IND;PST;3;SG	C
hryggir	hryggist	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
skipið	skipi	V;IMP;2;PL	N;INDF;DAT;SG	C
