узнай	узнаю	N;ACC;SG	V;PRS;1;SG	C
умертвить	умертвили	V;NFIN	V;PST;PL	C
поразили	поразите	V;PST;PL	V;FUT;2;PL	C
утром	утру	N;INS;SG	N;DAT;SG	C
манною	манны	ADJ;INS;FEM;SG	N;NOM;PL	C
исполнила	исполним	V;PST;SG;FEM	V;IMP;1;PL	C
зло	зла	N;ESS;SG	N;GEN;SG	C
любимый	любимую	ADJ;ACC;MASC;SG	ADJ;ACC;FEM;SG	C
язв	язвах	N;NOM;SG	N;ESS;PL	C
целое	целого	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;SG	C
живых	живым	N;GEN;PL	ADJ;INS;MASC;SG	C
нага	нагою	N;GEN;SG	ADJ;INS;FEM;SG	C
обветшало	обветшала	V;PST;SG;NEUT	ADJ;FEM;SG;LGSPEC1	C
признают	признаешь	V;FUT;3;PL	V;PRS;2;SG	C
снега	снегом	N;GEN;SG	N;INS;SG	C
исполним	исполнили	V;IMP;1;PL	V;PST;PL	C
имуществом	имущества	N;INS;SG	N;GEN;SG	C
новое	новым	ADJ;NOM;NEUT;SG	ADJ;INS;MASC;SG	C
богатых	богатый	N;GEN;PL	ADJ;ACC;MASC;SG	C
били	било	V.CVB	V;PST;SG;NEUT	C
святом	святою	N;INS;SG	ADJ;INS;FEM;SG	C
разбили	разбила	V;PST;PL	V;PST;SG;FEM	C
бесноватого	бесноватых	ADJ;GEN;MASC;SG	N;GEN;PL	C
избранной	избранного	ADJ;ESS;FEM;SG	ADJ;GEN;MASC;SG	C
выходишь	выходите	V;FUT;2;SG	V;FUT;2;PL	C
рассказывай	рассказывайте	N;ACC;SG	V;IMP;2;PL	C
выходим	выходят	V;IMP;1;PL	V;PRS;3;PL	C
рассудить	рассудите	V;NFIN	V;FUT;2;PL	C
почитают	почитаете	V;FUT;3;PL	V;PRS;2;PL	C
окончи	окончила	V;IMP;2;SG	V;PST;SG;FEM	C
мои	мою	N;ACC;PL	V;PRS;1;SG	C
бедным	бедных	ADJ;INS;NEUT;SG	ADJ;ESS;PL	C
служите	служила	V;FUT;2;PL	V;PST;SG;FEM	C
приступить	приступили	V;NFIN	V;PST;PL	C
сатаною	сатаны	ADJ;INS;FEM;SG	N;NOM;PL	C
хотите	хотят	V;FUT;2;PL	V;PRS;3;PL	C
козлах	козлам	N;ESS;PL	N;DAT;PL	C
вес	весах	N;NOM;SG	N;ESS;PL	C
поникло	поникла	V;PST;SG;NEUT	ADJ;FEM;SG;LGSPEC1	C
открытым	открытую	ADJ;INS;MASC;SG	ADJ;ACC;FEM;SG	C
померк	померкло	N;ACC;SG	V;PST;SG;NEUT	C
узнаем	узнают	V;PRS;1;PL	V;FUT;3;PL	C
жертвами	жертвам	N;INS;PL	N;DAT;PL	C
отступите	отступить	V;FUT;2;PL	V;NFIN	C
отступив	отступили	V.CVB;PST	V;PST;PL	C
подкрепи	подкрепили	V;IMP;2;SG	V;PST;PL	C
смешанных	смешанная	N;GEN;PL	ADJ;NOM;FEM;SG	C
мертвых	мертвою	N;GEN;PL	ADJ;INS;FEM;SG	C
голодный	голодного	ADJ;NOM;MASC;SG	ADJ;GEN;NEUT;SG	C
расслабленного	расслабленный	ADJ;GEN;NEUT;SG	ADJ;NOM;MASC;SG	C
умертвить	умертви	V;NFIN	V;IMP;2;SG	C
проклятою	проклятую	ADJ;INS;FEM;SG	ADJ;ACC;FEM;SG	C
почитать	почитают	ADJ;GEN;FEM;SG	V;FUT;3;PL	C
манны	манною	N;NOM;PL	ADJ;INS;FEM;SG	C
обществом	обществе	N;INS;SG	N;ESS;SG	C
беременные	беременным	ADJ;ACC;PL	ADJ;INS;MASC;SG	C
услышите	услышали	V;FUT;2;PL	V;PST;PL	C
правого	правый	ADJ;GEN;MASC;SG	ADJ;ACC;MASC;SG	C
глазу	глаза	N;DAT;SG	N;GEN;SG	C
богам	богов	N;DAT;PL	N;GEN;PL	C
соблазнили	соблазнить	V;PST;PL	V;NFIN	C
безумные	безумным	ADJ;NOM;PL	ADJ;INS;NEUT;SG	C
напоен	напоили	V.PTCP;PASS;PST	V;PST;PL	C
языком	языку	N;INS;SG	N;DAT;SG	C
дало	дал	V;PST;SG;NEUT	ADJ;MASC;SG;LGSPEC1	C
возлюбленным	возлюбленную	ADJ;INS;MASC;SG	ADJ;ACC;FEM;SG	C
проводят	проводили	V;PRS;3;PL	V;PST;PL	C
развалиною	развалинам	ADJ;INS;FEM;SG	N;DAT;PL	C
отвратили	отвратить	V;PST;PL	V;NFIN	C
смел	смело	ADJ;MASC;SG;LGSPEC1	V;PST;SG;NEUT	C
животного	животное	ADJ;GEN;NEUT;SG	ADJ;ACC;NEUT;SG	C
мучили	мучился	V;PST;PL	V;PST;SG;MASC	C
приносить	приносили	V;NFIN	V;PST;PL	C
благом	благо	N;INS;SG	N;ESS;SG	C
могут	могло	V;FUT;3;PL	V;PST;SG;NEUT	C
одетый	одетые	ADJ;ACC;MASC;SG	ADJ;ACC;PL	C
имеете	имейте	V;PRS;2;PL	V;IMP;2;PL	C
белый	белых	ADJ;ACC;MASC;SG	N;GEN;PL	C
похитила	похитили	V;PST;SG;FEM	V;PST;PL	C
утвердите	утвердить	V;FUT;2;PL	V;NFIN	C
дома	домом	N;GEN;SG	N;INS;SG	C
козлам	козлом	N;DAT;PL	N;INS;SG	C
сокрытую	сокрытые	ADJ;ACC;FEM;SG	ADJ;ACC;PL	C
тысяч	тысячах	N;NOM;SG	N;ESS;PL	C
имеешь	имело	V;PRS;2;SG	V;PST;SG;NEUT	C
искушали	искушайте	V.CVB	V;IMP;2;PL	C
выходят	выходили	V;PRS;3;PL	V;PST;PL	C
узнают	узнаете	V;FUT;3;PL	V;PRS;2;PL	C
теснить	теснился	V;NFIN	V;PST;SG;MASC	C
освятить	освятите	V;NFIN	V;FUT;2;PL	C
предавала	предавайте	ADJ;FEM;SG;LGSPEC1	V;IMP;2;PL	C
живой	живая	ADJ;ESS;FEM;SG	ADJ;NOM;FEM;SG	C
хромым	хромых	ADJ;INS;MASC;SG	N;GEN;PL	C
головы	головах	N;NOM;PL	N;ESS;PL	C
хранить	храни	V;NFIN	V;IMP;2;SG	C
сохраните	сохранили	V;FUT;2;PL	V;PST;PL	C
страдали	страдающий	V.CVB	V.PTCP;ACT;PRS	C
крестить	крестился	V;NFIN	V;PST;SG;MASC	C
Силе	Силом	N;ESS;SG	N;INS;SG	C
обложи	обложила	V;IMP;2;SG	V;PST;SG;FEM	C
весах	весами	N;ESS;PL	N;INS;PL	C
добром	доброю	N;INS;SG	ADJ;INS;FEM;SG	C
блаженным	блаженных	ADJ;INS;NEUT;SG	ADJ;ESS;PL	C
левша	левши	N;GEN;SG	N;NOM;PL	C
немым	немые	ADJ;INS;MASC;SG	ADJ;ACC;PL	C
может	можете	V;PRS;3;SG	V;PRS;2;PL	C
проклятые	проклятую	ADJ;ACC;PL	ADJ;ACC;FEM;SG	C
обратили	обратить	V;PST;PL	V;NFIN	C
пиши	пишем	N;ACC;PL	V;PRS;1;PL	C
пленным	пленных	ADJ;INS;NEUT;SG	ADJ;ESS;PL	C
поспешили	поспешите	V;PST;PL	V;FUT;2;PL	C
благословить	благословили	V;NFIN	V;PST;PL	C
твердою	твердой	ADJ;INS;FEM;SG	ADJ;ESS;FEM;SG	C
посетить	посети	V;NFIN	V;IMP;2;SG	C
звезде	звездам	N;ESS;SG	N;DAT;PL	C
давить	давили	V;NFIN	V;PST;PL	C
возвратить	возврати	V;NFIN	V;IMP;2;SG	C
творить	творила	V;NFIN	V;PST;SG;FEM	C
выносили	выносит	V;PST;PL	V;FUT;3;SG	C
льстить	льстили	V;NFIN	V;PST;PL	C
белым	белых	ADJ;INS;MASC;SG	N;GEN;PL	C
имели	имея	V.CVB	V.CVB;PRS	C
узнает	узнаем	V;PRS;3;SG	V;PRS;1;PL	C
приложили	приложите	V;PST;PL	V;FUT;2;PL	C
малы	малые	N;NOM;PL	ADJ;ACC;PL	C
жив	живого	N;NOM;SG	ADJ;GEN;MASC;SG	C
пить	пило	ADJ;GEN;FEM;SG	V;PST;SG;NEUT	C
познали	познают	V.CVB	V;FUT;3;PL	C
белого	белым	ADJ;GEN;MASC;SG	ADJ;INS;MASC;SG	C
наложите	наложили	V;FUT;2;PL	V;PST;PL	C
садился	сади	V;PST;SG;MASC	V;IMP;2;SG	C
строишь	строился	V;FUT;2;SG	V;PST;SG;MASC	C
убийца	убийце	N;GEN;SG	N;ESS;SG	C
спросите	спросить	V;FUT;2;PL	V;NFIN	C
богу	богам	N;DAT;SG	N;DAT;PL	C
изнеженных	изнеженный	N;GEN;PL	ADJ;ACC;MASC;SG	C
познают	познаете	V;FUT;3;PL	V;PRS;2;PL	C
блуди	блудили	V;IMP;2;SG	V;PST;PL	C
слушало	слушайте	V;PST;SG;NEUT	V;IMP;2;PL	C
вороной	вороные	ADJ;ESS;FEM;SG	ADJ;ACC;PL	C
восстановите	восстанови	V;FUT;2;PL	V;IMP;2;SG	C
выкупить	выкупи	V;NFIN	V;IMP;2;SG	C
истреби	истребили	V;IMP;2;SG	V;PST;PL	C
духа	духам	N;GEN;SG	N;DAT;PL	C
строила	строился	V;PST;SG;FEM	V;PST;SG;MASC	C
левый	лев	ADJ;ACC;MASC;SG	N;NOM;SG	C
твори	творили	V;IMP;2;SG	V;PST;PL	C
было	был	V;PST;SG;NEUT	ADJ;MASC;SG;LGSPEC1	C
прямых	прямою	N;GEN;PL	ADJ;INS;FEM;SG	C
скрытое	скрытые	ADJ;NOM;NEUT;SG	ADJ;ACC;PL	C
старые	старых	ADJ;ACC;PL	N;GEN;PL	C
молчите	молчали	V;FUT;2;PL	V;PST;PL	C
скотом	скоте	N;INS;SG	N;ESS;SG	C
святую	святые	ADJ;ACC;FEM;SG	ADJ;ACC;PL	C
произносите	произносили	V;FUT;2;PL	V;PST;PL	C
познала	познают	ADJ;FEM;SG;LGSPEC1	V;FUT;3;PL	C
правым	правый	ADJ;INS;MASC;SG	ADJ;ACC;MASC;SG	C
строишь	строили	V;FUT;2;SG	V;PST;PL	C
