Kreise	Kreisen	V;SBJV;PRS;1;SG	N;DAT;PL	C
brausen	brause	N;DAT;PL	V;SBJV;PRS;1;SG	C
weinst	weinest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
bleiben	bleibest	N;DAT;PL	V;SBJV;PRS;2;SG	C
Wille	Willen	V;SBJV;PRS;1;SG	N;DAT;PL	C
Hörst	Höret	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
nähret	nähre	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
verstecken	versteckt	N;DAT;PL	V;IND;PRS;2;PL	C
beschädigten	beschädigt	V;SBJV;PST;3;PL	V;IND;PRS;2;PL	C
steinigst	steinigest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
leget	legest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
würzen	würze	N;DAT;PL	V;SBJV;PRS;1;SG	C
begehrt	begehrst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
kaufe	kaufst	V;SBJV;PRS;1;SG	V;IND;PRS;2;SG	C
esse	essest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
zuhört	zuhöret	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
regieren	regieret	N;DAT;PL	V;SBJV;PRS;2;PL	C
werden	werde	N;DAT;PL	V;SBJV;PRS;1;SG	C
lebst	lebte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
mögest	mögt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
sagst	sage	V;IND;PRS;2;SG	V;SBJV;PRS;1;SG	C
beschuldiget	beschuldigt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
verführen	verführe	N;DAT;PL	V;SBJV;PRS;1;SG	C
führest	führe	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
taufet	taufst	V;SBJV;PRS;2;PL	V;IND;PRS;2;SG	C
fehlet	fehle	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
Keile	Keilen	V;SBJV;PRS;1;SG	N;DAT;PL	C
ausrufen	ausrufest	N;DAT;PL	V;SBJV;PRS;2;SG	C
verwahrst	verwahrt	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
vergießest	vergießt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
bauest	baue	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
reiche	reich	V;SBJV;PRS;1;SG	N;NOM;SG	C
lehrte	lehre	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
stelle	stellst	V;SBJV;PRS;1;SG	V;IND;PRS;2;SG	C
wach	wachte	N;NOM;SG	V;SBJV;PST;1;SG	C
