Zeuge	Zeugen	V;SBJV;PRS;1;SG	N;DAT;PL	C
erschreckten	erschreckt	V;SBJV;PST;3;PL	V;IND;PRS;2;PL	C
Leiche	Leichen	V;SBJV;PRS;1;SG	N;DAT;PL	C
zeugen	zeuget	N;DAT;PL	V;SBJV;PRS;2;PL	C
kämpfe	kämpfet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
zeuget	zeuge	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
klagte	klage	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
sollte	sollten	V;SBJV;PST;1;SG	V;SBJV;PST;3;PL	C
blase	blast	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
Rufe	Rufen	V;SBJV;PRS;1;SG	N;DAT;PL	C
legst	legest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
teile	teil	V;SBJV;PRS;1;SG	N;NOM;SG	C
kaufe	kaufest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
gebet	gebt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
Feinde	Feinden	V;SBJV;PRS;1;SG	N;DAT;PL	C
reichte	reiche	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
klage	klagte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
bang	bange	N;NOM;SG	V;SBJV;PRS;1;SG	C
Amt	Amen	V;IND;PRS;2;PL	N;DAT;PL	PARADIGM_ERROR;SRC_SLOT_ERROR
sollst	sollt	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
pflanzet	pflanzt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
Gebote	Gebot	V;SBJV;PRS;1;SG	N;NOM;SG	C
Christ	Christen	N;NOM;SG	N;DAT;PL	C
begehrst	begehret	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
suchte	suche	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
schweigen	schweigst	N;DAT;PL	V;IND;PRS;2;SG	C
verzehrst	verzehre	V;IND;PRS;2;SG	V;SBJV;PRS;1;SG	C
Falle	Fallen	V;SBJV;PRS;1;SG	N;DAT;PL	C
leset	lest	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
anzeigt	anzeige	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
Fittiche	Fittichen	V;SBJV;PRS;1;SG	N;DAT;PL	C
erbaut	erbaust	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
Linke	Linken	V;SBJV;PRS;1;SG	N;DAT;PL	C
fragte	frage	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
wärmet	wärmte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
kommst	kommest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
bewahret	bewahrt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
begehrt	begehrten	V;IND;PRS;2;PL	V;SBJV;PST;3;PL	C
kriegen	krieget	N;DAT;PL	V;SBJV;PRS;2;PL	C
Sinne	Sinnen	V;SBJV;PRS;1;SG	N;DAT;PL	C
schaffe	schaffte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
dankte	danke	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
bereite	bereitet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
Jahre	Jahren	V;SBJV;PRS;1;SG	N;DAT;PL	C
demütigst	demütige	V;IND;PRS;2;SG	V;SBJV;PRS;1;SG	C
könnt	könnest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
wechseln	wechselte	N;DAT;PL	V;SBJV;PST;1;SG	C
diente	dienest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
schlaget	schlagest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
zürnte	zürnest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
wachsen	wachset	N;DAT;PL	V;SBJV;PRS;2;PL	C
liebe	liebet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
nehmt	nehmest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
greifen	greifet	N;DAT;PL	V;SBJV;PRS;2;PL	C
bestimmt	bestimmst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
Anklagen	Anklage	N;DAT;PL	V;SBJV;PRS;1;SG	C
esse	essen	V;SBJV;PRS;1;SG	N;DAT;PL	C
Schaden	Schade	N;DAT;PL	V;SBJV;PRS;1;SG	C
weg	wegen	N;NOM;SG	N;DAT;PL	C
gehörte	gehört	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
versuchen	versuchst	N;DAT;PL	V;IND;PRS;2;SG	C
vertraut	vertraute	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
saget	sage	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
sagst	saget	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
Morden	Morde	N;DAT;PL	V;SBJV;PRS;1;SG	C
sagen	sage	N;DAT;PL	V;SBJV;PRS;1;SG	C
blitzen	blitzte	N;DAT;PL	V;SBJV;PST;1;SG	C
weich	weiche	N;NOM;SG	V;SBJV;PRS;1;SG	C
herrschet	herrschte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
glaubet	glaube	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
steigen	steigest	N;DAT;PL	V;SBJV;PRS;2;SG	C
rauben	raubet	N;DAT;PL	V;SBJV;PRS;2;PL	C
Rühmst	Rühmet	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
begehrte	begehrst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
weide	weiden	V;SBJV;PRS;1;SG	N;DAT;PL	C
verderbet	verderbest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
warnte	warnst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
tragen	traget	N;DAT;PL	V;SBJV;PRS;2;PL	C
strafte	strafe	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
betrübte	betrübst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
Habt	Habe	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
knüpfte	knüpfst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
vergessest	vergesset	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
anzeigte	anzeigest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
verkauften	verkauft	V;SBJV;PST;3;PL	V;IND;PRS;2;PL	C
schlafe	schlaf	V;SBJV;PRS;1;SG	N;NOM;SG	C
meinet	meinte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
spannen	spannte	N;DAT;PL	V;SBJV;PST;1;SG	C
entsetzt	entsetzte	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
betrügen	betrüge	N;DAT;PL	V;SBJV;PRS;1;SG	C
beugte	beugst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
Winden	Winde	N;DAT;PL	V;SBJV;PRS;1;SG	C
löset	löst	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
tragest	trage	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
plagte	plagest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
maßen	maß	N;DAT;PL	N;NOM;SG	C
befragten	befragt	V;SBJV;PST;3;PL	V;IND;PRS;2;PL	C
merke	merkte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
gehöre	gehört	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
habe	habest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
gehorchet	gehorcht	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
lachen	lachte	N;DAT;PL	V;SBJV;PST;1;SG	C
wohnte	wohnest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
feiern	feierten	N;DAT;PL	V;SBJV;PST;3;PL	C
Jude	Juden	V;SBJV;PRS;1;SG	N;DAT;PL	C
zerbrecht	zerbrechest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
ladest	lade	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
brach	brachen	N;NOM;SG	N;DAT;PL	C
Habe	Habt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
Suchet	Sucht	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
Bande	Banden	V;SBJV;PRS;1;SG	N;DAT;PL	C
kaufte	kaufest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
blende	blenden	V;SBJV;PRS;1;SG	N;DAT;PL	C
Gebeine	Gebeinen	V;SBJV;PRS;1;SG	N;DAT;PL	C
bezahlest	bezahlt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
Werke	Werken	V;SBJV;PRS;1;SG	N;DAT;PL	C
wehen	weh	N;DAT;PL	N;NOM;SG	C
hänge	hängte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
verkehrte	verkehrten	V;SBJV;PST;1;SG	V;SBJV;PST;3;PL	C
Trübsale	Trübsal	V;SBJV;PRS;1;SG	N;NOM;SG	C
bauest	baute	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
währet	währte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
deckst	deckte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
schmückst	schmücket	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
Wehen	Weh	N;DAT;PL	N;NOM;SG	C
Machet	Macht	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
essen	esse	N;DAT;PL	V;SBJV;PRS;1;SG	C
übest	übte	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
müßte	müßten	V;SBJV;PST;1;SG	V;SBJV;PST;3;PL	C
haltet	halte	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
führest	führe	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
lehre	lehrst	V;SBJV;PRS;1;SG	V;IND;PRS;2;SG	C
male	mal	V;SBJV;PRS;1;SG	N;NOM;SG	C
Elle	Ellen	V;SBJV;PRS;1;SG	N;DAT;PL	C
stärkte	stärke	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
erweckt	erweckst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
Steigen	Steige	N;DAT;PL	V;SBJV;PRS;1;SG	C
halte	haltest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
Teile	Teilen	V;SBJV;PRS;1;SG	N;DAT;PL	C
heulte	heulet	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
Feind	Feinden	N;NOM;SG	N;DAT;PL	C
Hebe	Hebet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
reife	reif	V;SBJV;PRS;1;SG	N;NOM;SG	C
lebte	lebest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
bekehret	bekehrten	V;SBJV;PRS;2;PL	V;SBJV;PST;3;PL	C
zuhört	zuhöret	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
Fäuste	Fäusten	V;SBJV;PRS;1;SG	N;DAT;PL	C
reizt	reizte	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
lauf	laufe	N;NOM;SG	V;SBJV;PRS;1;SG	C
Klaue	Klauen	V;SBJV;PRS;1;SG	N;DAT;PL	C
pflegst	pflegte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
haben	habt	N;DAT;PL	V;IND;PRS;2;PL	C
Rufe	Rufet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
preist	preiset	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
sitzt	sitzet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
liebte	liebe	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
fällst	fällt	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
kaufet	kaufst	V;SBJV;PRS;2;PL	V;IND;PRS;2;SG	C
Gesetze	Gesetzen	V;SBJV;PRS;1;SG	N;DAT;PL	C
wolle	wollest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
wolle	wollt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
hingeht	hingehet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
steckst	steckte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
verdammt	verdammst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
bringet	bringst	V;SBJV;PRS;2;PL	V;IND;PRS;2;SG	C
gelobet	gelobte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
ehren	ehrest	N;DAT;PL	V;SBJV;PRS;2;SG	C
Speise	Speisen	V;SBJV;PRS;1;SG	N;DAT;PL	C
Beten	Bete	N;DAT;PL	V;SBJV;PRS;1;SG	C
tuest	tust	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
verstörten	verstörte	V;SBJV;PST;3;PL	V;SBJV;PST;1;SG	C
urteilte	urteile	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
lieben	liebst	N;DAT;PL	V;IND;PRS;2;SG	C
suchten	suchst	V;SBJV;PST;3;PL	V;IND;PRS;2;SG	C
sagest	sagte	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
ernte	ernten	N;NOM;SG	N;DAT;PL	C
zerstreust	zerstreuten	V;IND;PRS;2;SG	V;SBJV;PST;3;PL	C
würzen	würze	N;DAT;PL	V;SBJV;PRS;1;SG	C
zeuget	zeugte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
liebest	liebet	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
ausgeht	ausgehst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
Leiden	Leide	N;DAT;PL	V;SBJV;PRS;1;SG	C
erkennest	erkennst	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
gebt	gebest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
säumet	säume	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
Last	Lasten	N;NOM;SG	N;DAT;PL	C
wehre	wehret	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
suche	sucht	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
