predikades	predikade	V;PASS;IND;PST	ADJ;DEF;PL	C
stoderna	stod	N;DEF;PL	N;INDF;NOM;SG	C
eländet	elände	N;DEF;NOM;SG	N;INDF;NOM;SG	C
klädda	klädd	V;ACT;NFIN	V.PTCP;PST	C
logarna	loge	N;DEF;NOM;PL	N;INDF;NOM;SG	C
Asas	Asa	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
bäckarna	bäckens	N;DEF;NOM;PL	N;DEF;GEN;SG	C
visar	visa	V;ACT;IND;PRS	V;IMP	C
försåt	försåtet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
insatte	insatt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
stadgas	stadga	V;PASS;NFIN	V;IMP	C
springa	springande	V;IMP	ADJ;PRS	PARADIGM_ERROR;SRC_SLOT_ERROR
drabbade	drabbades	ADJ;DEF;PL	V;PASS;IND;PST	C
snärjas	snärja	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
vida	vis	V;ACT;NFIN	N;INDF;GEN;SG	PARADIGM_ERROR;SRC_SLOT_ERROR
gemak	gemaket	N;INDF;NOM;SG	N;DEF;NOM;SG	C
stengolvet	stengolv	N;DEF;NOM;SG	N;INDF;NOM;SG	C
utbytte	utbyta	V;ACT;IND;PST	V;ACT;NFIN	C
sårande	sårade	ADJ;PRS	ADJ;DEF;PL	C
mötes	möta	V;PASS;IND;PRS	V;ACT;NFIN	C
stor	sto	ADJ;PRS;GEN	ADJ;INDF;NOM;PL	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
fattade	fattas	ADJ;DEF;PL	V;PASS;NFIN	C
fattas	fattades	V;PASS;NFIN	V;PASS;IND;PST	C
axens	ax	N;DEF;GEN;SG	N;INDF;NOM;SG	C
sändas	sändes	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	C
röras	röra	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
eder	eds	N;INDF;PL	N;INDF;GEN;PL	C
ödelägges	ödelägga	V;PASS;IND;PRS	V;ACT;NFIN	C
bitens	bitarna	N;DEF;GEN;SG	N;DEF;NOM;PL	C
sågade	såge	ADJ;DEF;PL	ADJ;DEF;MASC;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
koken	koka	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	PARADIGM_ERROR;SRC_SLOT_ERROR
förrättade	förrättades	ADJ;DEF;PL	V;PASS;IND;PST	C
blåses	blåsa	V;PASS;IND;PRS	V;ACT;NFIN	C
lösas	löst	ADJ;INDF;GEN;PL	ADJ;INDF;NEUT;SG	C
lugna	lugnade	V;IMP	ADJ;DEF;PL	C
blåst	blåste	ADJ;INDF;NEUT;SG	V;ACT;IND;PST	C
moderliv	moderlivet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
hälsade	hälsa	ADJ;DEF;PL	V;IMP	C
förjagades	förjagade	V;PASS;IND;PST	ADJ;DEF;PL	C
klövarna	klöv	N;DEF;NOM;PL	N;INDF;NOM;SG	C
utspridde	utsprida	V;ACT;IND;PST	V;ACT;NFIN	C
jämnas	jämna	V;PASS;NFIN	V;IMP	C
invånares	invånare	N;INDF;GEN;PL	N;INDF;NOM;SG	C
förbud	förbudet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
smälte	smältes	V.PTCP;PST	V;PASS;IND;PRS	C
läkt	läkare	ADJ;INDF;NEUT;SG	V.CVB;COMPV	PARADIGM_ERROR;TGT_SLOT_ERROR
ledda	ledas	V;ACT;NFIN	ADJ;INDF;GEN;PL	PARADIGM_ERROR;SRC_SLOT_ERROR
dödas	dödade	V;PASS;NFIN	ADJ;DEF;PL	C
beställt	beställa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
förskingrade	förskingrades	ADJ;DEF;PL	V;PASS;IND;PST	C
frätas	fräta	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
räcka	räcken	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
bevekande	bevekt	V.PTCP;PRS	ADJ;INDF;NEUT;SG	C
drage	dragen	V.PTCP;PST	ADJ;INDF;MASC+FEM;SG	C
bedriva	bedrives	V;ACT;NFIN	V;PASS;IND;PRS	C
släkterna	släkt	N;DEF;PL	N;INDF;NOM;SG	C
fördolda	fördolde	V;ACT;NFIN	V.PTCP;PST	C
bud	buds	N;INDF;NOM;SG	N;INDF;GEN;PL	C
böjt	böja	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
fåren	fårs	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
rörde	röra	V;ACT;IND;PST	V;ACT;NFIN	C
beloppet	belopp	N;DEF;NOM;SG	N;INDF;NOM;SG	C
upplöst	upplösa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
flotta	flottar	V;IMP	V;ACT;IND;PRS	C
förblive	förbliva	V.PTCP;PST	V;ACT;NFIN	C
många	mångas	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
upptage	upptaga	V.PTCP;PST	V;ACT;NFIN	C
vid	vit	V.PTCP;PST	ADJ;INDF;NEUT;SG	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
vänt	vända	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
Vare	Vars	V.PTCP;PST	N;INDF;GEN;SG	C
omfånget	omfång	N;DEF;NOM;SG	N;INDF;NOM;SG	C
brännsår	brännsåret	N;INDF;NOM;SG	N;DEF;NOM;SG	C
sändebudet	sändebud	N;DEF;NOM;SG	N;INDF;NOM;SG	C
nämnes	nämnde	V;PASS;IND;PRS	V;ACT;IND;PST	C
blodbadet	blodbad	N;DEF;NOM;SG	N;INDF;NOM;SG	C
tycke	tyckes	V.PTCP;PST	V;PASS;IND;PRS	C
huggna	huggen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
vana	vann	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
göres	göra	V;PASS;IND;PRS	V;ACT;NFIN	C
upprättade	upprättades	ADJ;DEF;PL	V;PASS;IND;PST	C
penningar	penningarna	N;INDF;PL	N;DEF;NOM;PL	C
ställa	ställde	V;ACT;NFIN	V;ACT;IND;PST	C
viskade	viska	ADJ;DEF;PL	V;IMP	C
fördriva	fördrives	V;ACT;NFIN	V;PASS;IND;PRS	C
tröstade	tröstar	ADJ;DEF;PL	V;ACT;IND;PRS	C
byggnadsverk	byggnadsverket	N;INDF;NOM;SG	N;DEF;NOM;SG	C
förre	förras	V.PTCP;PST	ADJ;INDF;GEN;PL	C
hela	helade	V;IMP	ADJ;DEF;PL	C
upplöst	upplöses	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
åt	åter	N;INDF;NOM;SG	N;INDF;PL	PARADIGM_ERROR;TGT_SLOT_ERROR
backar	backarna	N;INDF;PL	N;DEF;NOM;PL	C
synd	syns	V.PTCP;PST	N;INDF;GEN;SG	PARADIGM_ERROR;SRC_SLOT_ERROR
sänkas	sänka	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
slungade	slunga	ADJ;DEF;PL	V;IMP	C
mister	mista	V.CVB	V;ACT;NFIN	C
vann	vant	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG	PARADIGM_ERROR;SRC_SLOT_ERROR
tage	tages	V.PTCP;PST	V;PASS;IND;PRS	C
