mördande	mördade	ADJ;PRS	ADJ;DEF;PL	C
tryckte	trycka	V;ACT;IND;PST	V;ACT;NFIN	C
skadade	skada	ADJ;DEF;PL	V;IMP	C
stoderna	stod	N;DEF;PL	N;INDF;NOM;SG	C
axet	ax	N;DEF;NOM;SG	N;INDF;NOM;SG	C
strävade	sträva	ADJ;DEF;PL	V;IMP	C
dukat	dukade	V.CVB;ACT	ADJ;DEF;PL	C
fästa	fästes	V;ACT;NFIN	V;PASS;IND;PRS	C
förbytt	förbytes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
dyrkades	dyrkade	V;PASS;IND;PST	ADJ;DEF;PL	C
förstörs	förstöres	N;INDF;GEN;SG	V;PASS;IND;PRS	C
stöta	stötte	V;ACT;NFIN	V;ACT;IND;PST	C
hämtades	hämtade	V;PASS;IND;PST	ADJ;DEF;PL	C
armen	arms	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
avsöndrades	avsöndrade	V;PASS;IND;PST	ADJ;DEF;PL	C
löst	löses	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
märkt	märka	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
skäras	skära	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
skapade	skapades	ADJ;DEF;PL	V;PASS;IND;PST	C
förslaget	förslag	N;DEF;NOM;SG	N;INDF;NOM;SG	C
hala	halt	V;ACT;NFIN	ADJ;INDF;NEUT;SG	C
föreläsa	föreläses	V;ACT;NFIN	V;PASS;IND;PRS	C
äppelträdet	äppelträd	N;DEF;NOM;SG	N;INDF;NOM;SG	C
talades	talar	V;PASS;IND;PST	V;ACT;IND;PRS	C
bröllop	bröllopet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
upphäves	upphäva	V;PASS;IND;PRS	V;ACT;NFIN	C
rötterna	rötter	N;DEF;PL	N;INDF;PL	C
smälta	smältas	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
öppnas	öppnades	V;PASS;NFIN	V;PASS;IND;PST	C
täckes	täckt	V;PASS;IND;PRS	ADJ;INDF;NEUT;SG	C
budordet	budord	N;DEF;NOM;SG	N;INDF;NOM;SG	C
huvud	huvudet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
mods	modet	N;INDF;GEN;PL	N;DEF;NOM;SG	C
dödades	dödade	V;PASS;IND;PST	ADJ;DEF;PL	C
inrättade	inrättades	ADJ;DEF;PL	V;PASS;IND;PST	C
gäckade	gäckas	ADJ;DEF;PL	V;PASS;NFIN	C
hälsades	hälsade	V;PASS;IND;PST	ADJ;DEF;PL	C
släcka	släckes	V;ACT;NFIN	V;PASS;IND;PRS	C
Visa	Visar	V;IMP	V;ACT;IND;PRS	C
avståndet	avstånd	N;DEF;NOM;SG	N;INDF;NOM;SG	C
daglönare	daglönares	N;INDF;NOM;SG	N;INDF;GEN;PL	C
blotta	blottade	V;IMP	ADJ;DEF;PL	C
brev	brevet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
förstöres	förstörde	V;PASS;IND;PRS	V;ACT;IND;PST	C
togs	tog	N;INDF;GEN;PL	N;INDF;NOM;SG	C
tränga	trängde	V;ACT;NFIN	V;ACT;IND;PST	C
bedrage	bedraga	V.PTCP;PST	V;ACT;NFIN	C
upptecknade	upptecknades	ADJ;DEF;PL	V;PASS;IND;PST	C
förskingrades	förskingrade	V;PASS;IND;PST	ADJ;DEF;PL	C
berömt	berömde	ADJ;INDF;NEUT;SG	V;ACT;IND;PST	C
enas	ena	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
plåga	plågades	V;IMP	V;PASS;IND;PST	C
givna	given	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
svala	svalt	V;ACT;NFIN	ADJ;INDF;NEUT;SG	C
buds	bud	N;INDF;GEN;PL	N;INDF;NOM;SG	C
tusentals	tusental	N;INDF;GEN;PL	N;INDF;NOM;SG	C
göres	göra	V;PASS;IND;PRS	V;ACT;NFIN	C
vakar	vaka	V;ACT;IND;PRS	V;IMP	C
budens	budet	N;DEF;GEN;SG	N;DEF;NOM;SG	C
sätta	sättes	V;ACT;NFIN	V;PASS;IND;PRS	C
förgjordes	förgjorde	V;PASS;IND;PRS	V.PTCP;PST	C
täckt	täckes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
sena	sen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
rätas	räta	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
brevet	brev	N;DEF;NOM;SG	N;INDF;NOM;SG	C
beskäres	beskära	V;PASS;IND;PRS	V;ACT;NFIN	C
rättfärdiga	rättfärdigas	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
beställt	beställa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
dammet	damm	N;DEF;NOM;SG	N;INDF;NOM;SG	C
ålägga	ålägges	V;ACT;NFIN	V;PASS;IND;PRS	C
följande	följd	V.PTCP;PRS	V.PTCP;PST	C
Hela	Helt	V;ACT;NFIN	ADJ;INDF;NEUT;SG	C
lamm	lamms	N;INDF;NOM;SG	N;INDF;GEN;PL	C
trängt	tränga	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
Asas	Asa	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
bröllopet	bröllop	N;DEF;NOM;SG	N;INDF;NOM;SG	C
hämtade	hämtades	ADJ;DEF;PL	V;PASS;IND;PST	C
tages	taga	V;PASS;IND;PRS	V;ACT;NFIN	C
äras	ära	V;PASS;NFIN	V;IMP	C
avlämnades	avlämnade	V;PASS;IND;PST	ADJ;DEF;PL	C
ed	edens	N;INDF;NOM;SG	N;DEF;GEN;SG	C
utgjuta	utgjutes	V;ACT;NFIN	V;PASS;IND;PRS	C
manades	manade	V;PASS;IND;PST	ADJ;DEF;PL	C
täcke	täckt	V.PTCP;PST	ADJ;INDF;NEUT;SG	C
handlade	handlar	ADJ;DEF;PL	V;ACT;IND;PRS	C
träffades	träffas	V;PASS;IND;PST	V;PASS;NFIN	C
huset	hus	N;DEF;NOM;SG	N;INDF;NOM;SG	C
fot	fots	N;INDF;NOM;SG	N;INDF;GEN;PL	C
stige	stiga	V.PTCP;PST	V;ACT;NFIN	C
sakerna	sakens	N;DEF;PL	N;DEF;GEN;SG	C
förbjudes	förbjuda	V;PASS;IND;PRS	V;ACT;NFIN	C
vårdar	vårdare	V;ACT;IND;PRS	N;INDF;NOM;PL	C
råds	rådde	N;INDF;GEN;SG	V;ACT;IND;PST	C
utplånades	utplånade	V;PASS;IND;PST	ADJ;DEF;PL	C
räckas	räcka	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
Svärdet	Svärd	N;DEF;NOM;SG	N;INDF;NOM;SG	C
följeslagare	följeslagares	N;INDF;NOM;SG	N;INDF;GEN;PL	C
agade	aga	ADJ;DEF;PL	V;IMP	C
svalkas	svalka	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
invånares	invånare	N;INDF;GEN;PL	N;INDF;NOM;SG	C
murar	murare	V;ACT;IND;PRS	N;INDF;NOM;PL	C
gudarna	gud	N;DEF;NOM;PL	N;INDF;NOM;SG	C
smides	smida	V;PASS;IND;PRS	V;ACT;NFIN	C
make	maka	V.PTCP;PST	V;ACT;NFIN	C
moderssköte	modersskötet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
upprättade	upprätta	ADJ;DEF;PL	V;IMP	C
betänkt	betänka	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
plågade	plågas	ADJ;DEF;PL	V;PASS;NFIN	C
inbyggares	inbyggare	N;INDF;GEN;PL	N;INDF;NOM;SG	C
spridda	spridde	V;ACT;NFIN	V;ACT;IND;PST	C
förstörda	förstörd	V;ACT;NFIN	V.PTCP;PST	C
nedbryta	nedbrytes	V;ACT;NFIN	V;PASS;IND;PRS	C
Lamm	Lammet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
axens	ax	N;DEF;GEN;SG	N;INDF;NOM;SG	C
vända	vände	V;ACT;NFIN	V;ACT;IND;PST	C
uppenbara	uppenbarades	V;IMP	V;PASS;IND;PST	C
vingar	vingarna	N;INDF;PL	N;DEF;NOM;PL	C
anstiftades	anstiftade	V;PASS;IND;PST	ADJ;DEF;PL	C
fattade	fattas	ADJ;DEF;PL	V;PASS;NFIN	C
bälte	bältet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
bortförda	bortförd	V;ACT;NFIN	V.PTCP;PST	C
ingångarna	ingångens	N;DEF;NOM;PL	N;DEF;GEN;SG	C
fördriva	fördrives	V;ACT;NFIN	V;PASS;IND;PRS	C
bindes	binda	V;PASS;IND;PRS	V;ACT;NFIN	C
sökte	söka	V;ACT;IND;PST	V;ACT;NFIN	C
berget	berg	N;DEF;NOM;SG	N;INDF;NOM;SG	C
fots	fot	N;INDF;GEN;PL	N;INDF;NOM;SG	C
stänkt	stänka	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
slån	slås	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
födas	födde	ADJ;INDF;GEN;PL	V;ACT;IND;PST	C
uppfört	uppföra	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
fostrade	fostrades	ADJ;DEF;PL	V;PASS;IND;PST	C
bestämda	bestämde	V;ACT;NFIN	V.PTCP;PST	C
stormades	stormade	V;PASS;IND;PST	ADJ;DEF;PL	C
fadern	faders	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
skilda	skilde	V;ACT;NFIN	V.PTCP;PST	C
styrkt	styrka	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
visa	visas	V;IMP	V;PASS;NFIN	C
torkade	torka	ADJ;DEF;PL	V;IMP	C
vittnesbörd	vittnesbördet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
