Joche	Jochen	V;SBJV;PRS;1;SG	N;DAT;PL	C
pflanzte	pflanze	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
begehrt	begehrte	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
aufrichte	aufrichtet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
tat	taten	N;NOM;SG	N;DAT;PL	C
dienst	dienest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
glaube	glauben	V;SBJV;PRS;1;SG	N;DAT;PL	C
verführt	verführe	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
Merket	Merke	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
stoßest	stoßt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
gehorchst	gehorcht	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
trotze	trotzt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
behaltet	behalte	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
kaufet	kaufst	V;SBJV;PRS;2;PL	V;IND;PRS;2;SG	C
pflanzt	pflanze	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
Sägen	Säge	N;DAT;PL	V;SBJV;PRS;1;SG	C
Spitzen	Spitze	N;DAT;PL	V;SBJV;PRS;1;SG	C
mache	machet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
essen	esse	N;DAT;PL	V;SBJV;PRS;1;SG	C
schaffest	schaffet	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
erfahret	erfahrt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
blitzte	blitzt	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
befragte	befragten	V;SBJV;PST;1;SG	V;SBJV;PST;3;PL	C
stürzest	stürzte	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
bleibst	bleibe	V;IND;PRS;2;SG	V;SBJV;PRS;1;SG	C
grüßet	grüßte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
zerstreute	zerstreuet	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
zerstreut	zerstreuet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
Monate	Monaten	V;SBJV;PRS;1;SG	N;DAT;PL	C
sitzest	sitzet	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
brauchst	brauchte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
hure	hurst	V;SBJV;PRS;1;SG	V;IND;PRS;2;SG	C
weinen	weine	N;DAT;PL	V;SBJV;PRS;1;SG	C
könnet	könnte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
haut	hauen	V;IND;PRS;2;PL	N;DAT;PL	C
weh	wehte	N;NOM;SG	V;SBJV;PST;1;SG	C
Sehe	Sehet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
spielet	spielte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
frage	fragte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
fresse	fressen	V;SBJV;PRS;1;SG	N;DAT;PL	C
küsse	küssen	V;SBJV;PRS;1;SG	N;DAT;PL	C
reifen	reife	N;DAT;PL	V;SBJV;PRS;1;SG	C
Maultier	Maultieren	N;NOM;SG	N;DAT;PL	C
bezahlst	bezahlest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
verkehrt	verkehre	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
Machet	Macht	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
steinigst	steinigest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
erfüllet	erfüllt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
zuteilte	zuteil	V;SBJV;PST;1;SG	N;NOM;SG	POS_PAIR_ERROR;TGT_POS_ERROR
lachet	lache	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
ehret	ehrest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
wechseln	wechselte	N;DAT;PL	V;SBJV;PST;1;SG	C
traget	trage	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
stürzt	stürze	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
feierte	feierten	V;SBJV;PST;1;SG	V;SBJV;PST;3;PL	C
verlaß	verlaßt	N;NOM;SG	V;IND;PRS;2;PL	C
pflanzest	pflanze	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
Raten	Ratet	N;DAT;PL	V;SBJV;PRS;2;PL	C
trotzet	trotzt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
beißt	beißet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
tobte	tobst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
stoßt	stoßet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
Buchstabe	Buchstaben	V;SBJV;PRS;1;SG	N;DAT;PL	C
taufen	taufe	N;DAT;PL	V;SBJV;PRS;1;SG	C
rühmest	rühmte	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
Spanne	Spannt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
wehre	wehren	V;SBJV;PRS;1;SG	N;DAT;PL	C
reich	reichet	N;NOM;SG	V;SBJV;PRS;2;PL	C
