gjaldi	gjalda	N;INDF;DAT;SG	N;INDF;GEN;PL	C
dæma	dæmist	V;NFIN	V;SBJV;PRS;1;SG	C
skipa	skipunum	N;INDF;GEN;PL	N;DEF;DAT;PL	C
fyllast	fylli	V;IND;PRS;3;PL	V;SBJV;PRS;3;PL	C
rekur	rek	V;IND;PRS;2;SG	V;IMP;2;SG	C
met	meta	N;INDF;ACC;SG	N;INDF;GEN;PL	C
höfðum	höfða	N;INDF;DAT;PL	N;INDF;GEN;PL	C
rétt	réttu	N;INDF;ACC;SG	N;INDF;GEN;SG	C
staðinn	staða	N;DEF;ACC;SG	N;INDF;GEN;PL	C
flokka	flokki	N;INDF;GEN;PL	N;INDF;DAT;SG	C
varðveitast	varðveitist	V;IND;PRS;3;PL	V;SBJV;PRS;1;SG	C
haft	hafi	V.PTCP;PST;ACC;SG	V;SBJV;PRS;3;PL	C
þekkist	þekktu	V;SBJV;PRS;1;SG	V;IND;PST;3;PL	C
skjótast	skjótum	V;IND;PRS;3;PL	V;SBJV;PRS;1;PL	C
fiskurinn	fiskinn	N;DEF;NOM;SG	N;DEF;ACC;SG	C
elsku	elska	N;INDF;GEN;SG	N;INDF;GEN;PL	C
fylltu	fyllast	V;IND;PST;3;PL	V;IND;PRS;3;PL	C
reiðir	reiði	V;IND;PST;2;SG	N;INDF;DAT;SG	C
enn	en	PRN;INDF;ACC;SG	V;IMP;2;SG	POS_PAIR_ERROR;SRC_POS_ERROR;TGT_POS_ERROR
boðaði	boðið	V;SBJV;PST;3;SG	V;IMP;2;PL	C
byggð	byggði	N;INDF;NOM;SG	V;SBJV;PST;1;SG	C
talið	talaði	V;IMP;2;PL	V;SBJV;PST;3;SG	C
dæmast	dæmið	V;IND;PRS;3;PL	V;IND;PRS;2;PL	C
kasta	kastið	N;INDF;GEN;PL	V;IMP;2;PL	C
hafið	hafa	V;IND;PRS;2;PL	V;NFIN	C
lifðu	lifði	V.PTCP;PST;DAT;PL	V;SBJV;PST;1;SG	C
loka	lokum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
líkt	líkið	V.PTCP;PST;ACC;SG	V;IND;PRS;2;PL	C
virðast	virða	V;IND;PRS;3;PL	V;NFIN	C
horfið	horfum	V;IND;PRS;2;PL	V;SBJV;PRS;1;PL	C
heitir	heitið	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
skrifi	skrifa	N;INDF;DAT;SG	N;INDF;GEN;PL	C
boðum	boði	N;INDF;DAT;PL	N;INDF;DAT;SG	C
máli	mál	N;INDF;DAT;SG	N;INDF;ACC;SG	C
leyfið	leyfum	V;IND;PRS;2;PL	V;SBJV;PRS;1;PL	C
gift	giftast	V;IMP;2;SG	V;IND;PRS;3;PL	C
talið	talast	V;IMP;2;PL	V;IND;PRS;3;SG	C
verki	verk	N;INDF;DAT;SG	N;INDF;ACC;SG	C
leysast	leysa	V;IND;PRS;3;PL	V;NFIN	C
horfði	horfum	V;SBJV;PST;1;SG	V;SBJV;PRS;1;PL	C
boði	boðið	N;INDF;DAT;SG	V;IMP;2;PL	C
birtir	birta	V;SBJV;PRS;2;SG	V;NFIN	C
hóp	hópum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
hópum	hópi	N;INDF;DAT;PL	N;INDF;DAT;SG	C
munt	muni	V.PTCP;PST;ACC;SG	V;SBJV;PRS;3;PL	C
fyllist	fylli	V;SBJV;PRS;1;SG	V;SBJV;PRS;3;PL	C
heilla	heilli	N;INDF;GEN;PL	N;INDF;DAT;SG	C
leysast	leysir	V;IND;PRS;3;PL	V;SBJV;PRS;2;SG	C
gefin	gefið	V.PTCP;PST;ACC;PL	V;IMP;2;PL	C
þekktu	þekkist	V;IND;PST;3;PL	V;SBJV;PRS;1;SG	C
dæmdur	dæmdir	V.PTCP;PST;NOM;SG	V;IND;PST;2;SG	C
gjörður	gjörðuð	V.PTCP;PST;NOM;SG	V;IND;PST;2;PL	C
minni	minnast	V;SBJV;PRS;3;PL	V;IND;PRS;3;PL	C
greini	greina	N;INDF;DAT;SG	N;INDF;GEN;PL	C
þúsund	þúsunda	N;INDF;ACC;SG	N;INDF;GEN;PL	C
félagi	félaga	N;INDF;DAT;SG	N;INDF;GEN;PL	C
kæru	kæra	V;SBJV;PST;3;PL	V;NFIN	C
