носите	носить	V;FUT;2;PL	V;NFIN	C
весами	весах	N;INS;PL	N;ESS;PL	C
возьмешь	возьмут	V;PRS;2;SG	V;FUT;3;PL	C
положили	положите	V;PST;PL	V;FUT;2;PL	C
свари	сварили	V;IMP;2;SG	V;PST;PL	C
заходит	заходи	V;FUT;3;SG	V;IMP;2;SG	C
преступить	преступите	V;NFIN	V;FUT;2;PL	C
убийцы	убийце	N;NOM;PL	N;ESS;SG	C
малым	малый	ADJ;INS;MASC;SG	ADJ;ACC;MASC;SG	C
новое	новые	ADJ;NOM;NEUT;SG	ADJ;ACC;PL	C
открытою	открытого	ADJ;INS;FEM;SG	ADJ;GEN;MASC;SG	C
выходили	выходите	V;PST;PL	V;FUT;2;PL	C
возлюбленном	возлюбленною	N;INS;SG	ADJ;INS;FEM;SG	C
отходит	отходила	V;FUT;3;SG	V;PST;SG;FEM	C
немых	немого	N;GEN;PL	ADJ;GEN;MASC;SG	C
ночного	ночных	ADJ;GEN;NEUT;SG	ADJ;ESS;PL	C
ухом	уха	N;INS;SG	N;GEN;SG	C
животным	животных	ADJ;INS;NEUT;SG	ADJ;ESS;PL	C
Христа	Христу	N;GEN;SG	N;DAT;SG	C
находила	находился	V;PST;SG;FEM	V;PST;SG;MASC	C
освятили	освятите	V;PST;PL	V;FUT;2;PL	C
открытым	открытый	ADJ;INS;MASC;SG	ADJ;ACC;MASC;SG	C
спросить	спросила	V;NFIN	V;PST;SG;FEM	C
почитаете	почитает	V;PRS;2;PL	V;PRS;3;SG	C
член	членом	N;NOM;SG	N;INS;SG	C
козлы	козлу	N;NOM;PL	N;DAT;SG	C
обвинить	обвини	V;NFIN	V;IMP;2;SG	C
оробели	оробел	V.CVB	ADJ;MASC;SG;LGSPEC1	C
белым	белого	ADJ;INS;MASC;SG	ADJ;GEN;MASC;SG	C
затворит	затворила	V;FUT;3;SG	V;PST;SG;FEM	C
громов	громом	N;GEN;PL	N;INS;SG	C
губить	губили	V;NFIN	V;PST;PL	C
простертого	простертая	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;SG	C
избранных	избранного	N;GEN;PL	ADJ;GEN;MASC;SG	C
чадо	чада	N;ESS;SG	N;GEN;SG	C
богу	бог	N;DAT;SG	N;NOM;SG	C
аспидом	аспида	N;INS;SG	N;GEN;SG	C
купи	купили	V;IMP;2;SG	V;PST;PL	C
превозносился	превозносить	V;PST;SG;MASC	V;NFIN	C
рассудите	рассудили	V;FUT;2;PL	V;PST;PL	C
заняты	занятые	N;NOM;PL	ADJ;ACC;PL	C
похули	похулили	V;IMP;2;SG	V;PST;PL	C
фараону	фараоне	N;DAT;SG	N;ESS;SG	C
попроси	попросите	V;IMP;2;SG	V;FUT;2;PL	C
красные	красный	ADJ;NOM;PL	ADJ;NOM;MASC;SG	C
