stürzte	stürzest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
schaffen	schaffte	N;DAT;PL	V;SBJV;PST;1;SG	C
erlöset	erlösest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
fehlte	fehle	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
strafte	strafet	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
kaufte	kaufest	V;SBJV;PST;1;SG	V;SBJV;PRS;2;SG	C
regiert	regieret	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
weinte	weinst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
lieben	liebe	N;DAT;PL	V;SBJV;PRS;1;SG	C
eile	eilet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
spannte	spannt	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
log	logen	N;NOM;SG	N;DAT;PL	C
pflanze	pflanzt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
aufwacht	aufwachst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
Setzt	Setzet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
erhalte	erhaltet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
spannte	spanne	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
Gründe	Gründen	V;SBJV;PRS;1;SG	N;DAT;PL	C
schätze	schätzte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
Wille	Willen	V;SBJV;PRS;1;SG	N;DAT;PL	C
gebet	gebt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
versucht	versuchst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
schaffest	schaffe	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
schenken	schenke	N;DAT;PL	V;SBJV;PRS;1;SG	C
kochte	koche	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
säumen	säume	N;DAT;PL	V;SBJV;PRS;1;SG	C
erlösen	erlöst	N;DAT;PL	V;IND;PRS;2;PL	C
gebären	gebäre	N;DAT;PL	V;SBJV;PRS;1;SG	C
trotzest	trotze	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
gelobten	gelobt	V;SBJV;PST;3;PL	V;IND;PRS;2;PL	C
suche	suchest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
