точил	точила	N;NOM;SG	N;GEN;SG	C
наполнили	наполнить	V;PST;PL	V;NFIN	C
знакомых	знакомого	N;GEN;PL	ADJ;GEN;MASC;SG	C
бога	бог	N;GEN;SG	N;NOM;SG	C
козлу	козлам	N;DAT;SG	N;DAT;PL	C
учи	учился	V;IMP;2;SG	V;PST;SG;MASC	C
белых	белого	N;GEN;PL	ADJ;GEN;MASC;SG	C
берега	берегу	N;GEN;SG	N;DAT;SG	C
бедного	бедным	ADJ;GEN;NEUT;SG	ADJ;INS;NEUT;SG	C
сокрыт	сокрытый	N;NOM;SG	ADJ;ACC;MASC;SG	C
возложили	возложила	V;PST;PL	V;PST;SG;FEM	C
пока	покой	N;GEN;SG	ADJ;ESS;FEM;SG	POS_PAIR_ERROR;SRC_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
точила	точиле	N;GEN;SG	N;ESS;SG	C
мечом	меча	N;INS;SG	N;GEN;SG	C
стражи	стража	N;NOM;PL	N;GEN;SG	C
раздражить	раздражили	V;NFIN	V;PST;PL	C
духами	духа	N;INS;PL	N;GEN;SG	C
дали	дала	V.CVB	ADJ;FEM;SG;LGSPEC1	C
жило	жила	N;ESS;SG	N;GEN;SG	C
река	реки	N;GEN;SG	N;NOM;PL	C
духом	духе	N;INS;SG	N;ESS;SG	C
нечист	нечистых	N;NOM;SG	N;GEN;PL	C
искать	искало	ADJ;GEN;FEM;SG	V;PST;SG;NEUT	C
смели	смел	V.CVB	ADJ;MASC;SG;LGSPEC1	C
стоим	стоят	V;IMP;1;PL	V;PRS;3;PL	C
покров	покровом	N;NOM;SG	N;INS;SG	C
испытанного	испытанный	ADJ;GEN;NEUT;SG	ADJ;NOM;MASC;SG	C
построили	построить	V;PST;PL	V;NFIN	C
жертвах	жертвам	N;ESS;PL	N;DAT;PL	C
приступив	приступили	V.CVB;PST	V;PST;PL	C
малого	малый	ADJ;GEN;MASC;SG	ADJ;ACC;MASC;SG	C
прямым	прямой	ADJ;INS;MASC;SG	ADJ;ESS;FEM;SG	C
живых	живая	N;GEN;PL	ADJ;NOM;FEM;SG	C
считает	считают	V;PRS;3;SG	V;FUT;3;PL	C
языку	языком	N;DAT;SG	N;INS;SG	C
познают	познайте	V;FUT;3;PL	V;IMP;2;PL	C
одет	одетого	N;NOM;SG	ADJ;GEN;MASC;SG	C
разрушить	разрушили	V;NFIN	V;PST;PL	C
уходите	уходили	V;FUT;2;PL	V;PST;PL	C
образе	образа	N;ESS;SG	N;GEN;SG	C
больных	больного	ADJ;ESS;PL	ADJ;GEN;NEUT;SG	C
пригласите	пригласили	V;FUT;2;PL	V;PST;PL	C
духе	духи	N;ESS;SG	N;NOM;PL	C
поразить	поразили	V;NFIN	V;PST;PL	C
войска	войском	N;GEN;SG	N;INS;SG	C
белые	белы	ADJ;ACC;PL	N;NOM;PL	C
слушающий	слушало	V.PTCP;ACT;PRS	V;PST;SG;NEUT	C
бы	были	N;ACC;SG	V.CVB	POS_PAIR_ERROR;SRC_POS_ERROR;TGT_SLOT_ERROR
