mælið	mælum	V;IND;PRS;2;PL	V;SBJV;PRS;1;PL	C
send	sendum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
Hafi	Haf	V;SBJV;PRS;3;PL	V;IMP;2;SG	C
leyfðu	leyfa	V.PTCP;PST;DAT;PL	V;NFIN	C
leyfði	leyfum	V;SBJV;PST;1;SG	V;SBJV;PRS;1;PL	C
hinir	hina	V;IND;PST;2;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
munið	munum	V;IND;PRS;2;PL	V;SBJV;PRS;1;PL	C
nokkru	nokkrar	N;INDF;GEN;SG	ADJ;NOM;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
styrkist	styrktu	V;SBJV;PRS;1;SG	V;IND;PST;3;PL	C
tíðir	tíð	V;IND;PST;2;SG	N;INDF;ACC;SG	C
sumum	sumir	N;INDF;DAT;PL	V;IND;PST;2;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
hópinn	hópi	N;DEF;ACC;SG	N;INDF;DAT;SG	C
komu	komast	V;SBJV;PST;3;PL	V;IND;PRS;3;PL	C
Alla	Allan	N;INDF;GEN;PL	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
slíkum	slíkt	N;INDF;DAT;PL	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
lok	loka	N;INDF;ACC;SG	N;INDF;GEN;PL	C
boðin	boðið	V.PTCP;PST;ACC;PL	V;IMP;2;PL	C
skilin	skilið	V.PTCP;PST;ACC;PL	V;IMP;2;PL	C
fyllir	fyllast	V;SBJV;PRS;2;SG	V;IND;PRS;3;PL	C
leysast	leysti	V;IND;PRS;3;PL	V;IND;PST;3;SG	C
engar	engum	ADJ;NOM;PL	N;INDF;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
neyddu	neyddur	N;INDF;GEN;SG	V.PTCP;PST;NOM;SG	C
horfði	horfum	V;SBJV;PST;1;SG	V;SBJV;PRS;1;PL	C
aukið	aukist	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
hliðum	hlið	N;INDF;DAT;PL	N;INDF;ACC;SG	C
skömm	skömmum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
skiptum	skipti	N;INDF;DAT;PL	N;INDF;DAT;SG	C
slík	slíku	N;INDF;ACC;SG	N;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Sum	Suma	N;INDF;ACC;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
leggi	leggur	V;SBJV;PRS;3;PL	V;IND;PRS;2;SG	C
spillti	spilltur	N;INDF;DAT;SG	V.PTCP;PST;NOM;SG	C
þekkist	þekktu	V;SBJV;PRS;1;SG	V;IND;PST;3;PL	C
hálsinn	háls	N;DEF;ACC;SG	N;INDF;ACC;SG	C
hef	hefur	V;IMP;2;SG	V;IND;PRS;2;SG	C
megið	mega	V;IND;PRS;2;PL	V;NFIN	C
vaka	vakti	V;NFIN	V;IND;PST;3;SG	C
nokkrir	nokkra	V;IND;PST;2;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
klædduð	klæddir	V;IND;PST;2;PL	V;IND;PST;2;SG	C
lík	líkið	V;IMP;2;SG	V;IND;PRS;2;PL	C
vakir	vaka	V;SBJV;PRS;2;SG	V;NFIN	C
hópum	hópinn	N;INDF;DAT;PL	N;DEF;ACC;SG	C
byggð	byggir	N;INDF;NOM;SG	V;SBJV;PRS;2;SG	C
talast	talaði	V;IND;PRS;3;SG	V;SBJV;PST;3;SG	C
sumum	suma	N;INDF;DAT;PL	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
annað	annan	V.CVB	ADJ;ACC;SG	TGT_POS_ERROR;TGT_SLOT_ERROR
reiðir	reiði	V;IND;PST;2;SG	N;INDF;DAT;SG	C
engir	enga	V;IND;PST;2;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
sum	suma	N;INDF;ACC;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
senda	sendum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
hvor	hvorum	N;INDF;ACC;SG	N;INDF;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
enga	engu	N;INDF;GEN;PL	N;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
hinum	hinir	N;INDF;DAT;PL	V;IND;PST;2;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
drekki	drekkið	N;INDF;DAT;SG	V;IMP;2;PL	C
boð	boðum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
þekkist	þekkti	V;SBJV;PRS;1;SG	V;IND;PST;3;SG	C
leita	leitum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
birti	birtast	V;SBJV;PRS;3;PL	V;IND;PRS;3;PL	C
haldast	haldið	V;IND;PRS;3;PL	V;IND;PRS;2;PL	C
skýrðu	skýrt	V.PTCP;PST;DAT;PL	V.PTCP;PST;ACC;SG	C
rétta	réttu	N;INDF;GEN;PL	N;INDF;GEN;SG	C
Allir	Alls	V;IND;PST;2;SG	PRN;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR
kasta	kastaði	N;INDF;GEN;PL	V;SBJV;PST;3;SG	C
dæmi	dæma	V;SBJV;PRS;3;PL	V;NFIN	C
reynast	reynist	V;IND;PRS;3;PL	V;SBJV;PRS;1;SG	C
mælið	mæla	V;IND;PRS;2;PL	V;NFIN	C
auk	aukast	V;IMP;2;SG	V;IND;PRS;3;PL	C
Krists	Kristi	PRN;INDF;GEN;SG	N;INDF;DAT;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
gefin	gefið	V.PTCP;PST;ACC;PL	V;IMP;2;PL	C
sendu	sendum	N;INDF;GEN;SG	N;INDF;DAT;PL	C
aukist	aukið	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
valdið	valda	V;IMP;2;PL	N;INDF;GEN;PL	C
metast	meta	V;IND;PRS;3;SG	N;INDF;GEN;PL	C
sérhvert	sérhverja	V.PTCP;PST;ACC;SG	PRN;INDF;ACC;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR
Allan	Allt	ADJ;ACC;SG	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
kórónu	kórónum	N;INDF;GEN;SG	N;INDF;DAT;PL	C
leiðast	leiða	V;IND;PRS;3;SG	N;INDF;GEN;PL	C
hópum	hópi	N;INDF;DAT;PL	N;INDF;DAT;SG	C
sendur	sendir	V.PTCP;PST;NOM;SG	V;IND;PST;2;SG	C
hugsast	hugsaði	V;IND;PRS;3;SG	V;SBJV;PST;3;SG	C
gæti	gætu	V;SBJV;PRS;3;PL	V;SBJV;PST;3;PL	C
rekið	rekur	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
trúa	trú	V;NFIN	V;IMP;2;SG	C
lifðu	lifði	V.PTCP;PST;DAT;PL	V;SBJV;PST;1;SG	C
munduð	mundir	V;IND;PST;2;PL	V;IND;PST;2;SG	C
þekktir	þekktuð	V;IND;PST;2;SG	V;IND;PST;2;PL	C
birtum	birtast	V;SBJV;PRS;1;PL	V;IND;PRS;3;PL	C
gætu	gættu	V;SBJV;PST;3;PL	V;IND;PST;3;PL	C
þúsundum	þúsunda	N;INDF;DAT;PL	N;INDF;GEN;PL	C
allan	allar	ADJ;ACC;SG	ADJ;NOM;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
sleppir	slepptu	V;SBJV;PRS;2;SG	V;IND;PST;3;PL	C
verki	verk	N;INDF;DAT;SG	N;INDF;ACC;SG	C
þessar	þessi	ADJ;NOM;PL	N;INDF;DAT;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
leysti	leysa	V;IND;PST;3;SG	V;NFIN	C
allur	allt	V.PTCP;PST;NOM;SG	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
kóróna	kórónum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
missir	missti	V;SBJV;PRS;2;SG	V;IND;PST;3;SG	C
rétta	rétt	N;INDF;GEN;PL	N;INDF;ACC;SG	C
fljótir	fljótið	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
fiskinn	fiskurinn	N;DEF;ACC;SG	N;DEF;NOM;SG	C
þessum	þessu	N;INDF;DAT;PL	N;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
byggt	byggðu	V.PTCP;PST;ACC;SG	V.PTCP;PST;DAT;PL	C
styrkti	styrkir	V;IND;PST;3;SG	V;SBJV;PRS;2;SG	C
komna	komast	V.PTCP;PST;GEN;SG	V;IND;PRS;3;PL	C
verk	verki	N;INDF;ACC;SG	N;INDF;DAT;SG	C
hópa	hópi	N;INDF;GEN;PL	N;INDF;DAT;SG	C
læsir	læsti	V;SBJV;PRS;2;SG	V;IND;PST;3;SG	C
skipast	skipaði	V;IND;PRS;3;SG	V;SBJV;PST;3;SG	C
gift	giftist	V;IMP;2;SG	V;SBJV;PRS;1;SG	C
gjaldi	gjalda	N;INDF;DAT;SG	N;INDF;GEN;PL	C
múr	múrinn	N;INDF;ACC;SG	N;DEF;ACC;SG	C
hafi	hafa	V;SBJV;PRS;3;PL	V;NFIN	C
kosta	kosti	N;INDF;GEN;PL	N;INDF;DAT;SG	C
haldist	halda	V;SBJV;PRS;1;SG	V;NFIN	C
sjúkdóm	sjúkdóma	N;INDF;ACC;SG	N;INDF;GEN;PL	C
byggðu	byggði	V.PTCP;PST;DAT;PL	V;SBJV;PST;1;SG	C
slíkur	slíkar	V.PTCP;PST;NOM;SG	ADJ;NOM;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
nokkrar	nokkrum	ADJ;NOM;PL	N;INDF;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
boðin	boðum	V.PTCP;PST;ACC;PL	N;INDF;DAT;PL	C
sjálfir	sjálfu	V;IND;PST;2;SG	N;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
komst	komna	V;IND;PRS;1;SG	V.PTCP;PST;GEN;SG	C
Þessir	Þessu	V;IND;PST;2;SG	N;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
klædd	klædduð	N;INDF;ACC;SG	V;IND;PST;2;PL	C
Krists	Krist	PRN;INDF;GEN;SG	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
flokkum	flokka	N;INDF;DAT;PL	N;INDF;GEN;PL	C
foreldrum	foreldra	N;INDF;DAT;PL	N;INDF;GEN;PL	C
þakkir	þakka	V;IND;PST;2;SG	N;INDF;GEN;PL	C
hópi	hópum	N;INDF;DAT;SG	N;INDF;DAT;PL	C
sinn	sinna	N;INDF;ACC;SG	N;INDF;GEN;PL	SRC_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
liði	lið	N;INDF;DAT;SG	N;INDF;ACC;SG	C
skrifi	skrifaði	N;INDF;DAT;SG	V;SBJV;PST;3;SG	C
Hinar	Hinir	ADJ;NOM;PL	V;IND;PST;2;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
áliti	álit	N;INDF;DAT;SG	N;INDF;ACC;SG	C
leitum	leitaði	N;INDF;DAT;PL	V;SBJV;PST;3;SG	C
stökk	stökkti	V;IMP;2;SG	V;IND;PST;3;SG	C
leiðir	leiði	V;IND;PST;2;SG	N;INDF;DAT;SG	C
boða	boðum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
dæmi	dæmið	V;SBJV;PRS;3;PL	V;IND;PRS;2;PL	C
mælið	mælir	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
vakir	vakti	V;SBJV;PRS;2;SG	V;IND;PST;3;SG	C
haf	hafi	V;IMP;2;SG	V;SBJV;PRS;3;PL	C
Sjálfur	Sjálfir	V.PTCP;PST;NOM;SG	V;IND;PST;2;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
mælum	mælist	V;SBJV;PRS;1;PL	V;SBJV;PRS;1;SG	C
dæmt	dæmið	V.PTCP;PST;ACC;SG	V;IND;PRS;2;PL	C
heyrðu	heyrast	V.PTCP;PST;DAT;PL	V;IND;PRS;3;PL	C
alla	allur	N;INDF;GEN;PL	V.PTCP;PST;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
setta	settir	N;INDF;GEN;PL	V;IND;PST;2;SG	C
greinunum	grein	N;DEF;DAT;PL	N;INDF;ACC;SG	C
Alla	Alls	N;INDF;GEN;PL	PRN;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR
flokka	flokkum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
komist	koma	V;SBJV;PRS;1;SG	V;NFIN	C
kom	komum	V;IMP;2;SG	V;SBJV;PRS;1;PL	C
vor	vorum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
