schaffest	schaffe	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
seht	sehet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
Plagen	Plage	N;DAT;PL	V;SBJV;PRS;1;SG	C
teilte	teile	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
kaufe	kaufest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
versuche	versuchet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
wachen	wachte	N;DAT;PL	V;SBJV;PST;1;SG	C
wollest	wollten	V;SBJV;PRS;2;SG	V;SBJV;PST;3;PL	C
pflanzte	pflanzt	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
führe	führen	V;SBJV;PRS;1;SG	N;DAT;PL	C
halt	halten	N;NOM;SG	N;DAT;PL	C
Büsche	Büschen	V;SBJV;PRS;1;SG	N;DAT;PL	C
schweiget	schweigst	V;SBJV;PRS;2;PL	V;IND;PRS;2;SG	C
Bitten	Bitte	N;DAT;PL	V;SBJV;PRS;1;SG	C
zeugen	zeuget	N;DAT;PL	V;SBJV;PRS;2;PL	C
fülle	füllst	V;SBJV;PRS;1;SG	V;IND;PRS;2;SG	C
aufrichtet	aufrichten	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
Spanne	Spannt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
erlösen	erlöset	N;DAT;PL	V;SBJV;PRS;2;PL	C
war	waren	N;NOM;SG	N;DAT;PL	C
begehrten	begehre	V;SBJV;PST;3;PL	V;SBJV;PRS;1;SG	C
erhörest	erhörst	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
weise	weisest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
schauen	schauest	N;DAT;PL	V;SBJV;PRS;2;SG	C
dürfte	dürfe	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
haltet	halt	V;SBJV;PRS;2;PL	N;NOM;SG	POS_PAIR_ERROR
besitzest	besitzt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
fahret	fahrest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
säumet	säumen	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
gelangen	gelangte	N;DAT;PL	V;SBJV;PST;1;SG	C
besorgt	besorgte	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
halte	haltest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
entsetzt	entsetzen	V;IND;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
hänget	hänge	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
folge	folgen	V;SBJV;PRS;1;SG	N;DAT;PL	C
wehklage	wehklagen	V;SBJV;PRS;1;SG	N;DAT;PL	C
wollt	wollest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
Fallet	Falle	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
koste	kostet	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
steinigest	steinigst	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
heißt	heißet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
laufet	laufe	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
Strafe	Strafen	V;SBJV;PRS;1;SG	N;DAT;PL	C
besorgte	besorgt	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
bleibst	bleibet	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
wehret	wehrte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
trage	traget	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
Mache	Macht	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
wiederkommst	wiederkommt	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
vertraget	vertrage	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
Tagen	Tage	N;DAT;PL	V;SBJV;PRS;1;SG	C
ehre	ehrest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
zudeckt	zudeckte	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
Erben	Erbe	N;DAT;PL	V;SBJV;PRS;1;SG	C
loben	lobe	N;DAT;PL	V;SBJV;PRS;1;SG	C
ringst	ringen	V;IND;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
schlafest	schlafe	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
beweisest	beweist	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
gehorchst	gehorchest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
stürzt	stürzen	V;IND;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
folgte	folge	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
Neumonde	Neumonden	V;SBJV;PRS;1;SG	N;DAT;PL	C
lernst	lernte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
liebest	lieben	V;SBJV;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
wehren	wehre	N;DAT;PL	V;SBJV;PRS;1;SG	C
zuhöret	zuhört	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
liege	lieget	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
Löwe	Löwen	V;SBJV;PRS;1;SG	N;DAT;PL	C
fluchten	fluchte	V;SBJV;PST;3;PL	V;SBJV;PST;1;SG	C
pflegte	pflege	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
rittest	ritten	V;SBJV;PRS;2;SG	N;DAT;PL	C
Zöpfe	Zöpfen	V;SBJV;PRS;1;SG	N;DAT;PL	C
reizte	reizen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
trauten	traut	V;SBJV;PST;3;PL	V;IND;PRS;2;PL	C
Jahre	Jahr	V;SBJV;PRS;1;SG	N;NOM;SG	C
schenkst	schenkest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
lehre	lehrte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
decken	deckst	N;DAT;PL	V;IND;PRS;2;SG	C
gewinnet	gewinne	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
schreist	schreiet	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
ehret	ehrest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
bekehret	bekehrte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
räumet	räumen	V;IND;PRS;2;PL	N;DAT;PL	C
schaffen	schaffte	N;DAT;PL	V;SBJV;PST;1;SG	C
schreiet	schreien	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
Predigt	Predigten	V;IND;PRS;2;PL	V;SBJV;PST;3;PL	C
lehrest	lehre	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
seufzest	seufzt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
versuchet	versuchen	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
weine	weinst	V;SBJV;PRS;1;SG	V;IND;PRS;2;SG	C
webet	webte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
schlafest	schlaf	V;SBJV;PRS;2;SG	N;NOM;SG	POS_PAIR_ERROR
teil	teilen	N;NOM;SG	N;DAT;PL	C
machte	macht	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
Feinden	Feind	N;DAT;PL	N;NOM;SG	C
fangt	fange	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
werdet	werde	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
Lobet	Lob	V;SBJV;PRS;2;PL	N;NOM;SG	POS_PAIR_ERROR
klaget	klagte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
blitzen	blitzte	N;DAT;PL	V;SBJV;PST;1;SG	C
Eichen	Eiche	N;DAT;PL	V;SBJV;PRS;1;SG	C
sollst	sollte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
erfüllet	erfüllst	V;SBJV;PRS;2;PL	V;IND;PRS;2;SG	C
eile	eilte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
kehret	kehren	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
bringet	bringst	V;SBJV;PRS;2;PL	V;IND;PRS;2;SG	C
murmeln	murmelte	N;DAT;PL	V;SBJV;PST;1;SG	C
erlösest	erlöset	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
wundere	wunderte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
Kreisen	Kreise	N;DAT;PL	V;SBJV;PRS;1;SG	C
Jude	Juden	V;SBJV;PRS;1;SG	N;DAT;PL	C
kommst	kommet	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
losen	los	N;DAT;PL	N;NOM;SG	C
löste	löst	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
liegst	liege	V;IND;PRS;2;SG	V;SBJV;PRS;1;SG	C
Seil	Seilen	N;NOM;SG	N;DAT;PL	C
wacht	wachet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
könnet	könnest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
wehen	wehe	N;DAT;PL	V;SBJV;PRS;1;SG	C
Befehle	Befehlen	V;SBJV;PRS;1;SG	N;DAT;PL	C
gelobst	gelobet	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
zürnest	zürnte	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
fragen	frage	N;DAT;PL	V;SBJV;PRS;1;SG	C
zürnet	zürnte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
Gebärde	Gebärden	V;SBJV;PRS;1;SG	N;DAT;PL	C
habest	habt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
demütig	demütigst	N;NOM;SG	V;IND;PRS;2;SG	C
weist	weisen	V;IND;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
ratet	rate	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
Berge	Bergen	V;SBJV;PRS;1;SG	N;DAT;PL	C
zerstört	zerstörst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
wirkte	wirket	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
seufzest	seufzte	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
sorget	sorgte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
zerstreust	zerstreute	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
junge	jungen	V;SBJV;PRS;1;SG	N;DAT;PL	C
bang	bange	N;NOM;SG	V;SBJV;PRS;1;SG	C
Teppiche	Teppichen	V;SBJV;PRS;1;SG	N;DAT;PL	C
verführt	verführe	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
könnet	könne	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
verstört	verstörte	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
säst	säte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
widerstanden	widerstand	N;DAT;PL	N;NOM;SG	C
setzest	setzet	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
schrecke	schrecken	V;SBJV;PRS;1;SG	N;DAT;PL	C
eingeht	eingehst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
lebest	lebst	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
verkehre	verkehrten	V;SBJV;PRS;1;SG	V;SBJV;PST;3;PL	C
absagt	absagen	V;IND;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
mein	meinte	N;NOM;SG	V;SBJV;PST;1;SG	C
bereitet	bereite	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
füllen	fülle	N;DAT;PL	V;SBJV;PRS;1;SG	C
vertraut	vertrauten	V;IND;PRS;2;PL	V;SBJV;PST;3;PL	C
spielen	spielte	N;DAT;PL	V;SBJV;PST;1;SG	C
Früchte	Früchten	V;SBJV;PRS;1;SG	N;DAT;PL	C
weine	weinen	V;SBJV;PRS;1;SG	N;DAT;PL	C
Sucht	Suchet	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
wachse	wachsen	V;SBJV;PRS;1;SG	N;DAT;PL	C
