virðist	virðast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
breiddi	breidd	N;INDF;DAT;SG	N;INDF;ACC;SG	C
höfða	höfðum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
reynast	reynist	V;IND;PRS;3;PL	V;SBJV;PRS;1;SG	C
leyfum	leyfðu	V;SBJV;PRS;1;PL	V.PTCP;PST;DAT;PL	POS_PAIR_ERROR
haf	hafið	V;IMP;2;SG	V;IND;PRS;2;PL	C
gjöri	gjörast	V;SBJV;PRS;3;PL	V;IND;PRS;3;PL	C
sendi	sendur	N;INDF;DAT;SG	V.PTCP;PST;NOM;SG	POS_PAIR_ERROR
klæddum	klæddir	N;INDF;DAT;PL	V;IND;PST;2;SG	C
breytist	breytum	V;SBJV;PRS;1;SG	V;SBJV;PRS;1;PL	C
slepptu	sleppir	V;IND;PST;3;PL	V;SBJV;PRS;2;SG	C
mæli	mælið	V;SBJV;PRS;3;PL	V;IND;PRS;2;PL	C
skilið	skilin	V;IMP;2;PL	V.PTCP;PST;ACC;PL	POS_PAIR_ERROR
mun	munum	V;IMP;2;SG	V;SBJV;PRS;1;PL	C
dæmið	dæma	V;IND;PRS;2;PL	V;NFIN	C
látum	láta	V;SBJV;PRS;1;PL	V;NFIN	C
mála	málum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
gætir	gætti	V;SBJV;PRS;2;SG	V;IND;PST;3;SG	C
auki	auka	V;SBJV;PRS;3;PL	V;NFIN	C
háls	hálsinn	N;INDF;ACC;SG	N;DEF;ACC;SG	C
ríkið	ríktu	V;IND;PRS;2;PL	V;IND;PST;3;PL	C
leitast	leita	V;IND;PRS;3;SG	N;INDF;GEN;PL	POS_PAIR_ERROR
ráða	ráð	N;INDF;GEN;PL	N;INDF;ACC;SG	C
helgum	helgi	N;INDF;DAT;PL	N;INDF;DAT;SG	C
flokki	flokk	N;INDF;DAT;SG	N;INDF;ACC;SG	C
heyrði	heyrast	V;SBJV;PST;1;SG	V;IND;PRS;3;PL	C
fyllti	fyllast	V;IND;PST;3;SG	V;IND;PRS;3;PL	C
styrkir	styrk	V;SBJV;PRS;2;SG	V;IMP;2;SG	C
fiskinn	fisk	N;DEF;ACC;SG	N;INDF;ACC;SG	C
dæmt	dæmi	V.PTCP;PST;ACC;SG	V;SBJV;PRS;3;PL	C
skipti	skiptum	N;INDF;DAT;SG	N;INDF;DAT;PL	C
minnist	minn	V;SBJV;PRS;1;SG	V;IMP;2;SG	C
æpti	æptu	V;IND;PST;3;SG	V;IND;PST;3;PL	C
dans	dansaði	N;INDF;ACC;SG	V;SBJV;PST;3;SG	POS_PAIR_ERROR
veitist	veittu	V;SBJV;PRS;1;SG	V;IND;PST;3;PL	C
vörunum	vörum	N;DEF;DAT;PL	N;INDF;DAT;PL	C
gifta	giftist	V;NFIN	V;SBJV;PRS;1;SG	C
greinunum	grein	N;DEF;DAT;PL	N;INDF;ACC;SG	C
gjaldið	gjaldi	V;IMP;2;PL	N;INDF;DAT;SG	C
fæðist	fæða	V;SBJV;PRS;1;SG	V;NFIN	C
kastað	kasta	V.CVB	N;INDF;GEN;PL	POS_PAIR_ERROR
færði	fært	V;SBJV;PST;1;SG	V.PTCP;PST;ACC;SG	POS_PAIR_ERROR
skírist	skírast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
fiska	fiski	N;INDF;GEN;PL	N;INDF;DAT;SG	C
skil	skilið	N;INDF;ACC;SG	V;IMP;2;PL	C
leitum	leitast	N;INDF;DAT;PL	V;IND;PRS;3;SG	C
skipast	skipa	V;IND;PRS;3;SG	N;INDF;GEN;PL	POS_PAIR_ERROR
auka	auki	V;NFIN	V;SBJV;PRS;3;PL	C
lík	líka	V;IMP;2;SG	V;NFIN	C
skjóta	skjótum	V;NFIN	V;SBJV;PRS;1;PL	C
auk	auki	V;IMP;2;SG	V;SBJV;PRS;3;PL	C
líka	líkt	V;NFIN	V.PTCP;PST;ACC;SG	POS_PAIR_ERROR
dæmt	dæmast	V.PTCP;PST;ACC;SG	V;IND;PRS;3;PL	C
færðu	færði	V.PTCP;PST;DAT;PL	V;SBJV;PST;1;SG	C
ríktu	ríkir	V;IND;PST;3;PL	V;SBJV;PRS;2;SG	C
boð	boðin	N;INDF;ACC;SG	V.PTCP;PST;ACC;PL	POS_PAIR_ERROR
fiska	fisk	N;INDF;GEN;PL	N;INDF;ACC;SG	C
skrifi	skrifum	N;INDF;DAT;SG	N;INDF;DAT;PL	C
ættuð	ættum	V;IND;PST;2;PL	N;INDF;DAT;PL	C
dreifst	dreif	V;IND;PRS;1;SG	V;IMP;2;SG	C
tíðir	tíð	V;IND;PST;2;SG	N;INDF;ACC;SG	C
tíðum	tíð	N;INDF;DAT;PL	N;INDF;ACC;SG	C
auka	aukist	V;NFIN	V;SBJV;PRS;1;SG	C
haldið	halda	V;IND;PRS;2;PL	V;NFIN	C
virða	virði	V;NFIN	V;SBJV;PRS;3;PL	C
skipa	skipast	N;INDF;GEN;PL	V;IND;PRS;3;SG	C
