перемените	переменили	V;FUT;2;PL	V;PST;PL	C
Воздай	Воздайте	N;ACC;SG	V;IMP;2;PL	C
твердой	твердою	ADJ;ESS;FEM;SG	ADJ;INS;FEM;SG	C
купи	купите	V;IMP;2;SG	V;FUT;2;PL	C
хромых	хромой	N;GEN;PL	ADJ;ESS;FEM;SG	C
фараонов	фараона	N;GEN;PL	N;GEN;SG	C
садился	садить	V;PST;SG;MASC	V;NFIN	C
мешке	мешка	N;ESS;SG	N;GEN;SG	C
проклят	проклятого	N;NOM;SG	ADJ;GEN;MASC;SG	C
влекли	влекло	V.CVB	V;PST;SG;NEUT	C
обратила	обратить	V;PST;SG;FEM	V;NFIN	C
имели	имейте	V.CVB	V;IMP;2;PL	C
восстали	восстало	V.CVB	V;PST;SG;NEUT	C
изменит	изменили	V;FUT;3;SG	V;PST;PL	C
весу	вес	N;DAT;SG	N;NOM;SG	C
возлегли	возлегло	V.CVB	V;PST;SG;NEUT	C
родила	родным	V;PST;SG;FEM	ADJ;INS;NEUT;SG	POS_PAIR_ERROR
свекрови	свекровь	N;ACC;PL	N;ACC;SG	C
расположен	расположите	V.PTCP;PASS;PST	V;FUT;2;PL	C
пленных	пленным	ADJ;ESS;PL	ADJ;INS;NEUT;SG	C
желать	желало	ADJ;GEN;FEM;SG	V;PST;SG;NEUT	C
свободного	свободным	ADJ;GEN;NEUT;SG	ADJ;INS;NEUT;SG	C
золота	золоте	N;GEN;SG	N;ESS;SG	C
страшное	страшных	ADJ;ACC;NEUT;SG	ADJ;ESS;PL	C
начинали	начинайте	V.CVB	V;IMP;2;PL	C
сокруши	сокрушен	V;IMP;2;SG	V.PTCP;PASS;PST	POS_PAIR_ERROR
козлам	козлу	N;DAT;PL	N;DAT;SG	C
малого	малым	ADJ;GEN;MASC;SG	ADJ;INS;MASC;SG	C
умножили	умножила	V;PST;PL	V;PST;SG;FEM	C
скрытых	скрытое	N;GEN;PL	ADJ;NOM;NEUT;SG	C
неверующие	неверующая	V.PTCP;ACT;PST	ADJ;NOM;FEM;SG	C
святых	святой	N;GEN;PL	ADJ;ESS;FEM;SG	C
мала	малого	N;GEN;SG	ADJ;GEN;MASC;SG	C
возлюбленный	возлюбленные	ADJ;ACC;MASC;SG	ADJ;ACC;PL	C
телом	теле	N;INS;SG	N;ESS;SG	C
удалили	удалите	V;PST;PL	V;FUT;2;PL	C
Духа	Духом	N;GEN;SG	N;INS;SG	C
поставила	поставить	V;PST;SG;FEM	V;NFIN	C
составили	составить	V;PST;PL	V;NFIN	C
узнали	узнайте	V.CVB	V;IMP;2;PL	C
мужчины	мужчинах	N;NOM;PL	N;ESS;PL	C
главного	главным	ADJ;GEN;NEUT;SG	ADJ;INS;NEUT;SG	C
выходишь	выходите	V;FUT;2;SG	V;FUT;2;PL	C
любимую	любимая	ADJ;ACC;FEM;SG	ADJ;NOM;FEM;SG	C
отправить	отправили	V;NFIN	V;PST;PL	C
хочешь	хочет	V;PRS;2;SG	V;PRS;3;SG	C
признаешь	признайте	V;PRS;2;SG	V;IMP;2;PL	C
бесчести	бесчестили	V;IMP;2;SG	V;PST;PL	C
бесноватый	бесноватые	ADJ;ACC;MASC;SG	ADJ;ACC;PL	C
похорони	похоронили	V;IMP;2;SG	V;PST;PL	C
имело	имея	V;PST;SG;NEUT	V.CVB;PRS	POS_PAIR_ERROR
большую	большой	ADJ;ACC;FEM;SG	ADJ;ESS;FEM;SG	C
выводит	выводить	V;FUT;3;SG	V;NFIN	C
исчисли	исчислите	V;IMP;2;SG	V;FUT;2;PL	C
одержимый	одержимых	ADJ;ACC;MASC;SG	N;GEN;PL	C
схватила	схватили	V;PST;SG;FEM	V;PST;PL	C
Возлюбленном	Возлюбленный	N;INS;SG	ADJ;ACC;MASC;SG	C
убитой	убитым	ADJ;ESS;FEM;SG	ADJ;INS;MASC;SG	C
чужом	чужое	N;INS;SG	ADJ;NOM;NEUT;SG	C
сердечные	сердечной	ADJ;ACC;PL	ADJ;ESS;FEM;SG	C
остановить	остановили	V;NFIN	V;PST;PL	C
мертвых	мертвою	N;GEN;PL	ADJ;INS;FEM;SG	C
жило	жилой	N;ESS;SG	ADJ;ESS;FEM;SG	C
срубили	срубить	V;PST;PL	V;NFIN	C
страшные	страшное	ADJ;NOM;PL	ADJ;ACC;NEUT;SG	C
возлюбленной	возлюбленного	ADJ;ESS;FEM;SG	ADJ;GEN;MASC;SG	C
возлюбленного	возлюбленную	ADJ;GEN;MASC;SG	ADJ;ACC;FEM;SG	C
выслушать	выслушайте	ADJ;GEN;FEM;SG	V;IMP;2;PL	C
приступили	приступив	V;PST;PL	V.CVB;PST	POS_PAIR_ERROR
избранное	избранная	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG	C
бедным	бедный	ADJ;INS;NEUT;SG	ADJ;NOM;MASC;SG	C
точило	точила	N;ESS;SG	N;GEN;SG	C
литые	литое	ADJ;ACC;PL	ADJ;NOM;NEUT;SG	C
долги	долгом	N;NOM;PL	N;INS;SG	C
убит	убила	V;FUT;3;SG	V;PST;SG;FEM	C
купили	купила	V;PST;PL	V;PST;SG;FEM	C
имеет	имело	V;PRS;3;SG	V;PST;SG;NEUT	C
поступи	поступили	V;IMP;2;SG	V;PST;PL	C
расслабленным	расслабленные	ADJ;INS;NEUT;SG	ADJ;NOM;PL	C
мертво	мертвые	N;ESS;SG	ADJ;ACC;PL	C
мой	моем	N;ACC;SG	V;PRS;1;PL	C
живом	живою	N;INS;SG	ADJ;INS;FEM;SG	C
творите	творить	V;FUT;2;PL	V;NFIN	C
блудить	блудила	V;NFIN	V;PST;SG;FEM	C
дворах	двором	N;ESS;PL	N;INS;SG	C
расположен	расположи	V.PTCP;PASS;PST	V;IMP;2;SG	C
стража	стражами	N;GEN;SG	N;INS;PL	C
проводит	проводили	V;FUT;3;SG	V;PST;PL	C
новое	нового	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;SG	C
бесовскую	бесовской	ADJ;ACC;FEM;SG	ADJ;ESS;FEM;SG	C
хромым	хромого	ADJ;INS;MASC;SG	ADJ;GEN;MASC;SG	C
голодный	голодные	ADJ;NOM;MASC;SG	ADJ;NOM;PL	C
носильщиками	носильщиков	N;INS;PL	N;GEN;PL	C
тысячи	тысячами	N;NOM;PL	N;INS;PL	C
страж	страже	N;NOM;SG	N;ESS;SG	C
растила	растить	V;PST;SG;FEM	V;NFIN	C
половины	половине	N;NOM;PL	N;ESS;SG	C
строит	строился	V;FUT;3;SG	V;PST;SG;MASC	C
поешь	пол	V;PRS;2;SG	ADJ;MASC;SG;LGSPEC1	POS_PAIR_ERROR
слушало	слушающий	V;PST;SG;NEUT	V.PTCP;ACT;PRS	POS_PAIR_ERROR
требуй	требуйте	N;ACC;SG	V;IMP;2;PL	C
мозгом	мозгов	N;INS;SG	N;GEN;PL	C
козлу	козлом	N;DAT;SG	N;INS;SG	C
вороные	ворона	ADJ;ACC;PL	N;GEN;SG	C
говори	говорила	V;IMP;2;SG	V;PST;SG;FEM	C
произноси	произносили	V;IMP;2;SG	V;PST;PL	C
