проходите	проходила	V;FUT;2;PL	V;PST;SG;FEM	C
града	град	N;GEN;SG	N;NOM;SG	C
Дух	Духе	N;NOM;SG	N;ESS;SG	C
фараоном	фараона	N;INS;SG	N;GEN;SG	C
скорую	скорым	ADJ;ACC;FEM;SG	ADJ;INS;MASC;SG	C
кормить	кормила	V;NFIN	V;PST;SG;FEM	C
почитал	почитаете	ADJ;MASC;SG;LGSPEC1	V;PRS;2;PL	C
лицами	лицом	N;INS;PL	N;INS;SG	C
значила	значить	V;PST;SG;FEM	V;NFIN	C
большого	большою	ADJ;GEN;MASC;SG	ADJ;INS;FEM;SG	C
поворотить	поворотили	V;NFIN	V;PST;PL	C
сокрытую	сокрытый	ADJ;ACC;FEM;SG	ADJ;ACC;MASC;SG	C
имеешь	имеем	V;PRS;2;SG	V;PRS;1;PL	C
новой	новое	ADJ;ESS;FEM;SG	ADJ;NOM;NEUT;SG	C
твердая	твердое	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG	C
люби	любить	V;IMP;2;SG	V;NFIN	C
белые	белый	ADJ;ACC;PL	ADJ;ACC;MASC;SG	C
вложи	вложили	V;IMP;2;SG	V;PST;PL	C
возлюбленный	возлюбленной	ADJ;ACC;MASC;SG	ADJ;ESS;FEM;SG	C
вин	вином	N;NOM;SG	N;INS;SG	C
платить	платили	V;NFIN	V;PST;PL	C
новом	новое	N;INS;SG	ADJ;NOM;NEUT;SG	C
чужая	чужою	ADJ;NOM;FEM;SG	ADJ;INS;FEM;SG	C
творите	твори	V;FUT;2;PL	V;IMP;2;SG	C
души	душе	N;NOM;PL	N;ESS;SG	C
открытый	открытое	ADJ;ACC;MASC;SG	ADJ;NOM;NEUT;SG	C
заменили	заменим	V;PST;PL	V;IMP;1;PL	C
малых	малого	N;GEN;PL	ADJ;GEN;MASC;SG	C
духовные	духовных	ADJ;NOM;PL	ADJ;ESS;PL	C
чужая	чужого	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;SG	C
старого	старых	ADJ;GEN;MASC;SG	N;GEN;PL	C
находят	находился	V;PRS;3;PL	V;PST;SG;MASC	C
находила	находили	V;PST;SG;FEM	V;PST;PL	C
удалить	удалили	V;NFIN	V;PST;PL	C
возносили	возносить	V;PST;PL	V;NFIN	C
злом	зле	N;INS;SG	N;ESS;SG	C
мертвые	мертвых	ADJ;ACC;PL	N;GEN;PL	C
избранная	избранным	ADJ;NOM;FEM;SG	ADJ;INS;MASC;SG	C
весами	веса	N;INS;PL	N;GEN;SG	C
отходят	отходили	V;PRS;3;PL	V;PST;PL	C
возлюбите	возлюбили	V;FUT;2;PL	V;PST;PL	C
тельцов	тельцами	N;GEN;PL	N;INS;PL	C
красные	красный	ADJ;NOM;PL	ADJ;NOM;MASC;SG	C
отходите	отходила	V;FUT;2;PL	V;PST;SG;FEM	C
семейством	семействе	N;INS;SG	N;ESS;SG	C
окончить	окончила	V;NFIN	V;PST;SG;FEM	C
поправили	поправить	V;PST;PL	V;NFIN	C
окропи	окропили	V;IMP;2;SG	V;PST;PL	C
отворить	отвори	V;NFIN	V;IMP;2;SG	C
заклятое	заклятым	ADJ;NOM;NEUT;SG	ADJ;INS;MASC;SG	C
онемело	онемеешь	V;PST;SG;NEUT	V;PRS;2;SG	C
правых	правый	N;GEN;PL	ADJ;ACC;MASC;SG	C
первом	первых	N;INS;SG	N;GEN;PL	C
открытою	открытым	ADJ;INS;FEM;SG	ADJ;INS;MASC;SG	C
Знайте	Знаем	V;IMP;2;PL	V;PRS;1;PL	C
стражам	стражами	N;DAT;PL	N;INS;PL	C
права	правою	N;GEN;SG	ADJ;INS;FEM;SG	C
исходили	исходят	V;PST;PL	V;PRS;3;PL	C
объясним	объяснили	V;IMP;1;PL	V;PST;PL	C
восстановили	восстановим	V;PST;PL	V;IMP;1;PL	C
черных	черного	N;GEN;PL	ADJ;GEN;MASC;SG	C
правых	правым	N;GEN;PL	ADJ;INS;MASC;SG	C
знакомые	знакомых	ADJ;ACC;PL	N;GEN;PL	C
Мой	Мою	N;ACC;SG	V;PRS;1;SG	C
мои	мою	N;ACC;PL	V;PRS;1;SG	C
находим	находила	V;IMP;1;PL	V;PST;SG;FEM	C
возьмешь	возьмут	V;PRS;2;SG	V;FUT;3;PL	C
истуканом	истукан	N;INS;SG	N;NOM;SG	C
случая	случай	V.CVB;PRS	N;ACC;SG	C
аспид	аспида	N;NOM;SG	N;GEN;SG	C
сходишь	сходи	V;FUT;2;SG	V;IMP;2;SG	C
рога	рогом	N;GEN;SG	N;INS;SG	C
празднуй	празднуйте	N;ACC;SG	V;IMP;2;PL	C
произносили	произносила	V;PST;PL	V;PST;SG;FEM	C
живым	живых	ADJ;INS;MASC;SG	N;GEN;PL	C
смертный	смертным	ADJ;NOM;MASC;SG	ADJ;INS;NEUT;SG	C
испытанный	испытанного	ADJ;NOM;MASC;SG	ADJ;GEN;NEUT;SG	C
могли	могу	V.CVB	V;PRS;1;SG	C
собирать	собирайте	ADJ;GEN;FEM;SG	V;IMP;2;PL	C
строить	строила	V;NFIN	V;PST;SG;FEM	C
любимый	любимую	ADJ;ACC;MASC;SG	ADJ;ACC;FEM;SG	C
ожесточили	ожесточите	V;PST;PL	V;FUT;2;PL	C
похороните	похорони	V;FUT;2;PL	V;IMP;2;SG	C
дома	домой	N;GEN;SG	ADJ;ESS;FEM;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
возлюбленную	возлюбленные	ADJ;ACC;FEM;SG	ADJ;ACC;PL	C
служите	служи	V;FUT;2;PL	V;IMP;2;SG	C
рабу	рабе	N;DAT;SG	N;ESS;SG	C
литое	литые	ADJ;NOM;NEUT;SG	ADJ;ACC;PL	C
люби	любили	V;IMP;2;SG	V;PST;PL	C
перемените	переменить	V;FUT;2;PL	V;NFIN	C
бедных	бедные	ADJ;ESS;PL	ADJ;NOM;PL	C
вводите	вводить	V;FUT;2;PL	V;NFIN	C
проси	просили	V;IMP;2;SG	V;PST;PL	C
разделите	разделила	V;FUT;2;PL	V;PST;SG;FEM	C
богатым	богатый	ADJ;INS;MASC;SG	ADJ;ACC;MASC;SG	C
Знаем	Знайте	V;PRS;1;PL	V;IMP;2;PL	C
языком	язык	N;INS;SG	N;NOM;SG	C
отошлите	отошли	V;FUT;2;PL	V;IMP;2;SG	C
выкупи	выкупить	V;IMP;2;SG	V;NFIN	C
мертвым	мертвого	ADJ;INS;MASC;SG	ADJ;GEN;MASC;SG	C
медлили	медлить	V;PST;PL	V;NFIN	C
входили	входить	V;PST;PL	V;NFIN	C
духов	духами	N;GEN;PL	N;INS;PL	C
козлу	козлах	N;DAT;SG	N;ESS;PL	C
язву	язвы	N;DAT;SG	N;NOM;PL	C
нечистой	нечистою	ADJ;ESS;FEM;SG	ADJ;INS;FEM;SG	C
Благослови	Благословите	V;IMP;2;SG	V;FUT;2;PL	C
убийцу	убийцы	N;DAT;SG	N;NOM;PL	C
ухом	уха	N;INS;SG	N;GEN;SG	C
убийц	убийцы	N;NOM;SG	N;NOM;PL	C
расположен	расположи	V.PTCP;PASS;PST	V;IMP;2;SG	C
Аду	Адам	N;DAT;SG	N;DAT;PL	C
уходят	уходите	V;PRS;3;PL	V;FUT;2;PL	C
имеющий	имеешь	V.PTCP;ACT;PRS	V;PRS;2;SG	C
козлу	козлов	N;DAT;SG	N;GEN;PL	C
протоках	проток	N;ESS;PL	N;NOM;SG	C
учите	учи	V;FUT;2;PL	V;IMP;2;SG	C
возлюби	возлюбите	V;IMP;2;SG	V;FUT;2;PL	C
козлу	козлом	N;DAT;SG	N;INS;SG	C
разделила	разделили	V;PST;SG;FEM	V;PST;PL	C
пару	пар	N;DAT;SG	N;NOM;SG	C
открытое	открытую	ADJ;NOM;NEUT;SG	ADJ;ACC;FEM;SG	C
страшить	страшился	V;NFIN	V;PST;SG;MASC	C
желала	желающий	ADJ;FEM;SG;LGSPEC1	V.PTCP;ACT;PRS	C
пару	паре	N;DAT;SG	N;ESS;SG	C
восхвалите	восхвалили	V;FUT;2;PL	V;PST;PL	C
святого	святою	ADJ;GEN;MASC;SG	ADJ;INS;FEM;SG	C
сходят	сходить	V;PRS;3;PL	V;NFIN	C
десяти	десятой	N;NOM;PL	ADJ;ESS;FEM;SG	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
лицах	лицами	N;ESS;PL	N;INS;PL	C
уходят	уходи	V;PRS;3;PL	V;IMP;2;SG	C
переходит	переходишь	V;FUT;3;SG	V;FUT;2;SG	C
блаженных	блаженного	ADJ;ESS;PL	ADJ;GEN;NEUT;SG	C
бери	берет	N;ACC;PL	V;PRS;3;SG	C
пою	поем	V;PRS;1;SG	V;PRS;1;PL	C
дал	дало	ADJ;MASC;SG;LGSPEC1	V;PST;SG;NEUT	C
пьяных	пьяные	N;GEN;PL	ADJ;ACC;PL	C
переносим	переносит	V;IMP;1;PL	V;FUT;3;SG	C
устроен	устроили	V.PTCP;PASS;PST	V;PST;PL	C
сходили	сходим	V;PST;PL	V;IMP;1;PL	C
сторож	сторожам	N;NOM;SG	N;DAT;PL	C
приучила	приучили	V;PST;SG;FEM	V;PST;PL	C
произносила	произноси	V;PST;SG;FEM	V;IMP;2;SG	C
избранный	избранной	ADJ;ACC;MASC;SG	ADJ;ESS;FEM;SG	C
приклонили	приклоните	V;PST;PL	V;FUT;2;PL	C
живых	живые	N;GEN;PL	ADJ;ACC;PL	C
жил	жила	N;NOM;SG	N;GEN;SG	C
окружила	окружить	V;PST;SG;FEM	V;NFIN	C
разорили	разори	V;PST;PL	V;IMP;2;SG	C
пожалели	пожалело	V.CVB	V;PST;SG;NEUT	C
венца	венцом	N;GEN;SG	N;INS;SG	C
воду	водить	V;FUT;1;SG	V;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR
весу	весе	N;DAT;SG	N;ESS;SG	C
жилы	жилой	N;NOM;PL	ADJ;ESS;FEM;SG	C
черные	черного	ADJ;ACC;PL	ADJ;GEN;MASC;SG	C
