räckt	räckas	ADJ;INDF;NEUT;SG	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
släktens	släktet	N;DEF;GEN;SG	N;DEF;NOM;SG	C
sårande	sårade	ADJ;PRS	ADJ;DEF;PL	C
spik	spikarna	N;INDF;NOM;SG	N;DEF;NOM;PL	C
lösas	löses	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	C
beredde	bereda	V;ACT;IND;PST	V;ACT;NFIN	C
lära	lärde	V;ACT;NFIN	V;ACT;IND;PST	C
väckas	väckes	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	C
öst	ösa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
räckas	räcka	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
binda	bindas	V;ACT;NFIN	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
skylde	skylt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
namns	namnet	N;INDF;GEN;PL	N;DEF;NOM;SG	C
ed	edens	N;INDF;NOM;SG	N;DEF;GEN;SG	C
befästas	befästa	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
uppbygga	uppbygges	V;ACT;NFIN	V;PASS;IND;PRS	C
beskärde	beskäres	V;ACT;IND;PST	V;PASS;IND;PRS	C
dom	domarna	N;INDF;NOM;SG	N;DEF;NOM;PL	C
övriga	övrigas	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
utkräva	utkräves	V;ACT;NFIN	V;PASS;IND;PRS	C
mött	möta	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
son	sons	N;INDF;NOM;SG	N;INDF;GEN;PL	TGT_SLOT_ERROR
släktet	släktens	N;DEF;NOM;SG	N;DEF;GEN;SG	C
arv	arvet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
dödsrike	dödsriket	N;INDF;NOM;SG	N;DEF;NOM;SG	C
plågades	plågas	V;PASS;IND;PST	V;PASS;NFIN	C
upptage	upptages	V.PTCP;PST	V;PASS;IND;PRS	C
överdragna	överdragen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
gudsfruktan	gudsfruktans	N;INDF;NOM;SG	N;INDF;GEN;PL	TGT_SLOT_ERROR
förslaget	förslag	N;DEF;NOM;SG	N;INDF;NOM;SG	C
eder	edens	N;INDF;PL	N;DEF;GEN;SG	C
kokte	kokt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
lama	lames	V;ACT;NFIN	V;PASS;IND;PRS	SRC_SLOT_ERROR;TGT_SLOT_ERROR
stilla	stillas	V;IMP	V;PASS;NFIN	C
kallades	kalla	V;PASS;IND;PST	V;IMP	C
givna	given	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
hjärtat	hjärtas	V.CVB;ACT	V;PASS;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
dragen	drage	ADJ;INDF;MASC+FEM;SG	V.PTCP;PST	TGT_SLOT_ERROR
födde	födas	V;ACT;IND;PST	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
tillredes	tillreda	V;PASS;IND;PRS	V;ACT;NFIN	C
stöta	stötte	V;ACT;NFIN	V;ACT;IND;PST	C
beta	betar	V;IMP	V;ACT;IND;PRS	C
rört	röras	ADJ;INDF;NEUT;SG	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
nämnde	nämnda	V;ACT;IND;PST	V;ACT;NFIN	TGT_SLOT_ERROR
Anas	Ana	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
dräpa	dräpes	V;ACT;NFIN	V;PASS;IND;PRS	C
arms	arme	N;INDF;GEN;SG	V.PTCP;PST	TGT_SLOT_ERROR
bortkastade	bortkastat	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
bäre	bäres	V.PTCP;PST	V;PASS;IND;PRS	C
lärt	läras	ADJ;INDF;NEUT;SG	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
dolda	dolde	V;ACT;NFIN	V.PTCP;PST	C
års	årens	N;INDF;GEN;PL	N;DEF;GEN;SG	TGT_SLOT_ERROR
avståndet	avstånd	N;DEF;NOM;SG	N;INDF;NOM;SG	C
Råd	Rådet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
klipper	klippa	V.CVB	V;ACT;NFIN	C
bon	bot	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
följeslagares	följeslagare	N;INDF;GEN;PL	N;INDF;NOM;SG	C
granne	grannarna	N;INDF;NOM;SG	N;DEF;NOM;PL	C
tillreda	tillredes	V;ACT;NFIN	V;PASS;IND;PRS	C
stores	store	V;PASS;IND;PRS	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
spikarna	spik	N;DEF;NOM;PL	N;INDF;NOM;SG	C
vare	vara	V.PTCP;PST	V;ACT;NFIN	C
förgjordes	förgjorda	V;PASS;IND;PRS	V;ACT;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
bakhållet	bakhåll	N;DEF;NOM;SG	N;INDF;NOM;SG	C
järnet	järn	N;DEF;NOM;SG	N;INDF;NOM;SG	C
pluggarna	plugg	N;DEF;NOM;PL	N;INDF;NOM;SG	C
kors	korna	N;INDF;GEN;SG	V;ACT;NFIN	TGT_SLOT_ERROR
spända	spände	V;ACT;NFIN	V.PTCP;PST	C
slaktades	slaktade	V;PASS;IND;PST	ADJ;DEF;PL	C
skära	skäras	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
bådas	båda	V;PASS;NFIN	V;IMP	C
stött	stötes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
kramades	kramade	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
äta	äte	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
fortfara	fortfare	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
område	området	N;INDF;NOM;SG	N;DEF;NOM;SG	C
blåses	blåste	V;PASS;IND;PRS	V;ACT;IND;PST	C
skålarna	skål	N;DEF;NOM;PL	N;INDF;NOM;SG	C
avsatserna	avsats	N;DEF;PL	N;INDF;NOM;SG	C
skattmästarna	skattmästare	V;ACT;NFIN	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Alls	Allas	N;INDF;GEN;SG	ADJ;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
agat	agas	V.CVB;ACT	V;PASS;NFIN	C
befälet	befäl	N;DEF;NOM;SG	N;INDF;NOM;SG	C
dukat	dukade	V.CVB;ACT	ADJ;DEF;PL	C
dödas	dödade	V;PASS;NFIN	ADJ;DEF;PL	C
klagorop	klagoropet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
rygga	ryggas	V;IMP	V;PASS;NFIN	C
ena	enes	V;ACT;NFIN	V;PASS;IND;PRS	TGT_SLOT_ERROR
vare	vars	V.PTCP;PST	N;INDF;GEN;SG	C
lösa	löses	V;ACT;NFIN	V;PASS;IND;PRS	C
samlades	samlas	V;PASS;IND;PST	V;PASS;NFIN	C
vikt	vika	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
böjt	böjes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
dräpt	dräpa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
utbreda	utbredde	V;ACT;NFIN	V;ACT;IND;PST	C
dammarna	damm	N;DEF;NOM;PL	N;INDF;NOM;SG	C
odjuret	odjur	N;DEF;NOM;SG	N;INDF;NOM;SG	C
bortryckta	bortrycktes	V;ACT;NFIN	V;PASS;IND;PRS	SRC_SLOT_ERROR;TGT_SLOT_ERROR
vakar	vaka	V;ACT;IND;PRS	V;IMP	C
stilla	stillades	V;IMP	V;PASS;IND;PST	C
bundna	bunden	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
renade	rena	ADJ;DEF;PL	V;IMP	C
upplagt	upplagda	ADJ;INDF;NEUT;SG	V;ACT;NFIN	TGT_SLOT_ERROR
hölje	höljes	V.PTCP;PST	V;PASS;IND;PRS	C
våldföra	våldföres	V;ACT;NFIN	V;PASS;IND;PRS	C
sträva	strävade	V;IMP	ADJ;DEF;PL	C
tårarna	tår	N;DEF;NOM;PL	N;INDF;NOM;SG	C
ekar	ek	N;INDF;PL	N;INDF;NOM;SG	C
förskräckte	förskräckt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
oxens	oxarna	N;DEF;GEN;SG	N;DEF;NOM;PL	C
siste	sista	V.PTCP;PST	V;ACT;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
tyckes	tycke	V;PASS;IND;PRS	V.PTCP;PST	TGT_SLOT_ERROR
plåga	plågas	V;IMP	V;PASS;NFIN	C
föröda	förödes	V;ACT;NFIN	V;PASS;IND;PRS	C
stengolv	stengolvet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
taga	tages	V;ACT;NFIN	V;PASS;IND;PRS	C
backarna	backar	N;DEF;NOM;PL	N;INDF;PL	TGT_SLOT_ERROR
drogs	drog	N;INDF;GEN;PL	N;INDF;NOM;SG	C
torkade	torka	ADJ;DEF;PL	V;IMP	C
anställd	anställda	V.PTCP;PST	V;ACT;NFIN	TGT_SLOT_ERROR
blåses	blåsa	V;PASS;IND;PRS	V;ACT;NFIN	C
kalla	kallades	V;IMP	V;PASS;IND;PST	C
öppnas	öppnade	V;PASS;NFIN	ADJ;DEF;PL	C
före	fören	V.PTCP;PST	ADJ;INDF;MASC+FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
rikes	rikt	V;PASS;IND;PRS	ADJ;INDF;NEUT;SG	C
omstörtades	omstörtade	V;PASS;IND;PST	ADJ;DEF;PL	C
Noa	Noas	V;ACT;NFIN	ADJ;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
armodet	armod	N;DEF;NOM;SG	N;INDF;NOM;SG	C
tage	tages	V.PTCP;PST	V;PASS;IND;PRS	C
brevet	brev	N;DEF;NOM;SG	N;INDF;NOM;SG	C
utplånade	utplånades	ADJ;DEF;PL	V;PASS;IND;PST	C
tända	tändas	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
fara	fare	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
Båda	Både	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
