felldir	felldur	V;IND;PST;2;SG	V.PTCP;PST;NOM;SG	POS_PAIR_ERROR
byggið	byggjum	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;PL	C
svo	svona	V;IMP;2;SG	V.PTCP;PST;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR
boðaði	boð	V;SBJV;PST;3;SG	N;INDF;ACC;SG	POS_PAIR_ERROR
keyptir	keyptu	V;IND;PST;2;SG	N;INDF;GEN;SG	TGT_SLOT_ERROR
móður	móðan	N;INDF;ACC;PL	N;DEF;NOM;SG	C
heiman	heima	ADJ;ACC;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR
Haf	Hafði	V;IMP;2;SG	V;SBJV;PST;1;SG	TGT_SLOT_ERROR
mörkum	marki	V;IND;PRS;1;PL	V;SBJV;PRS;3;PL	C
mín	mínum	N;INDF;ACC;SG	N;INDF;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Hafið	Hafði	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	TGT_SLOT_ERROR
verðið	verðið	N;DEF;ACC;SG	N;DEF;NOM;SG	C
þinna	þinn	N;INDF;GEN;PL	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
sum	sums	N;INDF;ACC;SG	PRN;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR
als	al	N;INDF;GEN;SG	N;INDF;ACC;SG	C
Fyrstur	Fyrsti	V.PTCP;PST;NOM;SG	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
liða	liðunum	N;INDF;GEN;PL	N;DEF;DAT;PL	C
útlisti	útlista	N;INDF;DAT;SG	N;INDF;GEN;PL	SRC_LEXICAL_ERROR
hittu	hitt	V;IND;PST;3;PL	V.PTCP;PST;ACC;SG	POS_PAIR_ERROR
þeirra	þeirri	N;INDF;GEN;PL	N;INDF;DAT;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
sjúkdómanna	sjúkdóminn	N;DEF;GEN;PL	N;DEF;ACC;SG	C
Fyrsti	Fyrstur	N;INDF;DAT;SG	V.PTCP;PST;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
minnstu	minnsta	N;INDF;GEN;SG	N;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
læra	lært	V;NFIN	V.CVB	C
er	eruð	N;INDF;ACC;SG	V;IND;PST;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
virða	virðið	N;INDF;GEN;PL	N;DEF;NOM;SG	C
sjálft	sjálfir	N;INDF;ACC;SG	V;IND;PST;2;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
mál	málið	N;INDF;ACC;SG	V;IMP;2;PL	POS_PAIR_ERROR
nokkrum	nokkrar	N;INDF;DAT;PL	ADJ;NOM;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
gætir	gætt	V;SBJV;PRS;2;SG	V.PTCP;PST;ACC;SG	TGT_SLOT_ERROR
stöðunni	stöðu	N;DEF;DAT;SG	N;INDF;ACC;SG	C
notaðir	noti	V;IND;PST;2;SG	V;SBJV;PRS;3;PL	C
hornið	horna	N;DEF;ACC;SG	N;INDF;GEN;PL	C
höfnum	höfnuðu	V;SBJV;PST;1;PL	V;SBJV;PST;3;PL	C
gjaldið	gjöldum	V;IMP;2;PL	V;SBJV;PRS;1;PL	C
gættir	gættuð	V;SBJV;PST;2;SG	V;IND;PST;2;PL	C
mínum	mín	N;INDF;DAT;PL	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
opið	opna	V;IND;PRS;2;PL	V.PTCP;PST;GEN;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
óvirti	óvirtuð	N;INDF;DAT;SG	V;IND;PST;2;PL	SRC_LEXICAL_ERROR
sum	sumum	N;INDF;ACC;SG	N;INDF;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
minnum	minni	V;SBJV;PRS;1;PL	V;SBJV;PRS;1;SG	C
lastmælin	lastmælt	ADJ;ACC;PL	V.PTCP;PST;ACC;SG	SRC_LEXICAL_ERROR
hljótið	hljótum	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;PL	C
öðlast	öðlist	V;NFIN	V;SBJV;PRS;3;PL	C
neinu	neinn	V;SBJV;PST;2;PL	N;DEF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
eyra	eyrað	N;INDF;DAT;SG	N;DEF;ACC;SG	C
