превозносив	превозносим	V.CVB;PST	V;PRS;1;PL	C
посохом	посохи	N;INS;SG	N;ACC;PL	C
язвами	язве	N;INS;PL	N;DAT;SG	C
временных	временным	ADJ;GEN;PL	ADJ;INS;MASC;SG	C
звёзды	звездой	N;NOM;PL	N;INS;SG	C
растите	растишь	V;IMP;2;PL	V;PRS;2;SG	C
выводите	выводи	V;PRS;2;PL	V;IMP;2;SG	C
возвести	возвестите	V;IMP;2;SG	V;IMP;2;PL	C
спросим	спроси	V;FUT;1;PL	V;IMP;2;SG	C
петый	поют	V.PTCP;PASS;PST	V;PRS;3;PL	C
выводишь	выводи	V;PRS;2;SG	V;IMP;2;SG	C
животные	животного	N;NOM;PL	N;GEN;SG	C
выводили	выводите	V;PST;PL	V;PRS;2;PL	C
литых	литая	ADJ;GEN;PL	ADJ;NOM;FEM;SG	C
славив	славите	V.CVB;PST	V;PRS;2;PL	C
губим	губишь	V;PRS;1;PL	V;PRS;2;SG	C
растите	растишь	V;IMP;2;PL	V;PRS;2;SG	C
скрытое	скрыты	ADJ;ACC;NEUT;SG	ADJ;PL;LGSPEC1	C
рассеявший	рассеете	V.PTCP;ACT;PST	V;FUT;2;PL	C
царями	царям	N;INS;PL	N;DAT;PL	C
славили	славите	V;PST;PL	V;PRS;2;PL	C
умножили	умножь	V;PST;PL	V;IMP;2;SG	C
рассеете	рассеете	V;FUT;2;PL	V;FUT;2;PL	C
письмам	письма	N;DAT;PL	N;NOM;PL	C
неверного	неверным	ADJ;GEN;MASC;SG	ADJ;INS;NEUT;SG	C
сравнишь	сравните	V;FUT;2;SG	V;IMP;2;PL	C
возносимый	возношу	V.PTCP;PASS;PRS	V;PRS;1;SG	C
светила	светило	V;PST;SG;FEM	V;PST;SG;NEUT	C
пев	поют	V.CVB;PST	V;PRS;3;PL	C
горькой	горек	ADJ;DAT;FEM;SG	ADJ;MASC;SG;LGSPEC1	C
гумне	гумнам	N;ESS;SG	N;DAT;PL	C
жилищ	жилища	N;GEN;PL	N;NOM;PL	C
духовного	духовная	ADJ;ANIM;ACC;MASC;SG	ADJ;NOM;FEM;SG	C
соорудите	соорудил	V;FUT;2;PL	V;PST;SG;MASC	C
губящий	губишь	V.PTCP;ACT;PRS	V;PRS;2;SG	C
выводила	выводи	V;PST;SG;FEM	V;IMP;2;SG	C
литой	литая	ADJ;INAN;ACC;MASC;SG	ADJ;NOM;FEM;SG	C
ослабейте	ослабеете	V;IMP;2;PL	V;FUT;2;PL	C
литой	литая	ADJ;INAN;ACC;MASC;SG	ADJ;NOM;FEM;SG	C
возвести	возвестите	V;IMP;2;SG	V;IMP;2;PL	C
соорудила	соорудил	V;PST;SG;FEM	V;PST;SG;MASC	C
согрешите	согрешите	V;FUT;2;PL	V;IMP;2;PL	C
возвестите	возвестите	V;FUT;2;PL	V;IMP;2;PL	C
стороживший	сторожить	V.PTCP;ACT;PST	V;NFIN	C
выдавший	выдадите	V.PTCP;ACT;PST	V;FUT;2;PL	C
петь	поют	V;NFIN	V;PRS;3;PL	C
старых	старые	N;GEN;PL	N;NOM;PL	C
горькое	горек	ADJ;ACC;NEUT;SG	ADJ;MASC;SG;LGSPEC1	C
злых	злых	ADJ;ACC;ANIM;PL	ADJ;ESS;PL	C
поющий	поют	V.PTCP;ACT;PRS	V;PRS;3;PL	C
выпали	выпала	V;PST;PL	V;PST;SG;FEM	C
спросили	спроси	V;PST;PL	V;IMP;2;SG	C
спросивший	спроси	V.PTCP;ACT;PST	V;IMP;2;SG	C
язве	язве	N;DAT;SG	N;DAT;SG	C
упоминавший	упоминаете	V.PTCP;ACT;PST	V;PRS;2;PL	C
прямые	прямая	N;ACC;PL	N;NOM;SG	C
животных	животного	N;ESS;PL	N;GEN;SG	C
немых	немая	ADJ;GEN;PL	ADJ;NOM;FEM;SG	C
возвестят	возвестите	V;FUT;3;PL	V;IMP;2;PL	C
язву	язве	N;ACC;SG	N;DAT;SG	C
захваченный	захватило	V.PTCP;PASS;PST	V;PST;SG;NEUT	C
возвести	возвестите	V;IMP;2;SG	V;IMP;2;PL	C
вывести	вывели	V;NFIN	V;PST;PL	C
веривший	веришь	V.PTCP;ACT;PST	V;PRS;2;SG	C
немого	немая	ADJ;GEN;NEUT;SG	ADJ;NOM;FEM;SG	C
долгом	долгая	ADJ;ESS;MASC;SG	ADJ;NOM;FEM;SG	C
немым	немая	ADJ;INS;NEUT;SG	ADJ;NOM;FEM;SG	C
спросите	спроси	V;FUT;2;PL	V;IMP;2;SG	C
убеждённый	убедить	V.PTCP;PASS;PST	V;NFIN	C
чужих	чужой	ADJ;ESS;PL	ADJ;INS;FEM;SG	C
возвестил	возвестите	V;PST;SG;MASC	V;IMP;2;PL	C
славящий	славите	V.PTCP;ACT;PRS	V;PRS;2;PL	C
поя	поют	V.CVB;PRS	V;PRS;3;PL	C
бедного	бедные	ADJ;GEN;MASC;SG	ADJ;NOM;PL	C
царя	царишь	V.CVB;PRS	V;PRS;2;SG	C
чужие	чужой	ADJ;NOM;PL	ADJ;INS;FEM;SG	C
сестра	сёстрами	N;NOM;SG	N;INS;PL	C
растят	растишь	V;PRS;3;PL	V;PRS;2;SG	C
захвачу	захватило	V;FUT;1;SG	V;PST;SG;NEUT	C
носильщикам	носильщику	N;DAT;PL	N;DAT;SG	C
литого	литая	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;SG	C
столпа	столпе	N;GEN;SG	N;ESS;SG	C
животное	животного	N;NOM;SG	N;GEN;SG	C
ехидным	ехидное	ADJ;INS;MASC;SG	ADJ;NOM;NEUT;SG	C
возношу	возношу	V;PRS;1;SG	V;PRS;1;SG	C
славило	славите	V;PST;SG;NEUT	V;PRS;2;PL	C
известить	известишь	V;NFIN	V;FUT;2;SG	C
животных	животного	N;ESS;PL	N;GEN;SG	C
ждите	ждала	V;IMP;2;PL	V;PST;SG;FEM	C
превозноси	превозносил	V;IMP;2;SG	V;PST;SG;MASC	C
неверное	неверным	ADJ;ACC;NEUT;SG	ADJ;INS;NEUT;SG	C
рассею	рассеете	V;FUT;1;SG	V;FUT;2;PL	C
возвещу	возвестите	V;FUT;1;SG	V;IMP;2;PL	C
светя	светило	V.CVB;PRS	V;PST;SG;NEUT	C
вывожу	выводи	V;PRS;1;SG	V;IMP;2;SG	C
старых	старые	N;ESS;PL	N;NOM;PL	C
немых	немая	ADJ;GEN;PL	ADJ;NOM;FEM;SG	C
столпы	столпе	N;ACC;INAN;PL	N;ESS;SG	C
скрытого	скрыты	ADJ;ANIM;ACC;MASC;SG	ADJ;PL;LGSPEC1	C
царям	царям	N;DAT;PL	N;DAT;PL	C
злых	злых	ADJ;ESS;PL	ADJ;ESS;PL	C
