jagat	jagas	V.CVB;ACT	V;PASS;IND;PRS	C
säljs	sälj	V;PASS;IND;PRS	V;IMP	C
förfars	förfors	V;PASS;IND;PRS	V;PASS;IND;PST	C
besöka	besök	V;ACT;NFIN	V;IMP	C
bundna	bundne	ADJ;INDF;PL	ADJ;DEF;MASC;SG	C
läs	lästes	V;IMP	V;PASS;IND;PST	C
bältens	bältets	N;INDF;GEN;PL	N;DEF;GEN;SG	C
borgaren	borgarens	N;DEF;NOM;SG	N;DEF;GEN;SG	C
anklagats	anklagades	V.CVB;PASS	V;PASS;IND;PST	C
fattat	fattat	ADJ;INDF;NEUT;SG	ADJ;INDF;NEUT;SG	C
fäste	fästens	N;INDF;NOM;SG	N;INDF;GEN;PL	C
sökts	sök	V.CVB;PASS	V;IMP	C
täcke	täckt	ADJ;DEF;MASC;SG	ADJ;INDF;NEUT;SG	C
rovets	rov	N;DEF;GEN;SG	N;INDF;NOM;SG	C
upplyses	upplyses	V;PASS;IND;PRS	V;PASS;IND;PRS	C
kokar	kokade	V;ACT;IND;PRS	V;ACT;IND;PST	C
ax	ax	N;INDF;NOM;SG	N;INDF;NOM;PL	C
lärda	lärde	ADJ;INDF;PL	ADJ;DEF;MASC;SG	C
beröms	berömde	V;PASS;IND;PRS	V;ACT;IND;PST	C
odjur	odjurets	N;INDF;NOM;PL	N;DEF;GEN;SG	C
befäst	befästa	V;IMP	V;ACT;NFIN	C
antänt	antänder	V.CVB;ACT	V;ACT;IND;PRS	C
blottar	blottas	V;ACT;IND;PRS	V;PASS;IND;PRS	C
utgörande	utgjordes	V.PTCP;PRS	V;PASS;IND;PST	C
rov	rovets	N;INDF;NOM;SG	N;DEF;GEN;SG	C
skötte	sköt	V;ACT;IND;PST	V;IMP	C
talat	talade	V.CVB;ACT	V;ACT;IND;PST	C
blottar	blotta	V;ACT;IND;PRS	V;ACT;NFIN	C
blottades	blotta	V;PASS;IND;PST	V;ACT;NFIN	C
vålds	vålds	N;INDF;GEN;SG	N;INDF;GEN;SG	C
stöts	stöttes	V;PASS;IND;PRS	V;PASS;IND;PST	C
tystad	tystades	V.PTCP;PST	V;PASS;IND;PST	C
bakhålls	bakhåll	N;INDF;GEN;SG	N;INDF;NOM;SG	C
lösts	lös	V.CVB;PASS	V;IMP	C
öppna	öppnas	V;IMP	V;PASS;IND;PRS	C
stöts	stöttes	V;PASS;IND;PRS	V;PASS;IND;PST	C
betäckas	betäck	V;PASS;NFIN	V;IMP	C
saknade	saknas	V;ACT;IND;PST	V;PASS;IND;PRS	C
byttor	byttan	N;INDF;NOM;PL	N;DEF;NOM;SG	C
tågas	tåga	V;PASS;NFIN	V;ACT;NFIN	C
dyrkade	dyrkas	V;ACT;IND;PST	V;PASS;NFIN	C
odjurs	odjurs	N;INDF;GEN;PL	N;INDF;GEN;PL	C
sökas	söka	V;PASS;NFIN	V;ACT;NFIN	C
anställs	anställa	V;PASS;IND;PRS	V;ACT;NFIN	C
murares	murarens	N;INDF;GEN;SG	N;DEF;GEN;SG	C
årorna	årors	N;DEF;NOM;PL	N;INDF;GEN;PL	C
vilddjur	vilddjurs	N;INDF;NOM;PL	N;INDF;GEN;PL	C
flyttas	flyttar	V;PASS;NFIN	V;ACT;IND;PRS	C
blottas	blotta	V;PASS;IND;PRS	V;ACT;NFIN	C
påbudet	påbuds	N;DEF;NOM;SG	N;INDF;GEN;PL	C
täcke	täcken	N;INDF;NOM;SG	N;INDF;NOM;PL	C
utfärdas	utfärdas	V;PASS;IND;PRS	V;PASS;IND;PRS	C
lärd	lärd	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG	C
talas	talas	V;PASS;IND;PRS	V;PASS;IND;PRS	C
