upptage	upptagna	V.PTCP;PST	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
trygga	tryggade	V;IMP	ADJ;DEF;PL	C
skarpt	skarpa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	TGT_SLOT_ERROR
lösa	lösen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
kläder	klädda	V.CVB	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
kokt	koken	ADJ;INDF;NEUT;SG	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
krossades	krossade	V;PASS;IND;PST	ADJ;DEF;PL	C
sjuka	sjuke	V;ACT;NFIN	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
betar	beten	V;ACT;IND;PRS	N;DEF;SG	TGT_SLOT_ERROR
lider	lidande	V.CVB	V.PTCP;PRS	PARADIGM_ERROR;SRC_SLOT_ERROR
hörsammades	hörsammade	V;PASS;IND;PST	ADJ;DEF;PL	C
funna	funno	V;ACT;NFIN	ADJ;INDF;NOM;PL	TGT_LEXICAL_ERROR;SRC_SLOT_ERROR
stadier	stadiers	N;INDF;NOM;SG	N;INDF;GEN;PL	C
lever	leven	V.CVB	ADJ;INDF;MASC+FEM;SG	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
fällas	fällda	ADJ;INDF;GEN;PL	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
fören	föra	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	PARADIGM_ERROR;SRC_SLOT_ERROR
betrycktes	betrycktas	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
stadgar	stadgen	V;ACT;IND;PRS	N;DEF;SG	TGT_LEXICAL_ERROR
Vare	Varde	V.PTCP;PST	V;ACT;IND;PST	PARADIGM_ERROR;SRC_SLOT_ERROR
tränga	trängd	V;ACT;NFIN	V.PTCP;PST	POS_PAIR_ERROR
korsfästes	korsfästa	V;PASS;IND;PRS	V;ACT;NFIN	C
släkterna	släkt	N;DEF;PL	N;INDF;NOM;SG	C
renades	renat	V;PASS;IND;PST	V.CVB;ACT	POS_PAIR_ERROR
sticka	stickas	V;IMP	V;PASS;NFIN	C
fördömde	fördömd	V;ACT;IND;PST	V.PTCP;PST	POS_PAIR_ERROR
Rehabeams	Rehabeam	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
säljare	säljen	V.CVB;COMPV	ADJ;INDF;MASC+FEM;SG	TGT_LEXICAL_ERROR;SRC_SLOT_ERROR
skäres	skäras	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
