verführe	verführt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
zürnet	zürne	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
Fusselbart	Fusselbärten	N;DAT;SG	N;DAT;PL	C
verkündiget	verkündigte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	SRC_LEXICAL_ERROR
legest	legt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
verwirrte	verwirrest	V;IND;PST;1;SG	V;SBJV;PRS;2;SG	C
Bankettes	Banketten	N;GEN;SG	N;DAT;PL	C
tasteten	tastet	V;SBJV;PST;1;PL	V;IND;PRS;2;PL	C
löstet	lösten	V;IND;PST;2;PL	V;SBJV;PST;3;PL	C
ehrst	ehrte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
fasset	fassest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
Alte	Alten	V;SBJV;PST;1;SG	V;SBJV;PST;3;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
behauptest	behauptete	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
Gemurmel	Gemurmel	N;ACC;SG	N;NOM;SG	C
Hypochlorite	Hypochlorit	N;ACC;PL	N;NOM;SG	C
besorg	besorgest	V;IMP;2;SG	V;SBJV;PRS;2;SG	C
ratet	raten	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
Drehtüren	Drehtüren	N;DAT;PL	N;DAT;PL	C
kühl	kühle	N;NOM;SG	V;SBJV;PRS;1;SG	C
fresse	fresset	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
Polarisation	Polarisation	N;ACC;SG	N;NOM;SG	C
glaubten	glaubet	V;IND;PST;1;PL	V;SBJV;PRS;2;PL	C
Berylle	Beryll	N;NOM;PL	N;NOM;SG	C
Färsen	Färsen	N;ACC;PL	N;DAT;PL	C
Imperialismen	Imperialismen	N;GEN;PL	N;DAT;PL	C
Meinst	Meinen	V;IND;PRS;2;SG	N;DAT;PL	TGT_SLOT_ERROR
nähret	nähre	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
ihres	ihren	ADJ;ACC;SG	N;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Randbemerkung	Randbemerkung	N;GEN;SG	N;NOM;SG	C
Erzherzogshüte	Erzherzogshüten	N;NOM;PL	N;DAT;PL	C
gedolmetscht	dolmetschst	V.PTCP;PST	V;IND;PRS;2;SG	C
Entree	Entree	N;NOM;SG	N;NOM;SG	C
lehrest	lehren	V;SBJV;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
reichen	reichet	V;SBJV;PRS;3;PL	V;SBJV;PRS;2;PL	C
trage	tragt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
Kaktusfeige	Kaktusfeige	N;GEN;SG	N;NOM;SG	C
verführten	verführest	V;SBJV;PST;1;PL	V;SBJV;PRS;2;SG	C
gewurstelt	wurstelten	V.PTCP;PST	V;SBJV;PST;3;PL	C
konntet	konntest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
