hjartarins	hjartar	N;DEF;GEN;SG	N;INDF;GEN;SG	C
séum	sé	V;SBJV;PRS;1;PL	V;IMP;2;SG	TGT_SLOT_ERROR
ljúka	ljúkast	N;INDF;GEN;PL	V;IND;PRS;3;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
líkinu	líkunum	N;DEF;DAT;SG	N;DEF;DAT;PL	C
klæðið	klæði	V;IMP;2;PL	V;SBJV;PRS;1;SG	C
engu	engan	N;INDF;GEN;SG	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
málaðir	málaðir	V;IND;PST;2;SG	V;IND;PST;2;SG	C
flokk	flokki	N;INDF;ACC;SG	N;INDF;DAT;SG	C
heflaði	hefli	V;IND;PST;3;SG	V;SBJV;PRS;1;SG	C
erum	er	N;INDF;DAT;PL	N;INDF;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
styrkja	styrkjum	V;NFIN	V;SBJV;PRS;1;PL	C
hrapsins	hrap	N;DEF;GEN;SG	N;INDF;ACC;SG	C
bolir	bols	N;INDF;NOM;PL	N;INDF;GEN;SG	C
herstígvéla	herstígvél	N;INDF;GEN;PL	N;INDF;ACC;SG	C
styrkti	styrkjum	V;SBJV;PST;3;SG	V;SBJV;PRS;1;PL	C
hengdu	hengdi	N;INDF;GEN;SG	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
engu	engum	N;INDF;GEN;SG	N;INDF;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
þægindi	þægindum	N;INDF;ACC;SG	N;INDF;DAT;SG	C
flokkinn	flokkur	N;DEF;ACC;SG	V.PTCP;PST;NOM;SG	TGT_SLOT_ERROR
boða	boðin	N;INDF;GEN;PL	V.PTCP;PST;ACC;PL	POS_PAIR_ERROR
styrkir	styrkir	V;IND;PRS;2;SG	V;IND;PRS;2;SG	C
mínir	míns	V;IND;PST;2;SG	PRN;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
bullinu	bullið	N;DEF;DAT;SG	N;DEF;NOM;SG	C
færist	færð	V;SBJV;PRS;1;SG	N;INDF;NOM;SG	TGT_SLOT_ERROR
keypti	keyptu	N;INDF;DAT;SG	N;INDF;GEN;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
reynið	reyni	V;IND;PRS;2;PL	V;IND;PRS;1;SG	C
vissuð	vissa	V;IND;PST;2;PL	N;INDF;GEN;PL	POS_PAIR_ERROR
skýrðuð	skýra	V;SBJV;PST;2;PL	V;NFIN	C
kantöturnar	kantötum	N;DEF;NOM;PL	N;INDF;DAT;PL	C
samtengingin	samtengingum	N;DEF;NOM;SG	N;INDF;DAT;PL	C
raustu	raustin	N;INDF;GEN;SG	V.PTCP;PST;ACC;PL	SRC_LEXICAL_ERROR
leiðir	leiðast	V;IND;PST;2;SG	V;IND;PRS;3;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
birti	birtur	V;SBJV;PRS;3;PL	V;IND;PRS;2;SG	TGT_SLOT_ERROR
þrengingin	þrengingar	V.PTCP;PST;ACC;PL	ADJ;NOM;PL	SRC_LEXICAL_ERROR
þriðja	þriðji	N;INDF;GEN;PL	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
flokkum	flokki	N;INDF;DAT;PL	N;INDF;DAT;SG	C
karakterinn	karakterinn	N;DEF;ACC;SG	N;DEF;ACC;SG	C
öðlist	öðlast	V;SBJV;PRS;3;PL	V;IND;PST;2;SG	C
færu	færðu	V;SBJV;PST;3;PL	V.PTCP;PST;DAT;PL	PARADIGM_ERROR
verðið	verða	N;DEF;ACC;SG	N;INDF;GEN;PL	C
frakka	frökkum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
færði	færði	V;IND;PST;1;SG	V;SBJV;PST;1;SG	C
skytu	skjóta	V;SBJV;PST;3;PL	V;IND;PRS;3;PL	C
snúast	snúi	V;IND;PRS;3;SG	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
notaðir	notið	V;SBJV;PST;2;SG	V;IND;PRS;2;PL	C
leynið	leyndi	V;IMP;2;PL	V;IND;PST;3;SG	C
fremstur	fremsta	V.PTCP;PST;NOM;SG	N;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
færði	færð	V;SBJV;PST;1;SG	N;INDF;NOM;SG	TGT_SLOT_ERROR
skyldu	skyldi	N;INDF;GEN;SG	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
lofaði	lofaðir	V;SBJV;PST;3;SG	V;IND;PST;2;SG	C
krossfesti	krossfestið	N;INDF;DAT;SG	V;IMP;2;PL	SRC_LEXICAL_ERROR
skýrum	skýra	V;IND;PRS;1;PL	V;IND;PRS;3;PL	C
hæsi	hæsi	N;INDF;NOM;SG	N;INDF;GEN;SG	C
sjálfur	sjálfu	V.PTCP;PST;NOM;SG	N;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
lærðuð	lærður	V;IND;PST;2;PL	V.PTCP;PST;NOM;SG	POS_PAIR_ERROR
færist	fært	V;SBJV;PRS;1;SG	V.PTCP;PST;ACC;SG	POS_PAIR_ERROR
míns	mínum	PRN;INDF;GEN;SG	N;INDF;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
étið	éti	V.CVB	V;SBJV;PRS;3;PL	C
suma	sumir	N;INDF;GEN;PL	V;IND;PST;2;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
gyldir	galt	V;SBJV;PST;2;SG	V;IND;PST;3;SG	C
ónáðaði	ónáðuðuð	V;IND;PST;3;SG	V;IND;PST;2;PL	C
minnstur	minnstu	V.PTCP;PST;NOM;SG	N;INDF;GEN;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
snuði	snuði	N;INDF;DAT;SG	N;INDF;DAT;SG	C
gættum	gætti	V;IND;PRS;1;PL	V;SBJV;PST;3;SG	C
yfirheitið	yfirheitunum	N;DEF;ACC;SG	N;DEF;DAT;PL	C
hengjum	hengduð	V;IND;PRS;1;PL	V;IND;PST;2;PL	C
fjarlægt	fjarlægð	V.PTCP;PST;ACC;SG	N;INDF;NOM;SG	POS_PAIR_ERROR
glerhafið	glerhaf	V;IMP;2;PL	N;INDF;ACC;SG	SRC_LEXICAL_ERROR;TGT_LEXICAL_ERROR
hæsinnar	hæsi	N;DEF;GEN;SG	N;INDF;NOM;SG	C
