желающий	желали	V.PTCP;ACT;PRS	V.CVB	TGT_SLOT_ERROR
разить	разные	V;NFIN	ADJ;NOM;PL	POS_PAIR_ERROR
оловянного	оловянная	ADJ;GEN;NEUT;SG	ADJ;NOM;FEM;SG	C
хлебает	хлебаете	V;PRS;3;SG	V;PRS;2;PL	C
выпросился	выпросили	V;PST;SG;MASC	V;PST;PL	PARADIGM_ERROR
подзывают	подзывающий	V;PRS;3;PL	V.PTCP;ACT;PRS	C
заколают	заколал	PRN;ACC;3;SG	PRN;NOM;3;SG	SRC_LEXICAL_ERROR
самого	самую	ADJ;GEN;MASC;SG	ADJ;ACC;FEM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
шаркавший	шаркаете	V.PTCP;ACT;PST	V;PRS;2;PL	C
присмотр	присмотре	N;NOM;SG	N;ESS;SG	C
унестись	унёсся	V;NFIN	V;PST;SG;MASC	C
внедрялась	внедряйтесь	V;PST;SG;FEM	V;IMP;2;PL	C
Оно	Она	N;ESS;SG	N;GEN;SG	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
горькой	горек	ADJ;INS;FEM;SG	ADJ;MASC;SG;LGSPEC1	C
увеличить	увеличился	V;NFIN	V;PST;SG;MASC	PARADIGM_ERROR
троюродных	троюродным	ADJ;ACC;ANIM;PL	ADJ;INS;NEUT;SG	C
краткостью	краткости	N;INS;SG	N;NOM;PL	C
соломку	соломку	N;ACC;SG	N;ACC;SG	C
отправляли	отправлять	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
до	доли	N;ACC;SG	V.CVB	PARADIGM_ERROR;TGT_SLOT_ERROR
подключался	подключаются	V;PST;SG;MASC	V;PRS;3;PL	C
иммуноферментного	иммуноферментного	ADJ;GEN;MASC;SG	ADJ;GEN;NEUT;SG	C
несмысленные	несмысленное	ADJ;ACC;PL	ADJ;NOM;NEUT;SG	SRC_LEXICAL_ERROR
чиров	чир	N;ACC;PL	N;NOM;SG	C
жилища	жилищ	N;GEN;SG	N;NOM;SG	TGT_SLOT_ERROR
неуяснённости	неуяснённость	N;ESS;SG	N;ACC;SG	C
выгорите	выгорите	V;FUT;2;PL	V;IMP;2;PL	C
убийцу	убийц	N;DAT;SG	N;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
страдать	страдали	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
повесился	повесившийся	V;PST;SG;MASC	V.PTCP;ACT;PST	C
выбираемся	выбираясь	V;PRS;1;PL	V.CVB;PRS	C
брезентах	брезентом	N;ESS;PL	N;INS;SG	C
монокля	моноклем	N;GEN;SG	N;INS;SG	C
плётка	плётки	N;NOM;SG	N;NOM;PL	C
нанять	наняли	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
неточной	неточным	ADJ;GEN;FEM;SG	ADJ;INS;NEUT;SG	C
пепельницах	пепельницы	N;ESS;PL	N;NOM;PL	C
он	оном	N;NOM;SG	N;INS;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
приступив	приступали	V.CVB;PST	V;PST;PL	PARADIGM_ERROR
хвали	хвалите	V;IMP;2;SG	V;FUT;2;PL	TGT_SLOT_ERROR
травы	траву	N;NOM;PL	N;DAT;SG	TGT_SLOT_ERROR
репортажу	репортажей	N;DAT;SG	N;GEN;PL	C
композиционна	композиционные	ADJ;FEM;SG;LGSPEC1	ADJ;NOM;PL	C
хитроумна	хитроумных	ADJ;FEM;SG;LGSPEC1	ADJ;ESS;PL	C
дерзновении	дерзновением	N;ACC;PL	V;PRS;1;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
желающий	желай	V.PTCP;ACT;PRS	N;ACC;SG	TGT_SLOT_ERROR
баги	багами	N;ACC;PL	N;INS;PL	C
назвала	назвали	N;GEN;SG	N;NOM;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
которым	который	ADJ;INS;MASC;SG	ADJ;ACC;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
спросили	спроси	V;PST;PL	V;IMP;2;SG	C
решали	решите	V;PST;PL	V;FUT;2;PL	PARADIGM_ERROR
спесив	спесивых	ADJ;MASC;SG;LGSPEC1	ADJ;ESS;PL	C
написать	написал	ADJ;GEN;FEM;SG	ADJ;MASC;SG;LGSPEC1	SRC_SLOT_ERROR;TGT_SLOT_ERROR
собирали	собирай	V.CVB	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
обыграть	обыгранный	V;NFIN	V.PTCP;PASS;PST	C
открытый	открытом	ADJ;ACC;MASC;SG	N;INS;SG	TGT_SLOT_ERROR
спикера	спикеров	N;GEN;SG	N;GEN;PL	C
огорчили	огорчен	V;PST;PL	V.PTCP;PASS;PST	POS_PAIR_ERROR
возливай	возливала	N;ACC;SG	ADJ;FEM;SG;LGSPEC1	SRC_SLOT_ERROR;TGT_SLOT_ERROR
возделывали	возделывать	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
тинейджерах	тинейджерами	N;ESS;PL	N;INS;PL	C
пензенской	пензенской	ADJ;ESS;FEM;SG	ADJ;ESS;FEM;SG	C
жило	жил	N;ESS;SG	N;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
перебираете	перебираем	V;PRS;2;PL	V;PRS;1;PL	C
онемеют	онемел	V;FUT;3;PL	ADJ;MASC;SG;LGSPEC1	POS_PAIR_ERROR
чужой	чужой	ADJ;DAT;FEM;SG	ADJ;INS;FEM;SG	C
дожидалась	дожидающийся	V;PST;SG;FEM	V.PTCP;ACT;PRS	C
непроглядное	непроглядным	ADJ;NOM;NEUT;SG	ADJ;INS;MASC;SG	C
питать	питай	ADJ;GEN;FEM;SG	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
изменила	изменился	V;PST;SG;FEM	V;PST;SG;MASC	PARADIGM_ERROR
половина	половину	N;GEN;SG	N;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
боливарианской	боливарианского	ADJ;DAT;FEM;SG	ADJ;GEN;MASC;SG	C
остановить	остановился	V;NFIN	V;PST;SG;MASC	PARADIGM_ERROR
