upphäven	upphäva	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	SRC_LEXICAL_ERROR
förstören	förstörda	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	SRC_LEXICAL_ERROR;TGT_SLOT_ERROR
stjäla	stjäle	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
lidande	lida	V.PTCP;PRS	V;ACT;NFIN	POS_PAIR_ERROR
sådan	sådanas	V;ACT;NFIN;COMPOUND	ADJ;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
kläda	klädde	V;ACT;NFIN	V;ACT;IND;PST	C
dräpa	dräpen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	TGT_LEXICAL_ERROR
anförare	anföra	V.CVB;COMPV	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR
säljen	sälja	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	SRC_LEXICAL_ERROR
altaret	altare	N;DEF;NOM;SG	N;INDF;NOM;SG	C
bindas	binde	ADJ;INDF;GEN;PL	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
blygs	blyges	N;INDF;GEN;SG	V;PASS;IND;PRS	C
friköpa	friköpt	V;ACT;NFIN	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR
enes	enas	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
hören	hörare	ADJ;INDF;MASC+FEM;SG	V.CVB;COMPV	SRC_LEXICAL_ERROR;TGT_LEXICAL_ERROR
läras	lärt	ADJ;INDF;GEN;PL	ADJ;INDF;NEUT;SG	C
kärlet	kärl	N;DEF;NOM;SG	N;INDF;NOM;SG	C
skäres	skäras	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
givna	gives	V;ACT;NFIN	V;PASS;IND;PRS	POS_PAIR_ERROR;SRC_SLOT_ERROR
yngstes	yngste	V;PASS;IND;PRS	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
stöta	stött	V;ACT;NFIN	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR
beskärt	beskärda	ADJ;INDF;NEUT;SG	V;ACT;NFIN	TGT_SLOT_ERROR
lärda	lärare	V;ACT;NFIN	V.CVB;COMPV	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
byggnadsverk	byggnadsverket	N;INDF;NOM;SG	N;DEF;NOM;SG	C
genomsöka	genomsökt	V;ACT;NFIN	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR
predikat	predikades	V.CVB;ACT	V;PASS;IND;PST	C
Hesrons	Hesron	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Anas	Ande	ADJ;INDF;GEN;PL	V;ACT;IND;PST	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
skilda	skildes	V;ACT;NFIN	V;PASS;IND;PRS	SRC_SLOT_ERROR;TGT_SLOT_ERROR
bön	bönerna	N;INDF;NOM;SG	N;DEF;PL	TGT_SLOT_ERROR
drucken	druckna	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	TGT_SLOT_ERROR
fortfara	fortfare	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
omgiva	omgiven	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR
marker	mark	N;INDF;PL	N;INDF;NOM;SG	C
predikades	predikat	V;PASS;IND;PST	V.CVB;ACT	POS_PAIR_ERROR
födas	födde	ADJ;INDF;GEN;PL	V;ACT;IND;PST	C
räcken	räckt	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR;SRC_SLOT_ERROR
upprättade	upprätta	ADJ;DEF;PL	V;IMP	C
överdraga	överdragen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR
räckt	räckas	ADJ;INDF;NEUT;SG	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
Jakobs	Jakob	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
visade	visas	ADJ;DEF;PL	V;PASS;NFIN	C
sjuke	sjukt	V.PTCP;PST	ADJ;INDF;NEUT;SG	C
förskräcka	förskräckt	V;ACT;NFIN	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR
förutbestämde	förutbestämt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
droge	drogs	N;INDF;NOM;SG	N;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
veta	veten	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	TGT_LEXICAL_ERROR
trängd	trängt	V.PTCP;PST	ADJ;INDF;NEUT;SG	C
förstören	förstöra	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	SRC_LEXICAL_ERROR
förundrade	förundren	ADJ;DEF;PL	N;DEF;SG	TGT_LEXICAL_ERROR
axens	ax	N;DEF;GEN;SG	N;INDF;NOM;SG	C
bundna	bunde	V;ACT;NFIN	V.PTCP;PST	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
mötes	möta	V;PASS;IND;PRS	V;ACT;NFIN	C
hemsökes	hemsöka	V;PASS;IND;PRS	V;ACT;NFIN	C
korsar	korset	N;INDF;PL	N;DEF;NOM;SG	PARADIGM_ERROR;SRC_SLOT_ERROR
tröstade	tröstar	ADJ;DEF;PL	V;ACT;IND;PRS	C
förtryckta	förtrycktas	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
förödande	förödda	V.PTCP;PRS	V;ACT;NFIN	TGT_SLOT_ERROR
döme	dömes	V.PTCP;PST	V;PASS;IND;PRS	SRC_LEXICAL_ERROR
bindas	bindes	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	C
siare	siares	V.PTCP;PST	V;PASS;IND;PRS	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Vilka	Vilket	V;ACT;NFIN	V;ACT;NFIN;COMPOUND	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
edens	ed	N;DEF;GEN;SG	N;INDF;NOM;SG	C
lägg	lägge	V;ACT;NFIN;COMPOUND	V.PTCP;PST	TGT_LEXICAL_ERROR
frambära	frambären	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	TGT_LEXICAL_ERROR
upphöjen	upphöjde	ADJ;INDF;MASC+FEM;SG	V;ACT;IND;PST	SRC_LEXICAL_ERROR
spridde	sprida	V;ACT;IND;PST	V;ACT;NFIN	C
marks	marker	N;INDF;GEN;PL	N;INDF;PL	TGT_SLOT_ERROR
åten	åts	DET;SG	N;INDF;GEN;PL	SRC_LEXICAL_ERROR;TGT_SLOT_ERROR
Dennes	Denna	V;PASS;IND;PRS	V;ACT;NFIN	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
förlåta	förlåten	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR
Tro	Tres	ADJ;INDF;NOM;PL	V;PASS;IND;PRS	TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
förödes	föröda	V;PASS;IND;PRS	V;ACT;NFIN	C
fortfare	fortfara	V.PTCP;PST	V;ACT;NFIN	C
lösas	lösa	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
San	Sanna	V;ACT;NFIN;COMPOUND	V;ACT;NFIN	SRC_POS_ERROR;SRC_SLOT_ERROR
domar	dom	N;INDF;PL	N;INDF;NOM;SG	C
född	födda	V.PTCP;PST	V;ACT;NFIN	TGT_SLOT_ERROR
talades	talen	V;PASS;IND;PST	N;DEF;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
mister	miste	V.CVB	V.PTCP;PST	C
skänkt	skänke	ADJ;INDF;NEUT;SG	V.PTCP;PST	TGT_LEXICAL_ERROR
höres	hören	V;PASS;IND;PRS	ADJ;INDF;MASC+FEM;SG	TGT_LEXICAL_ERROR
smältes	smälte	V;PASS;IND;PRS	V.PTCP;PST	POS_PAIR_ERROR
förnimmen	förnimma	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	SRC_LEXICAL_ERROR
segrare	segrar	N;INDF;NOM;PL	V;ACT;IND;PRS	POS_PAIR_ERROR
bortförde	bortföra	V;ACT;IND;PST	V;ACT;NFIN	C
anförda	anförare	V;ACT;NFIN	V.CVB;COMPV	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
stormades	stormade	V;PASS;IND;PST	ADJ;DEF;PL	C
född	föda	V.PTCP;PST	V;ACT;NFIN	POS_PAIR_ERROR
stige	stigen	V.PTCP;PST	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR;SRC_SLOT_ERROR
pluggarna	plugg	N;DEF;NOM;PL	N;INDF;NOM;SG	C
gudsfruktan	gudsfruktans	N;INDF;NOM;SG	N;INDF;GEN;PL	TGT_SLOT_ERROR
fostrare	fostrade	N;INDF;NOM;PL	ADJ;DEF;PL	POS_PAIR_ERROR
Tre	Tres	V.PTCP;PST	V;PASS;IND;PRS	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
dräpt	dräpes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
förrättade	förrättades	ADJ;DEF;PL	V;PASS;IND;PST	C
stengolv	stengolvet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
skiften	skifte	N;DEF;SG	ADJ;DEF;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
kläder	kläda	V.CVB	V;ACT;NFIN	C
Mahalalels	Mahalalel	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
övergiva	övergiven	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR
syns	synd	N;INDF;GEN;SG	V.PTCP;PST	PARADIGM_ERROR;TGT_SLOT_ERROR
förundren	förundrade	N;DEF;SG	ADJ;DEF;PL	SRC_LEXICAL_ERROR
synds	syndarna	N;INDF;GEN;PL	N;DEF;NOM;PL	PARADIGM_ERROR;SRC_SLOT_ERROR
söks	söka	N;INDF;GEN;SG	V;ACT;NFIN	C
gudarna	gud	N;DEF;NOM;PL	N;INDF;NOM;SG	C
byten	byta	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR
inbyggare	inbyggares	N;INDF;NOM;SG	N;INDF;GEN;PL	C
höres	hörn	V;PASS;IND;PRS	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
gångar	gångerna	N;INDF;PL	N;DEF;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
äga	ägare	V;ACT;NFIN	V.CVB;COMPV	PARADIGM_ERROR;TGT_SLOT_ERROR
nät	nätet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
ens	ene	N;INDF;GEN;SG	V.PTCP;PST	PARADIGM_ERROR;TGT_SLOT_ERROR
sina	sin	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	TGT_POS_ERROR;TGT_SLOT_ERROR
ställa	ställde	V;ACT;NFIN	V;ACT;IND;PST	C
lärare	lärt	V.CVB;COMPV	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR;SRC_SLOT_ERROR
Manasses	Manasse	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
jagade	jagades	ADJ;DEF;PL	V;PASS;IND;PST	C
De	Den	N;INDF;NOM;SG	DET;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR
visen	visade	N;DEF;SG	ADJ;DEF;PL	POS_PAIR_ERROR;SRC_SLOT_ERROR
orena	orenen	V;IMP	N;DEF;SG	TGT_LEXICAL_ERROR
bärande	bäres	V.PTCP;PRS	V;PASS;IND;PRS	POS_PAIR_ERROR
smädade	smädare	ADJ;DEF;PL	N;INDF;NOM;PL	POS_PAIR_ERROR
hat	ha	V.CVB;ACT	V;IMP	PARADIGM_ERROR;SRC_SLOT_ERROR
årens	året	N;DEF;GEN;SG	N;DEF;NOM;SG	C
knyte	knyta	V.PTCP;PST	V;ACT;NFIN	C
giva	given	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR
fetma	fetmas	V;ACT;NFIN	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
lära	lärde	V;ACT;NFIN	V;ACT;IND;PST	C
röra	rörande	V;ACT;NFIN	V.PTCP;PRS	PARADIGM_ERROR
stänka	stänkes	V;ACT;NFIN	V;PASS;IND;PRS	C
ögat	öga	V.CVB;ACT	V;IMP	SRC_SLOT_ERROR;TGT_SLOT_ERROR
förbyta	förbytt	V;ACT;NFIN	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR
revo	rev	ADJ;INDF;NOM;PL	V;ACT;NFIN;COMPOUND	SRC_LEXICAL_ERROR
Surs	Sur	N;INDF;GEN;PL	N;INDF;NOM;SG	C
byta	bytt	V;ACT;NFIN	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR
budbärarna	budbärare	V;ACT;NFIN	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
murar	murare	V;ACT;IND;PRS	N;INDF;NOM;PL	C
täckta	täcktes	V;ACT;NFIN	V;PASS;IND;PRS	SRC_SLOT_ERROR;TGT_SLOT_ERROR
korer	korn	V.CVB	ADJ;INDF;MASC+FEM;SG	SRC_LEXICAL_ERROR;TGT_SLOT_ERROR
drypa	drype	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
våldföra	våldföres	V;ACT;NFIN	V;PASS;IND;PRS	C
markens	marker	N;DEF;GEN;SG	N;INDF;PL	TGT_SLOT_ERROR
dennes	denna	V;PASS;IND;PRS	V;ACT;NFIN	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
bjudna	bjude	V;ACT;NFIN	V.PTCP;PST	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
höre	hören	V.PTCP;PST	ADJ;INDF;MASC+FEM;SG	SRC_LEXICAL_ERROR;TGT_LEXICAL_ERROR
dessa	dess	V;ACT;NFIN	V;ACT;NFIN;COMPOUND	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
dennas	denna	ADJ;INDF;GEN;PL	V;ACT;NFIN	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
hörn	hörare	ADJ;INDF;MASC+FEM;SG	V.CVB;COMPV	TGT_LEXICAL_ERROR;SRC_SLOT_ERROR
vädurarna	vädurens	N;DEF;NOM;PL	N;DEF;GEN;SG	C
ringar	ringas	V;ACT;IND;PRS	V;PASS;NFIN	C
befästa	befästas	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
dessas	dessa	ADJ;INDF;GEN;PL	V;ACT;NFIN	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
skiftade	skifte	ADJ;DEF;PL	ADJ;DEF;MASC;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
tjänade	tjänen	ADJ;DEF;PL	N;DEF;SG	TGT_LEXICAL_ERROR
Datans	Datan	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
dennas	dennes	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
sträckt	sträcka	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
inbyggares	inbyggare	N;INDF;GEN;PL	N;INDF;NOM;SG	C
renades	renas	V;PASS;IND;PST	V;PASS;NFIN	C
Sereds	Sered	N;INDF;GEN;SG	V;ACT;NFIN;COMPOUND	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
trängd	trängde	V.PTCP;PST	V;ACT;IND;PST	POS_PAIR_ERROR
täckt	täckes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
lyfta	lyftes	V;ACT;NFIN	V;PASS;IND;PRS	C
Et	Ett	V;ACT;NFIN;COMPOUND	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR;SRC_POS_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
sågade	såge	ADJ;DEF;PL	ADJ;DEF;MASC;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
förbyta	förbytes	V;ACT;NFIN	V;PASS;IND;PRS	C
bjuda	bjudes	V;ACT;NFIN	V;PASS;IND;PRS	C
Mana	Mas	V;ACT;NFIN	N;INDF;GEN;SG	PARADIGM_ERROR
träd	träda	V.PTCP;PST	V;ACT;NFIN	C
inrättade	inrättades	ADJ;DEF;PL	V;PASS;IND;PST	C
skött	sköten	ADJ;INDF;NEUT;SG	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
förstörd	förstörde	V.PTCP;PST	V;ACT;IND;PST	POS_PAIR_ERROR
sköta	skött	V;ACT;NFIN	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR
Rabbas	Rabba	ADJ;INDF;GEN;PL	V;ACT;NFIN	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
rygga	ryggas	V;IMP	V;PASS;NFIN	C
vilket	vilkas	PRN;NOM;NEUT;SG	V;PASS;NFIN	SRC_POS_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
förtrycken	förtryckt	ADJ;INDF;MASC+FEM;SG	ADJ;INDF;NEUT;SG	SRC_LEXICAL_ERROR
förökade	föröken	ADJ;DEF;PL	N;DEF;SG	TGT_LEXICAL_ERROR
Vårt	Våra	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
hören	höres	ADJ;INDF;MASC+FEM;SG	V;PASS;IND;PRS	SRC_LEXICAL_ERROR
röras	röra	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
avskära	avskäres	V;ACT;NFIN	V;PASS;IND;PRS	C
vilen	vilade	N;DEF;SG	ADJ;DEF;PL	SRC_LEXICAL_ERROR
både	båda	ADJ;DEF;MASC;SG	V;IMP	C
rulla	rullas	V;IMP	V;PASS;NFIN	C
vredes	vrede	V;PASS;IND;PRS	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
fält	fältet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
bunden	bunde	ADJ;INDF;MASC+FEM;SG	V.PTCP;PST	POS_PAIR_ERROR;TGT_SLOT_ERROR
etiopierna	etiopier	N;DEF;PL	N;INDF;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Gehennas	Gehenna	ADJ;INDF;GEN;PL	V;ACT;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
försvarade	försvarare	ADJ;DEF;PL	N;INDF;NOM;PL	POS_PAIR_ERROR
avbärga	avbärgat	V;IMP	V.CVB;ACT	SRC_LEXICAL_ERROR
dödsriket	dödsrike	N;DEF;NOM;SG	N;INDF;NOM;SG	C
Anas	Ana	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
axens	axet	N;DEF;GEN;SG	N;DEF;NOM;SG	C
efterföljare	efterföljd	V.CVB;COMPV	V.PTCP;PST	PARADIGM_ERROR;SRC_SLOT_ERROR
lärde	lärt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
lame	lames	V.PTCP;PST	V;PASS;IND;PRS	SRC_SLOT_ERROR;TGT_SLOT_ERROR
garnet	garn	N;DEF;NOM;SG	N;INDF;NOM;SG	C
drivas	drivna	ADJ;INDF;GEN;PL	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
drage	dragna	V.PTCP;PST	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
före	förda	V.PTCP;PST	V;ACT;NFIN	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
betar	bete	V;ACT;IND;PRS	ADJ;DEF;MASC;SG	TGT_SLOT_ERROR
släktens	släktet	N;DEF;GEN;SG	N;DEF;NOM;SG	C
trampade	trampa	ADJ;DEF;PL	V;IMP	C
Job	Jobs	N;INDF;NOM;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
böja	böjes	V;ACT;NFIN	V;PASS;IND;PRS	C
blotten	blottades	N;DEF;SG	V;PASS;IND;PST	SRC_LEXICAL_ERROR
hjälpt	hjälpa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
tränges	trängde	V;PASS;IND;PRS	V;ACT;IND;PST	C
Anaks	Anak	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
klappade	klappa	ADJ;DEF;PL	V;IMP	C
bortkastade	bortkastad	V;ACT;IND;PST	V.PTCP;PST	C
stadga	stadgas	V;IMP	V;PASS;NFIN	C
give	gives	V.PTCP;PST	V;PASS;IND;PRS	C
Jerikos	Jeriko	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
väges	vägs	V;PASS;IND;PRS	N;INDF;GEN;SG	POS_PAIR_ERROR
avhålla	avhållen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR
Abimelek	Abimeleks	N;INDF;NOM;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
byta	byten	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
aga	agat	V;IMP	V.CVB;ACT	POS_PAIR_ERROR
lärde	lära	V;ACT;IND;PST	V;ACT;NFIN	C
höre	hörare	V.PTCP;PST	V.CVB;COMPV	SRC_LEXICAL_ERROR;TGT_LEXICAL_ERROR
store	stores	V.PTCP;PST	V;PASS;IND;PRS	SRC_SLOT_ERROR;TGT_SLOT_ERROR
tänke	tänkt	V.PTCP;PST	ADJ;INDF;NEUT;SG	SRC_LEXICAL_ERROR
rullas	rulla	V;PASS;NFIN	V;IMP	C
strids	strida	N;INDF;GEN;SG	V;ACT;NFIN	C
övergivna	övergive	V;ACT;NFIN	V.PTCP;PST	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
valla	vallar	V;IMP	V;ACT;IND;PRS	C
drivas	driven	ADJ;INDF;GEN;PL	ADJ;INDF;MASC+FEM;SG	PARADIGM_ERROR;SRC_SLOT_ERROR
åter	åten	N;INDF;PL	DET;SG	TGT_LEXICAL_ERROR;SRC_SLOT_ERROR
rykande	ryka	V.PTCP;PRS	V;ACT;NFIN	POS_PAIR_ERROR
brodern	broders	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
städer	städ	N;INDF;PL	N;INDF;NOM;SG	C
bortförde	bortförda	V;ACT;IND;PST	V;ACT;NFIN	TGT_SLOT_ERROR
hjärta	hjärtas	V;IMP	V;PASS;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
trampa	trampas	V;IMP	V;PASS;NFIN	C
klädde	klädd	V;ACT;IND;PST	V.PTCP;PST	POS_PAIR_ERROR
slaktdjuret	slaktdjur	N;DEF;NOM;SG	N;INDF;NOM;SG	C
köpt	köpare	ADJ;INDF;NEUT;SG	V.CVB;COMPV	POS_PAIR_ERROR;TGT_SLOT_ERROR
lärde	lärda	V;ACT;IND;PST	V;ACT;NFIN	TGT_SLOT_ERROR
dragen	draga	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	POS_PAIR_ERROR
visas	visen	V;PASS;NFIN	N;DEF;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
spik	spikarna	N;INDF;NOM;SG	N;DEF;NOM;PL	C
övergive	övergiven	V.PTCP;PST	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR;SRC_SLOT_ERROR
vittnade	vittne	ADJ;DEF;PL	ADJ;DEF;MASC;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
ställen	ställd	ADJ;INDF;MASC+FEM;SG	V.PTCP;PST	POS_PAIR_ERROR;SRC_SLOT_ERROR
hälsades	hälsade	V;PASS;IND;PST	ADJ;DEF;PL	C
hören	hörda	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	SRC_LEXICAL_ERROR;TGT_SLOT_ERROR
lära	lärare	V;ACT;NFIN	V.CVB;COMPV	PARADIGM_ERROR;TGT_SLOT_ERROR
gömmes	gömma	V;PASS;IND;PRS	V;ACT;NFIN	PARADIGM_ERROR;SRC_SLOT_ERROR
vreden	vrede	ADJ;INDF;MASC+FEM;SG	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
ringe	ringar	ADJ;DEF;MASC;SG	V;ACT;IND;PRS	SRC_LEXICAL_ERROR
svalt	svala	ADJ;INDF;NEUT;SG	V;ACT;NFIN	TGT_SLOT_ERROR
svänga	svängde	V;ACT;NFIN	V;ACT;IND;PST	C
