Äxte	Äxten	V;SBJV;PRS;1;SG	N;DAT;PL	C
Winden	Winde	N;DAT;PL	V;SBJV;PRS;1;SG	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
Seil	Seile	N;NFIN	N;ACC;PL	C
bekehren	bekehrten	V;NFIN	V;IND;PST;3;PL	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
geloben	gelobten	V;NFIN	V;SBJV;PST;3;PL	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
Füße	Füßen	V;SBJV;PRS;1;SG	N;DAT;PL	C
holen	holen	V;NFIN	V;SBJV;PRS;3;PL	C
warnen	warnet	V;NFIN	V;SBJV;PRS;2;PL	C
steigen	steige	V;NFIN	V;SBJV;PRS;3;SG	C
gedenken	gedenkst	V;NFIN	V;IND;PRS;2;SG	C
junge	jungen	V;SBJV;PRS;1;SG	N;DAT;PL	C
sorgen	sorgten	V;NFIN	V;SBJV;PST;1;PL	C
lösen	lösten	V;NFIN	V;SBJV;PST;3;PL	C
Hure	Huren	V;SBJV;PRS;1;SG	N;DAT;PL	C
Befehlen	Befehle	N;DAT;PL	V;SBJV;PRS;1;SG	C
suchen	suchte	N;DAT;PL	V;SBJV;PST;1;SG	C
zeugen	zeuge	N;DAT;PL	V;SBJV;PRS;1;SG	C
haben	habet	N;DAT;PL	V;SBJV;PRS;2;PL	C
verdecken	verdecket	V;NFIN	V;IMP;2;PL	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
trotzen	trotzt	V;NFIN	V;IMP;2;PL	C
holen	holten	V;NFIN	V;SBJV;PST;1;PL	C
verloben	verlob	V;NFIN	V;IMP;2;SG	C
begraben	begrübe	V;NFIN	V;SBJV;PST;1;SG	C
wehren	wehrt	V;NFIN	V;IND;PRS;2;PL	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
glauben	glauben	V;NFIN	V;IND;PRS;3;PL	C
Buchstabe	Buchstaben	V;SBJV;PRS;1;SG	N;DAT;PL	C
halbe	halben	V;SBJV;PRS;1;SG	N;DAT;PL	C
lösen	löste	V;NFIN	V;SBJV;PST;1;SG	C
bereiten	bereitete	V;NFIN	V;SBJV;PST;3;SG	C
dürfen	dürfte	V;NFIN	V;SBJV;PST;1;SG	C
glauben	glaubten	V;NFIN	V;IND;PST;3;PL	C
dienen	diente	V;NFIN	V;IND;PST;3;SG	C
lehren	lehrten	V;NFIN	V;SBJV;PST;1;PL	C
krank	kranken	N;NOM;SG	N;DAT;PL	C
besorgen	besorgest	V;NFIN	V;SBJV;PRS;2;SG	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
gehorchen	gehorche	V;NFIN	V;SBJV;PRS;3;SG	C
wehklage	wehklagen	V;SBJV;PRS;1;SG	N;DAT;PL	C
verdammen	verdammst	V;NFIN	V;IND;PRS;2;SG	C
fangen	fangen	V;NFIN	V;IND;PRS;1;PL	C
spannen	spanne	V;NFIN	V;SBJV;PRS;3;SG	C
prüfen	prüfe	V;NFIN	V;SBJV;PRS;3;SG	C
soll	sollte	N;NOM;SG	V;SBJV;PST;1;SG	C
folgen	folgst	V;NFIN	V;IND;PRS;2;SG	C
rächen	rächen	V;NFIN	V;IND;PRS;3;PL	C
tragen	tragt	N;DAT;PL	V;IND;PRS;2;PL	C
bestellen	bestellen	V;NFIN	V;IND;PRS;3;PL	C
War	Waren	N;NOM;SG	N;DAT;PL	C
Geräte	Gerät	V;SBJV;PRS;1;SG	N;NOM;SG	C
herrschen	herrschest	V;NFIN	V;SBJV;PRS;2;SG	C
besitzen	besitze	V;NFIN	V;IND;PRS;1;SG	C
