Äxte	Äxten	V;SBJV;PRS;1;SG	N;DAT;PL	C
Winden	Winde	N;DAT;PL	V;SBJV;PRS;1;SG	C
begehre	begehrte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
Seil	Seile	N;ACC;SG	N;ACC;PL	C
bekehrtest	bekehrten	V;SBJV;PST;2;SG	V;IND;PST;3;PL	C
betrüben	betrübt	V;IND;PRS;1;PL	V;IND;PRS;2;PL	C
geloben	gelobten	V;IND;PRS;3;PL	V;SBJV;PST;3;PL	C
schaut	schaute	V;IND;PRS;3;SG	V;SBJV;PST;1;SG	C
Füße	Füßen	V;SBJV;PRS;1;SG	N;DAT;PL	C
holten	holen	V;SBJV;PST;1;PL	V;SBJV;PRS;3;PL	C
warntest	warnet	V;SBJV;PST;2;SG	V;SBJV;PRS;2;PL	C
steigst	steige	V;IND;PRS;2;SG	V;SBJV;PRS;3;SG	C
gedenk	gedenkst	V;IMP;2;SG	V;IND;PRS;2;SG	C
junge	jungen	V;SBJV;PRS;1;SG	N;DAT;PL	C
sorgtest	sorgten	V;SBJV;PST;2;SG	V;SBJV;PST;1;PL	C
löstet	lösten	V;IND;PST;2;PL	V;SBJV;PST;3;PL	C
Hure	Huren	V;SBJV;PRS;1;SG	N;DAT;PL	C
Befehlen	Befehle	N;DAT;PL	V;SBJV;PRS;1;SG	C
suchen	suchte	N;DAT;PL	V;SBJV;PST;1;SG	C
zeugen	zeuge	N;DAT;PL	V;SBJV;PRS;1;SG	C
haben	habet	N;DAT;PL	V;SBJV;PRS;2;PL	C
verdecke	verdecket	V;SBJV;PRS;1;SG	V;IMP;2;PL	C
begehrte	begehre	V;SBJV;PST;3;SG	V;SBJV;PRS;1;SG	C
begehrte	begehrte	V;SBJV;PST;3;SG	V;SBJV;PST;1;SG	C
trotztest	trotzt	V;IND;PST;2;SG	V;IMP;2;PL	C
holtest	holten	V;IND;PST;2;SG	V;SBJV;PST;1;PL	C
verlobe	verlob	V;SBJV;PRS;1;SG	V;IMP;2;SG	C
begruben	begrübe	V;IND;PST;3;PL	V;SBJV;PST;1;SG	C
wehren	wehrt	V;SBJV;PRS;3;PL	V;IND;PRS;2;PL	C
zeuget	zeuget	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;PL	C
glaube	glauben	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
Buchstabe	Buchstaben	V;SBJV;PRS;1;SG	N;DAT;PL	C
halbe	halben	V;SBJV;PRS;1;SG	N;DAT;PL	C
lösen	löste	V;IND;PRS;3;PL	V;SBJV;PST;1;SG	C
bereite	bereitete	V;IND;PRS;1;SG	V;SBJV;PST;3;SG	C
dürfest	dürfte	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
glaub	glaubten	V;IMP;2;SG	V;IND;PST;3;PL	C
diente	diente	V;SBJV;PST;1;SG	V;IND;PST;3;SG	C
lehrten	lehrten	V;SBJV;PST;1;PL	V;SBJV;PST;1;PL	C
krank	kranken	N;NOM;SG	N;DAT;PL	C
besorgst	besorgest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
schaute	schaute	V;SBJV;PST;3;SG	V;SBJV;PST;1;SG	C
gehorchend	gehorche	V.PTCP;PRS	V;SBJV;PRS;3;SG	C
wehklage	wehklagen	V;SBJV;PRS;1;SG	N;DAT;PL	C
verdammten	verdammst	V;SBJV;PST;3;PL	V;IND;PRS;2;SG	C
fanget	fangen	V;SBJV;PRS;2;PL	V;IND;PRS;1;PL	C
spannet	spanne	V;SBJV;PRS;2;PL	V;SBJV;PRS;3;SG	C
prüftest	prüfe	V;SBJV;PST;2;SG	V;SBJV;PRS;3;SG	C
soll	sollte	N;NOM;SG	V;SBJV;PST;1;SG	C
