erlöset	erlöst	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
trauen	traute	V;IND;PRS;1;PL	V;SBJV;PST;1;SG	C
horchte	horchet	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
hehlen	hehle	V;SBJV;PRS;3;PL	V;SBJV;PRS;1;SG	C
greifest	greift	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
investiertest	investierest	V;IND;PST;2;SG	V;SBJV;PRS;2;SG	C
setztest	setzt	V;IND;PST;2;SG	V;IND;PRS;2;SG	C
Camps	Camp	N;GEN;SG	N;NOM;SG	C
freue	freuten	V;IND;PRS;1;SG	V;SBJV;PST;3;PL	C
ärgerst	ärgere	V;IND;PRS;2;SG	V;SBJV;PRS;1;SG	C
herrschtet	herrschten	V;IND;PST;2;PL	V;SBJV;PST;3;PL	C
drängtest	drängte	V;IND;PST;2;SG	V;SBJV;PST;1;SG	C
dürfen	darfst	V;IND;PRS;3;PL	V;IND;PRS;2;SG	C
verständiget	verständigt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
spanne	spannst	V;IND;PRS;1;SG	V;IND;PRS;2;SG	C
ärgerte	ärgert	V;IND;PST;3;SG	V;IND;PRS;2;PL	C
beben	bebte	V;IND;PRS;1;PL	V;SBJV;PST;1;SG	C
sitzen	säße	V;NFIN	V;SBJV;PST;1;SG	C
säumt	säumst	V;IND;PRS;3;SG	V;IND;PRS;2;SG	C
wachten	wachst	V;IND;PST;1;PL	V;IND;PRS;2;SG	C
hoffend	hoffst	V.PTCP;PRS	V;IND;PRS;2;SG	C
zeugte	zeugt	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
säumten	säumet	V;SBJV;PST;3;PL	V;SBJV;PRS;2;PL	C
gestärkt	stärkt	V.PTCP;PST	V;IND;PRS;2;PL	C
zerreißen	zerreißt	V;SBJV;PRS;1;PL	V;IND;PRS;2;SG	C
wehen	wehe	V;SBJV;PRS;1;PL	V;SBJV;PRS;1;SG	C
wahrtet	wahret	V;IND;PST;2;PL	V;SBJV;PRS;2;PL	C
gedemütigt	demütigte	V.PTCP;PST	V;SBJV;PST;1;SG	C
Axt	Äxten	N;DAT;SG	N;DAT;PL	C
bangtest	bangst	V;SBJV;PST;2;SG	V;IND;PRS;2;SG	C
bewahrten	bewahrte	V;IND;PST;3;PL	V;SBJV;PST;1;SG	C
rächten	rächt	V;SBJV;PST;1;PL	V;IND;PRS;2;PL	C
vermöchtest	vermöget	V;SBJV;PST;2;SG	V;SBJV;PRS;2;PL	C
behalten	behalte	V;SBJV;PRS;1;PL	V;SBJV;PRS;1;SG	C
löstet	lösest	V;SBJV;PST;2;PL	V;SBJV;PRS;2;SG	C
brauset	braust	V;SBJV;PRS;2;PL	V;IND;PRS;2;SG	C
liebt	liebet	V;IMP;2;PL	V;SBJV;PRS;2;PL	C
lehrst	lehrt	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
sorgend	sorgte	V.PTCP;PRS	V;SBJV;PST;1;SG	C
borgten	borgst	V;IND;PST;1;PL	V;IND;PRS;2;SG	C
straftest	strafe	V;IND;PST;2;SG	V;SBJV;PRS;1;SG	C
