lättats	lättar	V.CVB;PASS	V;ACT;IND;PRS	C
förgörande	förgör	V.PTCP;PRS	V;IMP	C
stod	stå	V;ACT;IND;PST	V;IMP	C
säkrat	säkra	V.CVB;ACT	V;ACT;NFIN	C
åror	årors	N;INDF;NOM;PL	N;INDF;GEN;PL	C
avhålla	avhöll	V;ACT;NFIN	V;ACT;IND;PST	C
blygast	blygt	ADJ;INDF;MASC+FEM;SG;SPRL	ADJ;INDF;NEUT;SG	C
köper	köps	V;ACT;IND;PRS	V;PASS;IND;PRS	C
växeltungans	växeltungas	N;DEF;GEN;SG	N;INDF;GEN;SG	C
mätt	mätande	V.PTCP;PST	V.PTCP;PRS	C
pennings	penningars	N;INDF;GEN;SG	N;INDF;GEN;PL	C
döda	dödas	V;ACT;NFIN	V;PASS;NFIN	C
årors	årans	N;INDF;GEN;PL	N;DEF;GEN;SG	C
knutit	knyta	V.CVB;ACT	V;ACT;NFIN	C
säkrande	säkras	V.PTCP;PRS	V;PASS;IND;PRS	C
följt	följd	V.CVB;ACT	V.PTCP;PST	C
uppfylldes	uppfyller	V;PASS;IND;PST	V;ACT;IND;PRS	C
fjättrades	fjättrade	V;PASS;IND;PST	V;ACT;IND;PST	C
ryckte	rycka	V;ACT;IND;PST	V;ACT;NFIN	C
upptagnare	upptagne	ADJ;INDF;MASC;SG;COMPV	ADJ;DEF;MASC;SG	C
besökts	besöker	V.CVB;PASS	V;ACT;IND;PRS	C
dolt	döljer	V.CVB;ACT	V;ACT;IND;PRS	C
samlande	samlad	V.PTCP;PRS	V.PTCP;PST	C
struts	struts	N;INDF;GEN;SG	N;INDF;NOM;SG	C
backande	backad	V.PTCP;PRS	V.PTCP;PST	C
årornas	årans	N;DEF;GEN;PL	N;DEF;GEN;SG	C
störtat	störtar	V.CVB;ACT	V;ACT;IND;PRS	C
mötande	möt	V.PTCP;PRS	V;IMP	C
släpps	släpper	V;PASS;IND;PRS	V;ACT;IND;PRS	C
sabbats	sabbaten	N;INDF;GEN;SG	N;DEF;NOM;SG	C
borgares	borgarens	N;INDF;GEN;SG	N;DEF;GEN;SG	C
klövens	klövs	N;DEF;GEN;SG	N;INDF;GEN;SG	C
anklagas	anklagad	V;PASS;NFIN	V.PTCP;PST	C
lös	lösas	V;IMP	V;PASS;NFIN	C
byggdes	bygga	V;PASS;IND;PST	V;ACT;NFIN	C
upphävande	upphävde	V.PTCP;PRS	V;ACT;IND;PST	C
väcka	väck	V;ACT;NFIN	V;IMP	C
tycks	tyckas	V;PASS;IND;PRS	V;PASS;NFIN	C
befästa	befästas	V;ACT;NFIN	V;PASS;NFIN	C
fördärvades	fördärvande	V;PASS;IND;PST	V.PTCP;PRS	C
borgarens	borgare	N;DEF;GEN;SG	N;INDF;NOM;SG	C
väcker	väckt	V;ACT;IND;PRS	V.PTCP;PST	C
nämnts	nämn	V.CVB;PASS	V;IMP	C
tryggade	tryggande	V;ACT;IND;PST	V.PTCP;PRS	C
senare	sent	ADJ;INDF;MASC+FEM;SG;COMPV	ADJ;INDF;NEUT;SG	C
fördärvande	fördärvade	V.PTCP;PRS	V;ACT;IND;PST	C
pressad	pressas	V.PTCP;PST	V;PASS;NFIN	C
sagt	säger	V.CVB;ACT	V;ACT;IND;PRS	C
visarnas	visarna	N;DEF;GEN;PL	N;DEF;NOM;PL	C
gifts	giftas	V.CVB;PASS	V;PASS;NFIN	C
förgörs	förgöra	V;PASS;IND;PRS	V;ACT;NFIN	C
undersök	undersöker	V;IMP	V;ACT;IND;PRS	C
upprätta	upprättar	V;ACT;NFIN	V;ACT;IND;PRS	C
sålde	säljs	V;ACT;IND;PST	V;PASS;IND;PRS	C
följeslagare	följeslagarna	N;INDF;NOM;PL	N;DEF;NOM;PL	C
