Held	Helden	N;NFIN	N;DAT;PL	C
setzen	setze	V;NFIN	V;SBJV;PRS;1;SG	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
beweisen	bewiese	V;NFIN	V;SBJV;PST;1;SG	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
reichen	reichet	V;NFIN	V;SBJV;PRS;2;PL	C
feiern	feierst	V;NFIN	V;IND;PRS;2;SG	C
begraben	begrübe	V;NFIN	V;SBJV;PST;1;SG	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
lösen	lösten	V;NFIN	V;SBJV;PST;3;PL	C
begehren	begehrte	V;NFIN	V;SBJV;PST;1;SG	C
wünschen	wünschst	V;NFIN	V;IND;PRS;2;SG	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
offenbaren	offenbarest	V;NFIN	V;SBJV;PRS;2;SG	C
legen	legt	V;NFIN	V;IND;PRS;2;PL	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
lösen	löst	V;NFIN	V;IND;PRS;2;SG	C
lieben	liebst	V;NFIN	V;IND;PRS;2;SG	C
speisen	speiste	V;NFIN	V;SBJV;PST;1;SG	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
verdammen	verdammst	V;NFIN	V;IND;PRS;2;SG	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
verlassen	verließen	V;NFIN	V;SBJV;PST;3;PL	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
betrüben	betrübt	V;NFIN	V;IND;PRS;2;PL	C
losen	loste	V;NFIN	V;SBJV;PST;1;SG	C
schauen	schaute	V;NFIN	V;SBJV;PST;1;SG	C
geloben	gelobe	V;NFIN	V;SBJV;PRS;1;SG	C
losen	loste	V;NFIN	V;SBJV;PST;1;SG	C
lügen	lögen	V;NFIN	V;SBJV;PST;3;PL	C
schauen	schauet	V;NFIN	V;SBJV;PRS;2;PL	C
ernten	erntete	V;NFIN	V;SBJV;PST;1;SG	C
glauben	glaubet	V;NFIN	V;SBJV;PRS;2;PL	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
lieben	liebte	V;NFIN	V;SBJV;PST;1;SG	C
begehren	begehre	V;NFIN	V;SBJV;PRS;1;SG	C
warnen	warnt	V;NFIN	V;IND;PRS;2;PL	C
predigen	predigte	V;NFIN	V;SBJV;PST;1;SG	C
zeugen	zeuget	V;NFIN	V;SBJV;PRS;2;PL	C
strafen	strafst	V;NFIN	V;IND;PRS;2;SG	C
