язык	языки	N;NFIN	N;ACC;INAN;PL	C
жилище	жилища	N;NFIN	N;NOM;PL	C
служите	служила	V;FUT;2;PL	V;PST;SG;FEM	C
светить	светило	V;NFIN	V;PST;SG;NEUT	C
растить	растишь	V;NFIN	V;PRS;2;SG	C
правый	правом	ADJ;NFIN	ADJ;ESS;NEUT;SG	C
старых	старого	N;GEN;PL	ADJ;GEN;MASC;SG	C
тверд	твердой	N;NOM;SG	ADJ;ESS;FEM;SG	C
скрытый	скрыты	ADJ;NFIN	ADJ;PL;LGSPEC1	C
убийство	убийство	N;NFIN	N;NOM;SG	C
сердечный	сердечном	ADJ;NFIN	ADJ;ESS;MASC;SG	C
язва	язве	N;NFIN	N;DAT;SG	C
поправить	поправил	V;NFIN	V;PST;SG;MASC	C
страшный	страшных	ADJ;NFIN	ADJ;GEN;PL	C
возносить	возношу	V;NFIN	V;PRS;1;SG	C
убитый	убитом	ADJ;NFIN	ADJ;ESS;MASC;SG	C
петь	поют	V;NFIN	V;PRS;3;PL	C
мертвых	мертвый	N;GEN;PL	ADJ;ACC;MASC;SG	C
бедный	бедные	ADJ;NFIN	ADJ;NOM;PL	C
губить	губишь	V;NFIN	V;PRS;2;SG	C
долгий	долог	ADJ;NFIN	ADJ;MASC;SG;LGSPEC1	C
хулить	хулят	V;NFIN	V;PRS;3;PL	C
сторож	сторожам	N;NFIN	N;DAT;PL	C
восходите	восходить	V;FUT;2;PL	V;NFIN	C
кадите	кадила	V;FUT;2;PL	V;PST;SG;FEM	C
бедный	бедные	ADJ;NFIN	ADJ;NOM;PL	C
чужой	чужой	ADJ;NFIN	ADJ;INS;FEM;SG	C
царях	царю	V;2;PL	V;PRS;1;SG	C
садите	сади	V;FUT;2;PL	V;IMP;2;SG	C
напоены	напоила	ADJ;PL;LGSPEC1	V;PST;SG;FEM	C
разорить	разорите	V;NFIN	V;IMP;2;PL	C
рассказывай	рассказывайте	N;ACC;SG	V;IMP;2;PL	C
пожалеть	пожалело	ADJ;GEN;FEM;SG	V;PST;SG;NEUT	C
жилище	жилища	N;NFIN	N;NOM;PL	C
бедный	бедные	ADJ;NFIN	ADJ;NOM;PL	C
чужой	чужой	ADJ;NFIN	ADJ;INS;FEM;SG	C
бросить	бросим	V;NFIN	V;FUT;1;PL	C
сухой	сухих	ADJ;NFIN	ADJ;ACC;ANIM;PL	C
свободный	свободному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
святую	святых	ADJ;ACC;FEM;SG	N;GEN;PL	C
жилище	жилища	N;NFIN	N;NOM;PL	C
далёкий	далёкая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
вдовою	вдовы	ADJ;INS;FEM;SG	N;NOM;PL	C
раскрытый	раскрытая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
захватить	захватило	V;NFIN	V;PST;SG;NEUT	C
поговорив	поговорить	V.CVB;PST	V;NFIN	C
сердечный	сердечном	ADJ;NFIN	ADJ;ESS;MASC;SG	C
спросить	спроси	V;NFIN	V;IMP;2;SG	C
правый	правом	ADJ;NFIN	ADJ;ESS;NEUT;SG	C
скрытый	скрыты	ADJ;NFIN	ADJ;PL;LGSPEC1	C
язык	языки	N;NFIN	N;ACC;INAN;PL	C
молодого	молодых	ADJ;GEN;MASC;SG	N;GEN;PL	C
нечистоту	нечистоте	N;DAT;SG	N;ESS;SG	C
столп	столпе	N;NFIN	N;ESS;SG	C
чужой	чужой	ADJ;NFIN	ADJ;INS;FEM;SG	C
спросить	спроси	V;NFIN	V;IMP;2;SG	C
свободный	свободному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
свободный	свободному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
белом	белою	N;INS;SG	ADJ;INS;FEM;SG	C
язва	язве	N;NFIN	N;DAT;SG	C
возвестить	возвестите	V;NFIN	V;IMP;2;PL	C
скрывала	скрывайте	ADJ;FEM;SG;LGSPEC1	V;IMP;2;PL	C
спросить	спроси	V;NFIN	V;IMP;2;SG	C
видим	виден	V;IMP;1;PL	V.PTCP;PASS;PST	C
страшный	страшных	ADJ;NFIN	ADJ;GEN;PL	C
немой	немая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
хвалите	хвали	V;FUT;2;PL	V;IMP;2;SG	C
смешанный	смешанной	ADJ;NFIN	ADJ;GEN;FEM;SG	C
сухой	сухих	ADJ;NFIN	ADJ;ACC;ANIM;PL	C
литой	литой	ADJ;NFIN	ADJ;ESS;FEM;SG	C
жертв	жертвы	N;NOM;SG	N;NOM;PL	C
сторож	сторожам	N;NFIN	N;DAT;PL	C
светить	светило	V;NFIN	V;PST;SG;NEUT	C
заклясть	заклянут	V;NFIN	V;FUT;3;PL	C
насадить	насажу	V;NFIN	V;FUT;1;SG	C
сухой	сухих	ADJ;NFIN	ADJ;ACC;ANIM;PL	C
носите	носился	V;FUT;2;PL	V;PST;SG;MASC	C
светить	светило	V;NFIN	V;PST;SG;NEUT	C
язык	языки	N;NFIN	N;ACC;INAN;PL	C
литой	литая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
горький	горек	ADJ;NFIN	ADJ;MASC;SG;LGSPEC1	C
ночной	ночному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
жилище	жилища	N;NFIN	N;NOM;PL	C
возносить	возношу	V;NFIN	V;PRS;1;SG	C
ослабела	ослабело	ADJ;FEM;SG;LGSPEC1	V;PST;SG;NEUT	C
чудный	чудному	ADJ;NFIN	ADJ;DAT;NEUT;SG	C
томить	томишь	V;NFIN	V;PRS;2;SG	C
прямая	прямая	N;NFIN	N;NOM;SG	C
велик	великою	N;NOM;SG	ADJ;INS;FEM;SG	C
возносить	возношу	V;NFIN	V;PRS;1;SG	C
живой	живых	ADJ;ESS;FEM;SG	N;GEN;PL	C
чёрт	чертях	N;NFIN	N;ESS;PL	C
немой	немая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
заклятый	заклятые	ADJ;NFIN	ADJ;NOM;PL	C
немой	немая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
животное	животного	N;NFIN	N;GEN;SG	C
долгий	долгая	ADJ;NFIN	ADJ;NOM;FEM;SG	C
бедный	бедные	ADJ;NFIN	ADJ;NOM;PL	C
убитый	убитом	ADJ;NFIN	ADJ;ESS;MASC;SG	C
выносить	выносите	V;NFIN	V;PRS;2;PL	C
собранный	собранный	ADJ;NFIN	ADJ;NOM;MASC;SG	C
судите	судив	V;FUT;2;PL	V.CVB;PST	C
убитый	убитом	ADJ;NFIN	ADJ;ESS;MASC;SG	C
звезда	звездой	N;NFIN	N;INS;SG	C
губить	губишь	V;NFIN	V;PRS;2;SG	C
известить	известишь	V;NFIN	V;FUT;2;SG	C
малы	малое	N;NOM;PL	ADJ;NOM;NEUT;SG	C
согрешить	согрешите	V;NFIN	V;IMP;2;PL	C
язык	языки	N;NFIN	N;ACC;INAN;PL	C
познала	познает	ADJ;FEM;SG;LGSPEC1	V;PRS;3;SG	C
узнай	узнайте	N;ACC;SG	V;IMP;2;PL	C
сердечный	сердечном	ADJ;NFIN	ADJ;ESS;MASC;SG	C
страшный	страшных	ADJ;NFIN	ADJ;GEN;PL	C
чужой	чужой	ADJ;NFIN	ADJ;INS;FEM;SG	C
беременной	беременных	ADJ;ESS;FEM;SG	N;GEN;PL	C
растить	растишь	V;NFIN	V;PRS;2;SG	C
первом	первых	N;INS;SG	N;GEN;PL	C
свободный	свободному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
возвестить	возвестите	V;NFIN	V;IMP;2;PL	C
горькие	горькою	V.PTCP;ACT;PST	ADJ;INS;FEM;SG	C
нага	нагой	N;GEN;SG	ADJ;ESS;FEM;SG	C
известить	известишь	V;NFIN	V;FUT;2;SG	C
язык	языки	N;NFIN	N;ACC;INAN;PL	C
согрешить	согрешите	V;NFIN	V;IMP;2;PL	C
правый	правом	ADJ;NFIN	ADJ;ESS;NEUT;SG	C
известить	известишь	V;NFIN	V;FUT;2;SG	C
животное	животного	N;NFIN	N;GEN;SG	C
страшный	страшных	ADJ;NFIN	ADJ;GEN;PL	C
расслабить	расслабит	V;NFIN	V;FUT;3;SG	C
последуй	последуйте	N;ACC;SG	V;IMP;2;PL	C
выводить	выводи	V;NFIN	V;IMP;2;SG	C
сухой	сухих	ADJ;NFIN	ADJ;ACC;ANIM;PL	C
звезда	звездой	N;NFIN	N;INS;SG	C
чужой	чужой	ADJ;NFIN	ADJ;INS;FEM;SG	C
выводить	выводите	V;NFIN	V;PRS;2;PL	C
смешанный	смешанный	ADJ;NFIN	ADJ;INAN;ACC;MASC;SG	C
расслабить	расслабит	V;NFIN	V;FUT;3;SG	C
заклятый	заклятые	ADJ;NFIN	ADJ;NOM;PL	C
спросить	спроси	V;NFIN	V;IMP;2;SG	C
возвестить	возвестите	V;NFIN	V;IMP;2;PL	C
смешанный	смешанной	ADJ;NFIN	ADJ;GEN;FEM;SG	C
правый	правом	ADJ;NFIN	ADJ;ESS;NEUT;SG	C
страшный	страшных	ADJ;NFIN	ADJ;GEN;PL	C
слушали	слушающий	V.CVB	V.PTCP;ACT;PRS	C
животное	животного	N;NFIN	N;GEN;SG	C
богатым	богатых	ADJ;INS;MASC;SG	N;GEN;PL	C
звезда	звездой	N;NFIN	N;INS;SG	C
хранить	хранят	V;NFIN	V;PRS;3;PL	C
выводить	выводите	V;NFIN	V;PRS;2;PL	C
животное	животного	N;NFIN	N;GEN;SG	C
страдать	страдающий	ADJ;GEN;FEM;SG	V.PTCP;ACT;PRS	C
страшный	страшных	ADJ;NFIN	ADJ;GEN;PL	C
убитый	убитом	ADJ;NFIN	ADJ;ESS;MASC;SG	C
убитый	убитом	ADJ;NFIN	ADJ;ESS;MASC;SG	C
положен	положите	V.PTCP;PASS;PST	V;FUT;2;PL	C
звезда	звездой	N;NFIN	N;INS;SG	C
хранить	хранят	V;NFIN	V;PRS;3;PL	C
доставляй	доставляло	N;ACC;SG	V;PST;SG;NEUT	C
верить	веришь	V;NFIN	V;PRS;2;SG	C
отвалят	отвалит	V;PRS;3;PL	V;FUT;3;SG	C
пчела	пчеле	N;NFIN	N;DAT;SG	C
мала	малых	N;GEN;SG	N;GEN;PL	C
захватить	захватило	V;NFIN	V;PST;SG;NEUT	C
смешанный	смешанный	ADJ;NFIN	ADJ;INAN;ACC;MASC;SG	C
свободный	свободному	ADJ;NFIN	ADJ;DAT;MASC;SG	C
превозносить	превозносил	V;NFIN	V;PST;SG;MASC	C
захватить	захватило	V;NFIN	V;PST;SG;NEUT	C
белых	белого	N;GEN;PL	ADJ;GEN;MASC;SG	C
петь	поют	V;NFIN	V;PRS;3;PL	C
насадить	насажу	V;NFIN	V;FUT;1;SG	C
рубить	рубил	V;NFIN	V;PST;SG;MASC	C
грешите	грешили	V;FUT;2;PL	V;PST;PL	C
узнали	узнаете	V.CVB	V;PRS;2;PL	C
ворон	вороные	N;NOM;SG	ADJ;ACC;PL	C
духовный	духовная	ADJ;NFIN	ADJ;NOM;FEM;SG	C
разорить	разорите	V;NFIN	V;IMP;2;PL	C
старого	старых	ADJ;GEN;MASC;SG	N;GEN;PL	C
язва	язве	N;NFIN	N;DAT;SG	C
сторож	сторожам	N;NFIN	N;DAT;PL	C
расслабить	расслабит	V;NFIN	V;FUT;3;SG	C
чужой	чужой	ADJ;NFIN	ADJ;INS;FEM;SG	C
