trygga	tryggade	V;IMP	ADJ;DEF;PL	C
krossades	krossade	V;PASS;IND;PST	ADJ;DEF;PL	C
hörsammades	hörsammade	V;PASS;IND;PST	ADJ;DEF;PL	C
stadier	stadiers	N;INDF;NOM;SG	N;INDF;GEN;PL	C
betrycktes	betrycktas	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
struts	strutsarnas	N;NFIN	N;DEF;GEN;PL	C
släkterna	släkt	N;DEF;PL	N;INDF;NOM;SG	C
blotta	blottas	V;NFIN	V;PASS;IND;PRS	C
skäres	skäras	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
upptecknades	upptecknade	V;PASS;IND;PST	ADJ;DEF;PL	C
miste	mista	V.PTCP;PST	V;ACT;NFIN	C
avsöndrades	avsöndrade	V;PASS;IND;PST	ADJ;DEF;PL	C
lösa	lös	V;NFIN	V;IMP	C
stöta	stöta	V;NFIN	V;ACT;NFIN	C
blotta	blottas	V;NFIN	V;PASS;NFIN	C
öppna	öppnas	V;NFIN	V;PASS;IND;PRS	C
skuggade	skugga	ADJ;DEF;PL	V;IMP	C
krossade	krossades	ADJ;DEF;PL	V;PASS;IND;PST	C
beten	betar	N;DEF;SG	V;ACT;IND;PRS	C
blåste	blåst	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
mäta	mäta	V;NFIN	V;ACT;NFIN	C
förskräckt	förskräckte	ADJ;INDF;NEUT;SG	V;ACT;IND;PST	C
rov	rovets	N;NFIN	N;DEF;GEN;SG	C
dyrkade	dyrkades	ADJ;DEF;PL	V;PASS;IND;PST	C
rena	renade	V;NFIN	V;ACT;IND;PST	C
förordnades	förordnade	V;PASS;IND;PST	ADJ;DEF;PL	C
glada	gladas	V;ACT;NFIN	ADJ;INDF;GEN;PL	C
snöre	snöres	N;NFIN	N;INDF;GEN;SG	C
finne	finnes	V.PTCP;PST	V;PASS;IND;PRS	C
mod	modets	N;NFIN	N;DEF;GEN;SG	C
räknades	räknade	V;PASS;IND;PST	ADJ;DEF;PL	C
lovade	lovar	ADJ;DEF;PL	V;ACT;IND;PRS	C
talade	talades	ADJ;DEF;PL	V;PASS;IND;PST	C
dräpa	dräptes	V;NFIN	V;PASS;IND;PST	C
fästas	fästes	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	C
upplysa	upplyses	V;NFIN	V;PASS;IND;PRS	C
hel	helaste	ADJ;NFIN	ADJ;DEF;SPRL	C
förgöra	förgöra	V;NFIN	V;ACT;NFIN	C
svänga	sväng	V;NFIN	V;IMP	C
sända	sänds	V;NFIN	V;PASS;IND;PRS	C
antända	antänder	V;NFIN	V;ACT;IND;PRS	C
stött	stötes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
stöta	stöta	V;NFIN	V;ACT;NFIN	C
falle	falla	V.PTCP;PST	V;ACT;NFIN	C
lösa	lös	V;NFIN	V;IMP	C
avstånd	avståndet	N;NFIN	N;DEF;NOM;SG	C
vikt	vika	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
möta	möttes	V;NFIN	V;PASS;IND;PST	C
oxe	oxen	N;NFIN	N;DEF;NOM;SG	C
kläder	klädde	V.CVB	V;ACT;IND;PST	C
blotta	blotta	V;NFIN	V;ACT;NFIN	C
blotta	blottade	V;IMP	ADJ;DEF;PL	C
fadern	faders	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
upplösa	upplösas	V;NFIN	V;PASS;NFIN	C
anskaffade	anskaffades	ADJ;DEF;PL	V;PASS;IND;PST	C
söka	sök	V;NFIN	V;IMP	C
koka	kokade	V;NFIN	V;ACT;IND;PST	C
vilddjur	vilddjurs	N;NFIN	N;INDF;GEN;PL	C
stöta	stöttes	V;NFIN	V;PASS;IND;PST	C
klöv	klövens	N;NFIN	N;DEF;GEN;SG	C
löst	lösa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
vilddjur	vilddjurs	N;NFIN	N;INDF;GEN;PL	C
blotta	blottas	V;NFIN	V;PASS;NFIN	C
överdragna	överdragen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
avsatt	avsatte	ADJ;INDF;NEUT;SG	V;ACT;IND;PST	C
rört	röres	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
tillreds	tillredes	N;INDF;GEN;SG	V;PASS;IND;PRS	C
användas	användes	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	C
förlåte	förlåta	V.PTCP;PST	V;ACT;NFIN	C
blotta	blottas	V;NFIN	V;PASS;IND;PRS	C
täckte	täckt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
minska	minskade	V;IMP	ADJ;DEF;PL	C
blotta	blotta	V;NFIN	V;ACT;NFIN	C
stöta	stöttes	V;NFIN	V;PASS;IND;PST	C
Vårt	Våra	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
förtryckt	förtrycka	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
stänkt	stänkes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
snöre	snöre	N;NFIN	N;INDF;NOM;SG	C
svänga	svängdes	V;NFIN	V;PASS;IND;PST	C
hel	helaste	ADJ;NFIN	ADJ;DEF;SPRL	C
Israels	Israel	N;INDF;GEN;PL	N;INDF;NOM;SG	C
läras	lärt	ADJ;INDF;GEN;PL	ADJ;INDF;NEUT;SG	C
bakhåll	bakhåll	N;NFIN	N;INDF;NOM;SG	C
armen	arms	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
uppbådades	uppbådade	V;PASS;IND;PST	ADJ;DEF;PL	C
täck	täckt	ADJ;NFIN	ADJ;INDF;NEUT;SG	C
rena	renade	V;NFIN	V;ACT;IND;PST	C
beskärt	beskäres	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
åra	åran	N;NFIN	N;DEF;NOM;SG	C
Anas	Ana	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
upprört	uppröres	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
möta	möts	V;NFIN	V;PASS;IND;PRS	C
rot	rot	N;NFIN	N;INDF;NOM;SG	C
bedrage	bedraga	V.PTCP;PST	V;ACT;NFIN	C
dragna	dragen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
mätt	mättare	ADJ;NFIN	ADJ;INDF;MASC;SG;COMPV	C
förströdda	förströdde	V;ACT;NFIN	V.PTCP;PST	C
antända	antänder	V;NFIN	V;ACT;IND;PRS	C
utfärdade	utfärdades	ADJ;DEF;PL	V;PASS;IND;PST	C
täck	täckt	ADJ;NFIN	ADJ;INDF;NEUT;SG	C
uppenbara	uppenbaras	V;NFIN	V;PASS;NFIN	C
påbud	påbuds	N;NFIN	N;INDF;GEN;PL	C
mätt	mätte	ADJ;INDF;NEUT;SG	V;ACT;IND;PST	C
vädur	väduren	N;NFIN	N;DEF;NOM;SG	C
struts	strutsarnas	N;NFIN	N;DEF;GEN;PL	C
röras	rört	ADJ;INDF;GEN;PL	ADJ;INDF;NEUT;SG	C
blygs	blygas	N;INDF;GEN;SG	ADJ;INDF;GEN;PL	C
stöta	stöta	V;NFIN	V;ACT;NFIN	C
förlöst	förlösa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
läsa	lästes	V;NFIN	V;PASS;IND;PST	C
stöta	stöttes	V;NFIN	V;PASS;IND;PST	C
skurna	skuren	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
bortförde	bortfört	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
bjude	bjudes	V.PTCP;PST	V;PASS;IND;PRS	C
anställa	anställas	V;NFIN	V;PASS;NFIN	C
give	gives	V.PTCP;PST	V;PASS;IND;PRS	C
berömde	berömt	V;ACT;IND;PST	ADJ;INDF;NEUT;SG	C
ödmjuk	ödmjuk	ADJ;NFIN	ADJ;INDF;MASC+FEM;SG	C
rov	rov	N;NFIN	N;INDF;NOM;SG	C
vädur	väduren	N;NFIN	N;DEF;NOM;SG	C
uppenbara	uppenbaras	V;NFIN	V;PASS;NFIN	C
utsläckt	utsläcka	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
frätas	fräta	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
släkte	släktes	N;NFIN	N;INDF;GEN;SG	C
upplysa	upplyses	V;NFIN	V;PASS;IND;PRS	C
bälte	bältets	N;NFIN	N;DEF;GEN;SG	C
söka	söka	V;NFIN	V;ACT;NFIN	C
bälte	bältets	N;NFIN	N;DEF;GEN;SG	C
förtrycka	förtryckas	V;NFIN	V;PASS;NFIN	C
blotta	blottas	V;NFIN	V;PASS;NFIN	C
upplösa	upplösas	V;NFIN	V;PASS;NFIN	C
lösa	lös	V;NFIN	V;IMP	C
anställa	anställas	V;NFIN	V;PASS;NFIN	C
fört	föra	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
upplåtna	upplåten	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
täck	täckt	ADJ;NFIN	ADJ;INDF;NEUT;SG	C
vakade	vaka	ADJ;DEF;PL	V;IMP	C
lutade	luta	ADJ;DEF;PL	V;IMP	C
agat	agas	V.CVB;ACT	V;PASS;NFIN	C
säkras	säkra	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
hyllade	hylla	ADJ;DEF;PL	V;IMP	C
ringar	ringare	V;ACT;IND;PRS	N;INDF;NOM;PL	C
användes	användas	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
skyddade	skydda	ADJ;DEF;PL	V;IMP	C
firades	firade	V;PASS;IND;PST	ADJ;DEF;PL	C
vingar	vingarna	N;INDF;PL	N;DEF;NOM;PL	C
kastades	kastade	V;PASS;IND;PST	ADJ;DEF;PL	C
aktade	aktades	ADJ;DEF;PL	V;PASS;IND;PST	C
bakhåll	bakhåll	N;NFIN	N;INDF;NOM;SG	C
omvände	omvända	V.PTCP;PST	V;ACT;NFIN	C
öppna	öppna	V;NFIN	V;ACT;NFIN	C
smälte	smälta	V.PTCP;PST	V;ACT;NFIN	C
blottade	blottades	ADJ;DEF;PL	V;PASS;IND;PST	C
fästa	fästas	V;NFIN	V;PASS;NFIN	C
vädur	vädurarna	N;NFIN	N;DEF;NOM;PL	C
rena	renade	V;NFIN	V;ACT;IND;PST	C
avstånd	avståndet	N;NFIN	N;DEF;NOM;SG	C
upphäva	upphävdes	V;NFIN	V;PASS;IND;PST	C
antändas	antändes	ADJ;INDF;GEN;PL	V;PASS;IND;PRS	C
våld	vålds	N;NFIN	N;INDF;GEN;SG	C
