klædd	klædduð	N;INDF;ACC;SG	V;IND;PST;2;PL	C
höfum	höfðu	V;SBJV;PRS;1;PL	V.PTCP;PST;DAT;PL	TGT_SLOT_ERROR
gjaldi	gjaldið	N;INDF;DAT;SG	V;IMP;2;PL	C
þessa	þessi	N;INDF;GEN;PL	N;INDF;DAT;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
spáði	spáð	V;SBJV;PST;1;SG	N;INDF;NOM;SG	TGT_SLOT_ERROR
senduð	sendur	V;IND;PST;2;PL	V.PTCP;PST;NOM;SG	POS_PAIR_ERROR
þessu	þess	N;INDF;GEN;SG	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Það	Þau	N;INDF;NOM;SG	V;SBJV;PST;3;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
vissa	vissuð	N;INDF;GEN;PL	V;IND;PST;2;PL	POS_PAIR_ERROR
voru	vor	N;INDF;GEN;SG	N;INDF;ACC;SG	POS_PAIR_ERROR;SRC_SLOT_ERROR
þekkti	þekktu	V;IND;PST;3;SG	V;IND;PST;3;PL	C
mína	mínu	N;INDF;GEN;PL	N;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
mín	mína	N;INDF;ACC;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
byggt	byggist	V.PTCP;PST;ACC;SG	V;SBJV;PRS;1;SG	C
næst	næstur	N;INDF;ACC;SG	V.PTCP;PST;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
fæddu	fæddi	N;INDF;GEN;SG	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
fyrstir	fyrsti	V;IND;PST;2;SG	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
öllu	öllum	N;INDF;GEN;SG	N;INDF;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
dáðu	dáið	V.PTCP;PST;DAT;PL	V;IND;PRS;2;PL	C
haldið	haldast	V;IND;PRS;2;PL	V;IND;PRS;3;PL	C
lofaði	lofið	V;SBJV;PST;3;SG	V;IMP;2;PL	C
slíka	slíkan	N;INDF;GEN;PL	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
fyrstu	fyrstir	N;INDF;GEN;SG	V;IND;PST;2;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
sést	sé	V;IND;PRS;1;SG	V;IMP;2;SG	TGT_SLOT_ERROR
felldir	felld	V;IND;PST;2;SG	N;INDF;ACC;SG	TGT_SLOT_ERROR
leyfðu	leyfi	V.PTCP;PST;DAT;PL	V;SBJV;PRS;3;PL	C
þakkir	þakkað	V;IND;PST;2;SG	V.CVB	C
leysir	leysti	V;SBJV;PRS;2;SG	V;IND;PST;3;SG	C
eru	eruð	N;INDF;GEN;SG	V;IND;PST;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
þriðji	þriðja	N;INDF;DAT;SG	N;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
gifta	gift	V;NFIN	V;IMP;2;SG	C
greina	greinunum	N;INDF;GEN;PL	N;DEF;DAT;PL	C
mælir	mælist	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
trú	trúa	V;IMP;2;SG	V;NFIN	C
væru	værum	N;INDF;GEN;SG	N;INDF;DAT;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
allan	alls	ADJ;ACC;SG	PRN;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR
greinum	greinunum	N;INDF;DAT;PL	N;DEF;DAT;PL	C
heita	heitið	V;NFIN	V;IND;PRS;2;PL	C
giftast	gift	V;IND;PRS;3;PL	V;IMP;2;SG	C
dæmist	dæmi	V;SBJV;PRS;1;SG	V;SBJV;PRS;3;PL	C
læst	læsti	V.PTCP;PST;ACC;SG	V;IND;PST;3;SG	C
nokkrum	nokkra	N;INDF;DAT;PL	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
boða	boðum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
æpti	æptu	V;IND;PST;3;SG	V;IND;PST;3;PL	C
trúa	trú	V;NFIN	V;IMP;2;SG	C
skýrt	skýrum	V.PTCP;PST;ACC;SG	V;SBJV;PRS;1;PL	C
ýmiss	ýmist	PRN;INDF;GEN;SG	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
komu	komst	V;SBJV;PST;3;PL	V;IND;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
segir	segðu	V;SBJV;PRS;2;SG	V.PTCP;PST;DAT;PL	TGT_SLOT_ERROR
þínir	þíns	V;IND;PST;2;SG	PRN;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
hin	hins	N;INDF;ACC;SG	PRN;INDF;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
lok	loka	N;INDF;ACC;SG	N;INDF;GEN;PL	C
réttur	rétt	V.PTCP;PST;NOM;SG	N;INDF;ACC;SG	C
nei	neinn	N;INDF;DAT;SG	N;DEF;ACC;SG	POS_PAIR_ERROR;SRC_POS_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
sumu	sumt	N;INDF;GEN;SG	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
elskaði	elsku	V;SBJV;PST;3;SG	N;INDF;GEN;SG	POS_PAIR_ERROR
hræðist	hræðast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
drepum	drepa	N;INDF;DAT;PL	N;INDF;GEN;PL	TGT_SLOT_ERROR
hrærði	hrærist	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
engum	enginn	N;INDF;DAT;PL	N;DEF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
fletta	flettir	V;NFIN	V;SBJV;PRS;2;SG	C
kunna	kunnir	N;INDF;GEN;PL	V;IND;PST;2;SG	C
heima	heiman	N;INDF;GEN;PL	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR
Krists	Krist	PRN;INDF;GEN;SG	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
mættum	mættuð	N;INDF;DAT;PL	V;IND;PST;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
skrifi	skrifum	N;INDF;DAT;SG	N;INDF;DAT;PL	C
leggst	leggi	V;IND;PRS;1;SG	V;SBJV;PRS;3;PL	C
engu	engar	N;INDF;GEN;SG	ADJ;NOM;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Sum	Sumir	N;INDF;ACC;SG	V;IND;PST;2;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
þínu	þín	N;INDF;GEN;SG	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
klæddum	klædd	N;INDF;DAT;PL	N;INDF;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
heimta	heimtuð	N;INDF;GEN;PL	V;IND;PST;2;PL	C
leggið	leggi	V;IND;PRS;2;PL	V;SBJV;PRS;3;PL	C
safnað	safnaði	V.CVB	V;SBJV;PST;3;SG	C
fluttur	fluttu	V.PTCP;PST;NOM;SG	N;INDF;GEN;SG	TGT_SLOT_ERROR
mestu	mestur	N;INDF;GEN;SG	V.PTCP;PST;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
skipt	skipið	N;INDF;ACC;SG	V;IMP;2;PL	PARADIGM_ERROR;SRC_SLOT_ERROR
hryggist	hryggi	V;SBJV;PRS;1;SG	V;SBJV;PRS;3;PL	C
skyldum	skyldir	N;INDF;DAT;PL	V;IND;PST;2;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
metum	metast	N;INDF;DAT;PL	V;IND;PRS;3;SG	TGT_SLOT_ERROR
þótt	þótti	V;IMP;2;SG	V;SBJV;PRS;3;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
heyrast	heyrði	V;IND;PRS;3;PL	V;SBJV;PST;1;SG	C
undur	undir	V.PTCP;PST;NOM;SG	V;IND;PST;2;SG	POS_PAIR_ERROR;SRC_SLOT_ERROR
hópum	hóp	N;INDF;DAT;PL	N;INDF;ACC;SG	C
færðuð	færðir	V;IND;PST;2;PL	V;IND;PST;2;SG	C
Komum	Kom	N;INDF;DAT;PL	N;INDF;ACC;SG	TGT_SLOT_ERROR
senduð	sendum	V;IND;PST;2;PL	N;INDF;DAT;PL	POS_PAIR_ERROR
báða	báðar	N;INDF;GEN;PL	ADJ;NOM;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
skildir	skildum	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
tíð	tíðum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
Haf	Hafið	V;IMP;2;SG	V;IND;PRS;2;PL	C
Eruð	Ert	V;IND;PST;2;PL	N;INDF;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
glataði	glatast	V;SBJV;PST;3;SG	V;IND;PRS;3;SG	C
ákæru	ákærðu	V;SBJV;PST;3;PL	V.PTCP;PST;DAT;PL	POS_PAIR_ERROR;SRC_SLOT_ERROR
framar	fram	ADJ;NOM;PL	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR
þúsund	þúsundunum	N;INDF;ACC;SG	N;DEF;DAT;PL	C
sjálfan	sjálfir	ADJ;ACC;SG	V;IND;PST;2;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
sérhverja	sérhvert	PRN;INDF;ACC;PL	V.PTCP;PST;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
líkið	lík	V;IND;PRS;2;PL	V;IMP;2;SG	C
nokkrar	nokkrum	ADJ;NOM;PL	N;INDF;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
heita	heitir	V;NFIN	V;SBJV;PRS;2;SG	C
þvost	þvoðu	V;IND;PRS;1;SG	V.PTCP;PST;DAT;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
míns	mína	PRN;INDF;GEN;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
getur	geta	V.PTCP;PST;NOM;SG	N;INDF;GEN;PL	C
heitið	heiti	V;IND;PRS;2;PL	V;SBJV;PRS;3;PL	C
dauðinn	dauði	N;DEF;ACC;SG	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
báðum	báða	N;INDF;DAT;PL	N;INDF;GEN;PL	TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
reiðir	reiðum	V;IND;PST;2;SG	N;INDF;DAT;PL	C
Munum	Munu	N;INDF;DAT;PL	N;INDF;GEN;SG	TGT_SLOT_ERROR
Verið	Verði	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	PARADIGM_ERROR;SRC_SLOT_ERROR
munum	munir	V;SBJV;PRS;1;PL	V;SBJV;PRS;2;SG	C
sendu	sendur	N;INDF;GEN;SG	V.PTCP;PST;NOM;SG	C
væru	væruð	N;INDF;GEN;SG	V;IND;PST;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
erum	er	N;INDF;DAT;PL	N;INDF;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
kærir	kær	V;SBJV;PRS;2;SG	V;IMP;2;SG	C
gætti	gætt	V;IND;PST;3;SG	V.PTCP;PST;ACC;SG	TGT_SLOT_ERROR
boðin	boð	V.PTCP;PST;ACC;PL	N;INDF;ACC;SG	C
mælir	mæli	V;SBJV;PRS;2;SG	V;SBJV;PRS;3;PL	C
hlið	hliðum	N;INDF;ACC;SG	N;INDF;DAT;PL	C
