сделало	сделали	V;PST;SG;NEUT	V.CVB	TGT_SLOT_ERROR
сруби	срубить	V;IMP;2;SG	V;NFIN	C
пленных	плену	ADJ;ESS;PL	V;FUT;1;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
светила	светить	V;PST;SG;FEM	V;NFIN	C
жертвами	жертвах	N;INS;PL	N;ESS;PL	C
божеству	божествах	N;DAT;SG	N;ESS;PL	C
научили	научен	V;PST;PL	V.PTCP;PASS;PST	POS_PAIR_ERROR
счету	счета	N;DAT;SG	N;GEN;SG	C
затворила	затворить	V;PST;SG;FEM	V;NFIN	C
жилой	жили	ADJ;ESS;FEM;SG	N;NOM;PL	POS_PAIR_ERROR;TGT_SLOT_ERROR
язвам	язвою	N;DAT;PL	ADJ;INS;FEM;SG	TGT_SLOT_ERROR
изменился	изменить	V;PST;SG;MASC	V;NFIN	PARADIGM_ERROR
строить	строили	V;NFIN	V;PST;PL	C
открытым	открытою	ADJ;INS;MASC;SG	ADJ;INS;FEM;SG	C
узнать	узнайте	ADJ;GEN;FEM;SG	V;IMP;2;PL	C
взяла	взяли	ADJ;FEM;SG;LGSPEC1	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
повредили	повреди	V;PST;PL	V;IMP;2;SG	C
могут	мог	V;FUT;3;PL	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
твердую	твердом	ADJ;ACC;FEM;SG	N;INS;SG	TGT_SLOT_ERROR
которых	которою	N;GEN;PL	ADJ;INS;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
очищен	очищали	V.PTCP;PASS;PST	V;PST;PL	PARADIGM_ERROR
белый	белым	ADJ;ACC;MASC;SG	ADJ;INS;MASC;SG	C
сам	самым	N;NOM;SG	ADJ;INS;MASC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
убийством	убийстве	N;INS;SG	N;ESS;SG	C
тьме	тьму	N;ESS;SG	N;DAT;SG	TGT_SLOT_ERROR
страшить	страшные	V;NFIN	ADJ;NOM;PL	POS_PAIR_ERROR
избранное	избранный	ADJ;NOM;NEUT;SG	ADJ;ACC;MASC;SG	C
отягощай	отягощали	N;ACC;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
служили	служила	V;PST;PL	V;PST;SG;FEM	C
звать	звали	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
лизали	лизать	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
пол	пой	ADJ;MASC;SG;LGSPEC1	N;ACC;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
старого	старых	ADJ;GEN;MASC;SG	N;GEN;PL	C
цвет	цветами	N;NOM;SG	N;INS;PL	C
жертве	жертвах	N;ESS;SG	N;ESS;PL	C
отошлите	отошли	V;FUT;2;PL	V;IMP;2;SG	C
заключить	заключили	V;NFIN	V;PST;PL	C
проси	просить	V;IMP;2;SG	V;NFIN	C
