строить	строите	V;NFIN	V;FUT;2;PL	C
приклоните	приклони	V;FUT;2;PL	V;IMP;2;SG	C
управляй	управляли	N;ACC;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
умоляй	умоляли	N;ACC;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
строишь	строит	V;FUT;2;SG	V;FUT;3;SG	C
собирайте	собирай	V;IMP;2;PL	N;ACC;SG	TGT_SLOT_ERROR
раздирать	раздирающий	ADJ;GEN;FEM;SG	V.PTCP;ACT;PRS	C
Христе	Христа	N;ESS;SG	N;GEN;SG	C
молодого	молодом	ADJ;GEN;MASC;SG	N;INS;SG	TGT_SLOT_ERROR
какой	какого	ADJ;ESS;FEM;SG	ADJ;GEN;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
почетного	почетном	ADJ;GEN;MASC;SG	N;INS;SG	TGT_SLOT_ERROR
заключите	заключи	V;FUT;2;PL	V;IMP;2;SG	C
которых	которою	N;GEN;PL	ADJ;INS;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
обратили	обрати	V;PST;PL	V;IMP;2;SG	C
получали	получить	V;PST;PL	V;NFIN	PARADIGM_ERROR
смирить	смирите	V;NFIN	V;FUT;2;PL	C
открой	откройте	N;ACC;SG	V;IMP;2;PL	C
сожигает	сожигай	V;PRS;3;SG	N;ACC;SG	SRC_LEXICAL_ERROR
дух	духи	N;NOM;SG	N;NOM;PL	C
помнила	помните	V;PST;SG;FEM	V;FUT;2;PL	TGT_SLOT_ERROR
правою	правый	ADJ;INS;FEM;SG	ADJ;ACC;MASC;SG	C
лишить	лишен	V;NFIN	V.PTCP;PASS;PST	POS_PAIR_ERROR
изменили	изменит	V;PST;PL	V;FUT;3;SG	C
спорить	споры	V;NFIN	V;IMP;2;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
пойте	поя	V;IMP;2;PL	V.CVB;PRS	POS_PAIR_ERROR
выходить	выходит	V;NFIN	V;FUT;3;SG	C
Христа	Христе	N;GEN;SG	N;ESS;SG	C
