mönstrades	mönstrade	V;PASS;IND;PST	ADJ;DEF;PL	C
ägare	äga	V.CVB;COMPV	V;ACT;NFIN	PARADIGM_ERROR;SRC_SLOT_ERROR
uppförd	uppföra	V.PTCP;PST	V;ACT;NFIN	POS_PAIR_ERROR
falle	falls	V.PTCP;PST	N;INDF;GEN;SG	C
hjul	hjulet	N;INDF;NOM;SG	N;DEF;NOM;SG	C
fördriva	fördrives	V;ACT;NFIN	V;PASS;IND;PRS	C
sålda	sålde	V;ACT;NFIN	V.PTCP;PST	C
förtorkade	förtorkades	ADJ;DEF;PL	V;PASS;IND;PST	C
styrka	styrkt	V;ACT;NFIN	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR
efterföljd	efterföljare	V.PTCP;PST	V.CVB;COMPV	PARADIGM_ERROR;TGT_SLOT_ERROR
nödgade	nödgas	ADJ;DEF;PL	V;PASS;NFIN	C
förres	förra	V;PASS;IND;PRS	V;ACT;NFIN	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Het	Hets	N;INDF;NOM;SG	N;INDF;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
bärande	bäres	V.PTCP;PRS	V;PASS;IND;PRS	POS_PAIR_ERROR
byta	bytte	V;ACT;NFIN	V;ACT;IND;PST	C
mat	mana	ADJ;INDF;NEUT;SG	V;ACT;NFIN	PARADIGM_ERROR;SRC_SLOT_ERROR
löst	lösa	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
budens	bud	N;DEF;GEN;SG	N;INDF;NOM;SG	C
rört	röra	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
Vårt	Våra	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
lider	liden	V.CVB	ADJ;INDF;MASC+FEM;SG	C
samlas	samlades	V;PASS;NFIN	V;PASS;IND;PST	C
verke	verkade	ADJ;DEF;MASC;SG	ADJ;DEF;PL	SRC_LEXICAL_ERROR
vilade	vila	ADJ;DEF;PL	V;IMP	C
arme	armen	V.PTCP;PST	ADJ;INDF;MASC+FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
utrönt	utröna	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
Abida	Abias	V;ACT;NFIN	ADJ;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
slagna	slags	V;ACT;NFIN	N;INDF;GEN;SG	PARADIGM_ERROR;SRC_SLOT_ERROR
upplösa	upplöst	V;ACT;NFIN	ADJ;INDF;NEUT;SG	POS_PAIR_ERROR
mista	mister	V;ACT;NFIN	V.CVB	TGT_SLOT_ERROR
än	ända	V;ACT;NFIN;COMPOUND	V;ACT;NFIN	SRC_POS_ERROR;SRC_SLOT_ERROR
förres	förre	V;PASS;IND;PRS	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Rebecka	Rebeckas	V;ACT;NFIN	ADJ;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
höje	höj	V.PTCP;PST	V;ACT;NFIN;COMPOUND	SRC_LEXICAL_ERROR
tränga	tränges	V;ACT;NFIN	V;PASS;IND;PRS	C
