верхом	верха	N;INS;SG	N;GEN;SG	C
захватила	захватили	V;PST;SG;FEM	V;PST;PL	C
любимый	любимую	ADJ;ACC;MASC;SG	ADJ;ACC;FEM;SG	C
дайте	дать	V;IMP;2;PL	ADJ;GEN;FEM;SG	TGT_SLOT_ERROR
открытый	открытых	ADJ;ACC;MASC;SG	N;GEN;PL	TGT_SLOT_ERROR
сокрытый	сокрыт	ADJ;ACC;MASC;SG	N;NOM;SG	TGT_SLOT_ERROR
соединился	соедини	V;PST;SG;MASC	V;IMP;2;SG	PARADIGM_ERROR
Котором	Которой	N;INS;SG	ADJ;ESS;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
принесли	принесем	V.CVB	V;PRS;1;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
черный	черного	ADJ;ACC;MASC;SG	ADJ;GEN;MASC;SG	C
Богом	Бог	N;INS;SG	N;NOM;SG	C
разбили	разбился	V;PST;PL	V;PST;SG;MASC	PARADIGM_ERROR
берете	берет	V;PRS;2;PL	V;PRS;3;SG	C
разделила	разделить	V;PST;SG;FEM	V;NFIN	C
воскликнули	воскликнул	N;NOM;PL	N;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
сказывала	сказывайте	ADJ;FEM;SG;LGSPEC1	V;IMP;2;PL	SRC_SLOT_ERROR
увещевали	увещевать	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
окружите	окружили	V;FUT;2;PL	V;PST;PL	C
познает	познают	V;PRS;3;SG	V;FUT;3;PL	C
объявить	объяви	V;NFIN	V;IMP;2;SG	C
немым	нем	ADJ;INS;MASC;SG	N;NOM;SG	TGT_SLOT_ERROR
возлюбленные	возлюбленную	ADJ;ACC;PL	ADJ;ACC;FEM;SG	C
сходим	сходить	V;IMP;1;PL	V;NFIN	C
наступите	наступить	V;FUT;2;PL	V;NFIN	C
признаешь	признали	V;PRS;2;SG	V.CVB	TGT_SLOT_ERROR
узнаем	узнала	V;PRS;1;PL	ADJ;FEM;SG;LGSPEC1	TGT_SLOT_ERROR
Свой	Свою	N;ACC;SG	V;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
привезла	привезли	ADJ;FEM;SG;LGSPEC1	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Будут	Будь	V;FUT;3;PL	N;ACC;SG	TGT_SLOT_ERROR
месте	мести	N;ESS;SG	N;NOM;PL	PARADIGM_ERROR
изгнать	изгнали	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
почерпнули	почерпнула	N;NOM;PL	N;GEN;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
сохранить	сохрани	V;NFIN	V;IMP;2;SG	C
желающий	желай	V.PTCP;ACT;PRS	N;ACC;SG	TGT_SLOT_ERROR
святой	святою	ADJ;ESS;FEM;SG	ADJ;INS;FEM;SG	C
проклинать	проклинай	ADJ;GEN;FEM;SG	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
родили	родишь	V;PST;PL	V;FUT;2;SG	C
управляй	управляющий	N;ACC;SG	V.PTCP;ACT;PRS	SRC_SLOT_ERROR
пьяною	пьяный	ADJ;INS;FEM;SG	ADJ;ACC;MASC;SG	C
благословили	благословила	V;PST;PL	V;PST;SG;FEM	C
гусеницы	гусеница	N;NOM;PL	N;GEN;SG	TGT_SLOT_ERROR
сохранился	сохранить	V;PST;SG;MASC	V;NFIN	PARADIGM_ERROR
самая	самого	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
чужою	чужое	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG	C
познаешь	познайте	V;PRS;2;SG	V;IMP;2;PL	C
разбудила	разбудить	ADJ;FEM;SG;LGSPEC1	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
гвозди	гвоздем	N;ACC;PL	V;PRS;1;PL	TGT_SLOT_ERROR
умертвить	умертви	V;NFIN	V;IMP;2;SG	C
се	сели	N;ACC;SG	V.CVB	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
самый	сама	ADJ;ACC;MASC;SG	N;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
сбить	сбили	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
избранный	избранных	ADJ;ACC;MASC;SG	N;GEN;PL	TGT_SLOT_ERROR
удалился	удалите	V;PST;SG;MASC	V;FUT;2;PL	PARADIGM_ERROR
погубите	погубить	V;FUT;2;PL	V;NFIN	C
духовных	духовные	ADJ;ESS;PL	ADJ;NOM;PL	C
малый	малые	ADJ;ACC;MASC;SG	ADJ;ACC;PL	C
жала	жало	N;GEN;SG	N;ESS;SG	TGT_SLOT_ERROR
возлюбленною	возлюбленные	ADJ;INS;FEM;SG	ADJ;ACC;PL	C
молодая	молодую	ADJ;NOM;FEM;SG	ADJ;ACC;FEM;SG	C
человекоубийца	человекоубийц	N;GEN;SG	N;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
областеначальником	областеначальника	N;INS;SG	N;GEN;SG	SRC_LEXICAL_ERROR
