verkündiget	verkündigt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	SRC_LEXICAL_ERROR
lebet	lebte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
entsetzt	entsetzte	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
besuche	besucht	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
scheinest	scheinen	V;SBJV;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
Waren	Warte	N;DAT;PL	V;SBJV;PST;1;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
gebt	gebest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
verlaßt	verlaß	V;IND;PRS;2;PL	N;NOM;SG	POS_PAIR_ERROR
fluchten	fluchet	V;SBJV;PST;3;PL	V;SBJV;PRS;2;PL	C
Saget	Sagte	V;SBJV;PRS;2;PL	V;SBJV;PST;1;SG	C
verwirrt	verwirren	V;IND;PRS;2;PL	N;DAT;PL	TGT_SLOT_ERROR
teilen	teil	N;DAT;PL	N;NOM;SG	C
laufe	lauf	V;SBJV;PRS;1;SG	N;NOM;SG	C
holst	holte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
würde	würden	V;SBJV;PRS;1;SG	N;DAT;PL	C
verkehre	verkehrten	V;SBJV;PRS;1;SG	V;SBJV;PST;3;PL	C
Eilet	Eile	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
regiert	regierest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
ihr	ihrem	N;NOM;SG	ADJ;DAT;SG	TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
fallt	fallest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
Schalen	Schale	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
löst	löste	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
Leiste	Leisten	V;SBJV;PRS;1;SG	N;DAT;PL	C
Teilen	Teile	N;DAT;PL	V;SBJV;PRS;1;SG	C
bleibest	bleibst	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
