палит	пали	V;FUT;3;SG	V;IMP;2;SG	C
орудии	орудием	N;ACC;PL	V;PRS;1;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
самые	самое	ADJ;ACC;PL	ADJ;NOM;NEUT;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
сокрушить	сокрушите	V;NFIN	V;FUT;2;PL	C
сходишь	сходила	V;FUT;2;SG	V;PST;SG;FEM	C
назидается	назидая	PRN;NOM;2;SG	V.CVB;PRS	SRC_LEXICAL_ERROR
козлам	козлов	N;DAT;PL	N;GEN;PL	C
простирает	простирала	V;PRS;3;SG	ADJ;FEM;SG;LGSPEC1	TGT_SLOT_ERROR
принимать	принимай	ADJ;GEN;FEM;SG	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
возлюбленною	возлюбленном	ADJ;INS;FEM;SG	N;INS;SG	TGT_SLOT_ERROR
смертный	смертные	ADJ;NOM;MASC;SG	ADJ;NOM;PL	C
малые	мала	ADJ;ACC;PL	N;GEN;SG	TGT_SLOT_ERROR
быть	бы	ADJ;GEN;FEM;SG	N;ACC;SG	POS_PAIR_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR
носили	носила	V;PST;PL	V;PST;SG;FEM	C
ним	ними	N;ACC;SG	N;ACC;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
старою	старое	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG	C
падали	падите	V;PST;PL	V;FUT;2;PL	PARADIGM_ERROR;TGT_SLOT_ERROR
кормили	корму	V;PST;PL	V;FUT;1;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
почетного	почетном	ADJ;GEN;MASC;SG	N;INS;SG	TGT_SLOT_ERROR
другая	другой	ADJ;NOM;FEM;SG	ADJ;ESS;FEM;SG	SRC_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
изменишь	изменили	V;FUT;2;SG	V;PST;PL	C
выводить	выводили	V;NFIN	V;PST;PL	C
благ	блага	N;NOM;SG	N;GEN;SG	C
ином	иных	N;INS;SG	N;GEN;PL	C
почитает	почитайте	V;PRS;3;SG	V;IMP;2;PL	C
которою	которую	ADJ;INS;FEM;SG	ADJ;ACC;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
соблюди	соблюдите	V;IMP;2;SG	V;FUT;2;PL	TGT_SLOT_ERROR
возлюбленные	возлюбленною	ADJ;ACC;PL	ADJ;INS;FEM;SG	C
больные	больного	ADJ;NOM;PL	ADJ;GEN;NEUT;SG	C
обнажи	обнажен	V;IMP;2;SG	V.PTCP;PASS;PST	POS_PAIR_ERROR
творить	творили	V;NFIN	V;PST;PL	C
узнала	узнаю	ADJ;FEM;SG;LGSPEC1	V;PRS;1;SG	C
разделила	раздели	V;PST;SG;FEM	V;IMP;2;SG	C
любимый	любимое	ADJ;ACC;MASC;SG	ADJ;NOM;NEUT;SG	C
убийцы	убийцу	N;NOM;PL	N;DAT;SG	TGT_SLOT_ERROR
кадите	кадили	V;FUT;2;PL	V;PST;PL	C
беременным	беременной	ADJ;INS;MASC;SG	ADJ;ESS;FEM;SG	C
которой	которым	ADJ;ESS;FEM;SG	ADJ;INS;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
принесла	принеси	ADJ;FEM;SG;LGSPEC1	N;ACC;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
исходила	исходили	V;PST;SG;FEM	V;PST;PL	C
изливай	изливать	N;ACC;SG	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
причинили	причинить	V;PST;PL	V;NFIN	C
осквернила	оскверните	V;PST;SG;FEM	V;FUT;2;PL	C
затворить	затворили	V;NFIN	V;PST;PL	C
восстало	восстали	V;PST;SG;NEUT	V.CVB	TGT_SLOT_ERROR
мертвые	мертвых	ADJ;ACC;PL	N;GEN;PL	C
мертвым	мертвого	ADJ;INS;MASC;SG	ADJ;GEN;MASC;SG	C
строить	строите	V;NFIN	V;FUT;2;PL	C
сокрытой	сокрыт	ADJ;ESS;FEM;SG	N;NOM;SG	TGT_SLOT_ERROR
красные	красный	ADJ;NOM;PL	ADJ;NOM;MASC;SG	C
правые	права	ADJ;ACC;PL	N;GEN;SG	C
покрыли	покрыло	N;NOM;PL	N;ESS;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
лесу	лесом	N;DAT;SG	N;INS;SG	C
простираешь	простирали	V;PRS;2;SG	V.CVB	TGT_SLOT_ERROR
внука	внуки	N;GEN;SG	N;NOM;PL	C
живом	живой	N;INS;SG	ADJ;ESS;FEM;SG	C
объявите	объявили	V;FUT;2;PL	V;PST;PL	C
немым	немого	ADJ;INS;MASC;SG	ADJ;GEN;MASC;SG	C
Моем	Мою	V;PRS;1;PL	V;PRS;1;SG	C
обратить	обратите	V;NFIN	V;FUT;2;PL	C
никакою	никакая	ADJ;INS;FEM;SG	ADJ;NOM;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
начале	началом	N;ESS;SG	N;INS;SG	C
исследовать	исследовал	ADJ;GEN;FEM;SG	ADJ;MASC;SG;LGSPEC1	SRC_SLOT_ERROR;TGT_SLOT_ERROR
хранить	хранили	V;NFIN	V;PST;PL	C
лиц	лицом	N;NOM;SG	N;INS;SG	C
каком	какого	N;INS;SG	ADJ;GEN;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
