первые	первою	ADJ;ACC;PL	ADJ;INS;FEM;SG	TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
малый	малом	ADJ;ACC;MASC;SG	N;INS;SG	TGT_SLOT_ERROR
пали	палит	V;IMP;2;SG	V;FUT;3;SG	TGT_SLOT_ERROR
живым	жив	ADJ;INS;MASC;SG	N;NOM;SG	TGT_SLOT_ERROR
нового	новое	ADJ;GEN;MASC;SG	ADJ;NOM;NEUT;SG	C
откормленный	откормленные	ADJ;ACC;MASC;SG	ADJ;ACC;PL	C
самой	самым	ADJ;ESS;FEM;SG	ADJ;INS;MASC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
перестал	перестали	ADJ;MASC;SG;LGSPEC1	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
могло	мог	V;PST;SG;NEUT	N;ACC;SG	TGT_SLOT_ERROR
камню	камнем	V;PRS;1;SG	V;PRS;1;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
произвело	произвела	N;ESS;SG	N;GEN;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
одержимый	одержимых	ADJ;ACC;MASC;SG	N;GEN;PL	C
предавайте	предавала	V;IMP;2;PL	ADJ;FEM;SG;LGSPEC1	TGT_SLOT_ERROR
дух	духе	N;NOM;SG	N;ESS;SG	C
отправлять	отправляли	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
обложили	обложи	V;PST;PL	V;IMP;2;SG	C
литого	литых	ADJ;GEN;MASC;SG	N;GEN;PL	TGT_SLOT_ERROR
половины	половина	N;NOM;PL	N;GEN;SG	TGT_SLOT_ERROR
обличать	обличились	DET;PL	PRN;DAT;SG	TGT_LEXICAL_ERROR;SRC_SLOT_ERROR
шестом	шести	N;INS;SG	N;NOM;PL	POS_PAIR_ERROR;TGT_SLOT_ERROR
какою	какая	ADJ;INS;FEM;SG	ADJ;NOM;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Мою	Мои	V;PRS;1;SG	N;ACC;PL	TGT_SLOT_ERROR
самого	самою	ADJ;GEN;MASC;SG	ADJ;INS;FEM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
блаженного	блаженный	ADJ;GEN;NEUT;SG	ADJ;NOM;MASC;SG	C
звезду	звезде	N;DAT;SG	N;ESS;SG	C
укрепи	укрепить	V;IMP;2;SG	V;NFIN	C
будете	будет	V;PRS;2;PL	V;PRS;3;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
влекла	влекло	ADJ;FEM;SG;LGSPEC1	V;PST;SG;NEUT	C
совершила	совершился	V;PST;SG;FEM	V;PST;SG;MASC	PARADIGM_ERROR
подносили	подносят	V;PST;PL	V;PRS;3;PL	C
тельцов	тельца	N;GEN;PL	N;GEN;SG	C
исполни	исполнили	V;IMP;2;SG	V;PST;PL	C
познаю	познаем	V;PRS;1;SG	V;PRS;1;PL	C
переходить	переходи	V;NFIN	V;IMP;2;SG	C
объясним	объяснить	V;IMP;1;PL	V;NFIN	C
иного	ином	ADJ;GEN;MASC;SG	N;INS;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
отделите	отделен	V;FUT;2;PL	V.PTCP;PASS;PST	POS_PAIR_ERROR
пой	пою	N;ACC;SG	V;PRS;1;SG	C
выстроить	выстроился	V;NFIN	V;PST;SG;MASC	PARADIGM_ERROR
был	была	ADJ;MASC;SG;LGSPEC1	ADJ;FEM;SG;LGSPEC1	C
заключи	заключила	V;IMP;2;SG	V;PST;SG;FEM	C
начало	началом	N;ESS;SG	N;INS;SG	C
возбудите	возбуди	V;FUT;2;PL	V;IMP;2;SG	C
напоены	напоили	ADJ;PL;LGSPEC1	V;PST;PL	C
били	бить	V.CVB	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
живою	живые	ADJ;INS;FEM;SG	ADJ;ACC;PL	C
мертвые	мертвою	ADJ;ACC;PL	ADJ;INS;FEM;SG	C
простился	простите	V;PST;SG;MASC	V;FUT;2;PL	PARADIGM_ERROR
светила	светить	V;PST;SG;FEM	V;NFIN	C
Котором	Который	N;INS;SG	ADJ;ACC;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
возьмут	возьмем	V;FUT;3;PL	V;PRS;1;PL	TGT_SLOT_ERROR
родить	роду	V;NFIN	V;FUT;1;SG	POS_PAIR_ERROR;TGT_SLOT_ERROR
Моисеевой	Моисеевы	ADJ;ESS;FEM;SG	N;NOM;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
родить	родили	V;NFIN	V;PST;PL	C
управляй	управляющий	N;ACC;SG	V.PTCP;ACT;PRS	C
чужое	чужого	ADJ;NOM;NEUT;SG	ADJ;GEN;MASC;SG	C
иною	иной	ADJ;INS;FEM;SG	ADJ;ESS;FEM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
большого	большою	ADJ;GEN;MASC;SG	ADJ;INS;FEM;SG	C
главного	главные	ADJ;GEN;NEUT;SG	ADJ;NOM;PL	C
жди	ждите	V;IMP;2;SG	V;FUT;2;PL	TGT_SLOT_ERROR
всходить	всходите	V;NFIN	V;FUT;2;PL	TGT_SLOT_ERROR
посмотри	посмотрите	V;IMP;2;SG	V;FUT;2;PL	C
поступи	поступите	V;IMP;2;SG	V;FUT;2;PL	C
богатым	богатые	ADJ;INS;MASC;SG	ADJ;ACC;PL	C
известила	извести	V;PST;SG;FEM	V;IMP;2;SG	C
правою	правым	ADJ;INS;FEM;SG	ADJ;INS;MASC;SG	C
знакомые	знакомого	ADJ;ACC;PL	ADJ;GEN;MASC;SG	C
ночные	ночного	ADJ;NOM;PL	ADJ;GEN;NEUT;SG	C
узнай	узнаем	N;ACC;SG	V;PRS;1;PL	C
отпустила	отпусти	V;PST;SG;FEM	V;IMP;2;SG	C
нарушали	нарушить	V;PST;PL	V;NFIN	PARADIGM_ERROR
обратите	обратить	V;FUT;2;PL	V;NFIN	C
познаю	познать	V;PRS;1;SG	ADJ;GEN;FEM;SG	TGT_SLOT_ERROR
исполняйте	исполняй	V;IMP;2;PL	N;ACC;SG	TGT_SLOT_ERROR
похулили	похули	V;PST;PL	V;IMP;2;SG	C
Мои	Мой	N;ACC;PL	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
приклонить	приклонился	V;NFIN	V;PST;SG;MASC	PARADIGM_ERROR
устранить	устранили	V;NFIN	V;PST;PL	C
слепые	слепой	ADJ;ACC;PL	ADJ;ESS;FEM;SG	C
возлюбленный	возлюбленною	ADJ;ACC;MASC;SG	ADJ;INS;FEM;SG	C
открыто	открытым	N;ESS;SG	ADJ;INS;MASC;SG	C
пища	пищи	N;GEN;SG	N;NOM;PL	C
удерживать	удерживали	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
которая	которым	ADJ;NOM;FEM;SG	ADJ;INS;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
известила	известить	V;PST;SG;FEM	V;NFIN	C
жабах	жаб	N;ESS;PL	N;NOM;SG	TGT_SLOT_ERROR
признаю	признали	V;PRS;1;SG	V.CVB	TGT_SLOT_ERROR
восемь	восемью	N;ACC;SG	V;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
рабе	рабу	N;ESS;SG	N;DAT;SG	C
она	оных	N;GEN;SG	N;GEN;PL	POS_PAIR_ERROR;SRC_SLOT_ERROR
областеначальником	областеначальник	N;INS;SG	N;NOM;SG	SRC_LEXICAL_ERROR
убитой	убитого	ADJ;ESS;FEM;SG	ADJ;GEN;MASC;SG	C
каждое	каждая	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
сторожу	сторож	N;DAT;SG	N;NOM;SG	C
святая	святую	ADJ;NOM;FEM;SG	ADJ;ACC;FEM;SG	C
поспешите	поспешили	V;FUT;2;PL	V;PST;PL	C
умертвить	умертвите	V;NFIN	V;FUT;2;PL	C
Твоя	Твой	V.CVB;PRS	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
внутреннем	внутреннему	N;NOM;SG	N;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
отделился	отделить	V;PST;SG;MASC	V;NFIN	PARADIGM_ERROR
отводит	отводили	V;FUT;3;SG	V;PST;PL	C
жив	живым	N;NOM;SG	ADJ;INS;MASC;SG	C
открытым	открытых	ADJ;INS;MASC;SG	N;GEN;PL	TGT_SLOT_ERROR
считай	считать	N;ACC;SG	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
искало	искать	V;PST;SG;NEUT	ADJ;GEN;FEM;SG	TGT_SLOT_ERROR
дорогою	дороге	ADJ;INS;FEM;SG	N;ESS;SG	C
строила	строишь	V;PST;SG;FEM	V;FUT;2;SG	C
литое	литых	ADJ;NOM;NEUT;SG	N;GEN;PL	TGT_SLOT_ERROR
почитает	почитал	V;PRS;3;SG	ADJ;MASC;SG;LGSPEC1	TGT_SLOT_ERROR
открытою	открытых	ADJ;INS;FEM;SG	N;GEN;PL	TGT_SLOT_ERROR
возьмут	возьмешь	V;FUT;3;PL	V;PRS;2;SG	TGT_SLOT_ERROR
звезды	звезде	N;NOM;PL	N;ESS;SG	C
излить	излился	V;NFIN	V;PST;SG;MASC	PARADIGM_ERROR
голодный	голодные	ADJ;NOM;MASC;SG	ADJ;NOM;PL	C
открытое	открытою	ADJ;NOM;NEUT;SG	ADJ;INS;FEM;SG	C
исходила	исходят	V;PST;SG;FEM	V;PRS;3;PL	C
