Какой	Какое	ADJ;ESS;FEM;SG	ADJ;NOM;NEUT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
сестре	сестры	N;ESS;SG	N;NOM;PL	C
разделите	разделила	V;FUT;2;PL	V;PST;SG;FEM	C
строим	строили	V;IMP;1;PL	V;PST;PL	C
нареки	нарекла	N;ACC;PL	ADJ;FEM;SG;LGSPEC1	SRC_SLOT_ERROR;TGT_SLOT_ERROR
утвердили	утвердился	V;PST;PL	V;PST;SG;MASC	PARADIGM_ERROR
сокрушили	сокрушен	V;PST;PL	V.PTCP;PASS;PST	POS_PAIR_ERROR
вспомнили	вспомнила	V;PST;PL	V;PST;SG;FEM	C
язычески	языческую	N;NOM;PL	ADJ;ACC;FEM;SG	C
Христом	Христа	N;INS;SG	N;GEN;SG	C
малые	малых	ADJ;ACC;PL	N;GEN;PL	C
отнятого	отняты	ADJ;GEN;MASC;SG	N;NOM;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
входили	входить	V;PST;PL	V;NFIN	C
молодую	молодым	ADJ;ACC;FEM;SG	ADJ;INS;MASC;SG	C
разговаривал	разговаривали	ADJ;MASC;SG;LGSPEC1	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
самые	сам	ADJ;ACC;PL	N;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
приветствующий	приветствуете	V.PTCP;ACT;PRS	V;PRS;2;PL	C
расположи	расположите	V;IMP;2;SG	V;FUT;2;PL	C
оказала	оказали	ADJ;FEM;SG;LGSPEC1	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
дворах	двором	N;ESS;PL	N;INS;SG	C
твои	твою	N;ACC;PL	V;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
соделается	соделает	PRN;NOM;2;SG	V;PRS;3;SG	SRC_LEXICAL_ERROR
самый	сами	ADJ;ACC;MASC;SG	N;NOM;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
остановила	остановить	V;PST;SG;FEM	V;NFIN	C
одною	одни	ADJ;INS;FEM;SG	N;NOM;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
