Ding	Dinge	N;NOM;SG	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
wollest	wolle	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
Spitze	Spitzen	V;SBJV;PRS;1;SG	N;DAT;PL	C
sitzen	sitzet	N;DAT;PL	V;SBJV;PRS;2;PL	C
Maßen	Maß	N;DAT;PL	N;NOM;SG	C
seines	seinen	ADJ;ACC;SG	N;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Kriegen	Krieg	N;DAT;PL	N;NOM;SG	C
beugte	beugst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
verstehest	verstehst	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
ihrem	ihren	ADJ;DAT;SG	N;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Spaltungen	Spaltung	N;DAT;PL	N;NOM;SG	C
Seit	Seiten	V;IND;PRS;2;PL	V;SBJV;PST;3;PL	POS_PAIR_ERROR;SRC_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
schauest	schau	V;SBJV;PRS;2;SG	N;NOM;SG	POS_PAIR_ERROR
stehest	stehst	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
zerbrichst	zerbricht	V;IND;PRS;2;SG	V;IND;PRS;2;PL	TGT_SLOT_ERROR
zeugest	zeugen	V;SBJV;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
dienest	dienst	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
gedenket	gedenkest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
Schade	Schaden	V;SBJV;PRS;1;SG	N;DAT;PL	C
macht	machest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
Sabbatjahre	Sabbatjahr	V;SBJV;PRS;1;SG	N;NOM;SG	C
beweisen	beweisest	N;DAT;PL	V;SBJV;PRS;2;SG	C
kaufe	kaufte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
spanne	spannt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
trinkest	trinket	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
steigest	steige	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
Deinen	Deine	N;DAT;PL	V;SBJV;PRS;1;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Weinen	Weine	N;DAT;PL	V;SBJV;PRS;1;SG	C
entsetzt	entsetzen	V;IND;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
begehrte	begehrt	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
vertrieb	vertrieben	N;NOM;SG	N;DAT;PL	C
suchten	suchest	V;SBJV;PST;3;PL	V;SBJV;PRS;2;SG	C
Dich	Dichten	N;NOM;SG	V;SBJV;PST;3;PL	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
seinem	seines	ADJ;DAT;SG	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
welchen	welche	N;DAT;PL	V;SBJV;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
ihr	ihres	N;NOM;SG	ADJ;ACC;SG	TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Letzte	Letzten	V;SBJV;PRS;1;SG	N;DAT;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
deinen	deines	N;DAT;PL	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
liebst	liebet	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
Wesen	Westen	N;DAT;PL	V;SBJV;PST;3;PL	C
Mäuse	Mäusen	V;SBJV;PRS;1;SG	N;DAT;PL	C
Speise	Speisen	V;SBJV;PRS;1;SG	N;DAT;PL	C
aufwachte	aufwachst	V;SBJV;PST;1;SG	V;IND;PRS;2;SG	C
sorge	sorgte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
versuchst	versuchen	V;IND;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
tatet	tat	V;SBJV;PRS;2;PL	N;NOM;SG	C
Zähne	Zähnen	V;SBJV;PRS;1;SG	N;DAT;PL	C
still	stille	N;NOM;SG	V;SBJV;PRS;1;SG	C
fasset	fassest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
erfüllst	erfüllt	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
Scharen	Schar	N;DAT;PL	N;NOM;SG	C
vertilgest	vertilgte	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	SRC_LEXICAL_ERROR
reich	reiche	N;NOM;SG	V;SBJV;PRS;1;SG	C
sollst	sollt	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
demütig	demütiget	N;NOM;SG	V;SBJV;PRS;2;PL	C
werdest	werden	V;SBJV;PRS;2;SG	N;DAT;PL	TGT_SLOT_ERROR
ruhest	ruhe	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
einer	einen	ADJ;GEN;SG	N;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
schätzen	schätze	N;DAT;PL	V;SBJV;PRS;1;SG	C
einst	einem	V;IND;PRS;2;SG	ADJ;DAT;SG	POS_PAIR_ERROR;SRC_POS_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
zeigte	zeiget	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
Tannen	Tanne	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
solchem	solches	ADJ;DAT;SG	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
wir	wirst	N;NOM;SG	V;IND;PRS;2;SG	POS_PAIR_ERROR;SRC_SLOT_ERROR
Plage	Plagen	V;SBJV;PRS;1;SG	N;DAT;PL	C
Regieren	Regiert	N;DAT;PL	V;IND;PRS;2;PL	C
Buch	Buchen	N;NOM;SG	N;DAT;PL	C
schmelzen	schmelzt	N;DAT;PL	V;IND;PRS;2;PL	C
beschuldigt	beschuldiget	V;IND;PRS;2;PL	V;SBJV;PRS;2;PL	C
redetest	redete	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
eingehest	eingehet	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
gehörten	gehören	V;SBJV;PST;3;PL	N;DAT;PL	POS_PAIR_ERROR
erwürget	erwürgt	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
Anklagen	Anklage	N;DAT;PL	V;SBJV;PRS;1;SG	C
macht	machst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
versteckt	verstecken	V;IND;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
stärket	stärken	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
meines	meine	ADJ;ACC;SG	V;SBJV;PRS;1;SG	SRC_POS_ERROR;SRC_SLOT_ERROR
Kreise	Kreisen	V;SBJV;PRS;1;SG	N;DAT;PL	C
gelobt	gelobten	V;IND;PRS;2;PL	V;SBJV;PST;3;PL	C
fälle	fällte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
pflanzte	pflanze	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
Lobet	Lob	V;SBJV;PRS;2;PL	N;NOM;SG	POS_PAIR_ERROR
Stufen	Stufe	N;DAT;PL	V;SBJV;PRS;1;SG	C
gewinnen	gewinne	N;DAT;PL	V;SBJV;PRS;1;SG	C
gehorchst	gehorchest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
lange	lang	V;SBJV;PRS;1;SG	N;NOM;SG	TGT_SLOT_ERROR
beschwert	beschwerst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
merken	merket	N;DAT;PL	V;SBJV;PRS;2;PL	C
ziehst	ziehest	V;IND;PRS;2;SG	V;SBJV;PRS;2;SG	C
