verkürzt	verkürzest	V;IND;PRS;2;PL	V;SBJV;PRS;2;SG	C
hauest	haue	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
Stücke	Stücken	V;SBJV;PRS;1;SG	N;DAT;PL	C
hatten	hattet	N;DAT;PL	V;SBJV;PRS;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Gründen	Gründe	N;DAT;PL	V;SBJV;PRS;1;SG	C
lehrte	lehret	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
werte	wert	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
leiden	leide	N;DAT;PL	V;SBJV;PRS;1;SG	C
eingehest	eingehet	V;SBJV;PRS;2;SG	V;SBJV;PRS;2;PL	C
verkündiget	verkündigten	V;SBJV;PRS;2;PL	V;SBJV;PST;3;PL	SRC_LEXICAL_ERROR
kehrte	kehren	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
stahlen	stahl	N;DAT;PL	N;NOM;SG	C
aufnahmt	aufnahmen	V;IND;PRS;2;PL	N;DAT;PL	C
jaget	jagst	V;SBJV;PRS;2;PL	V;IND;PRS;2;SG	C
Zäunen	Zäune	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
entsetzte	entsetzen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
kurz	kurze	N;NOM;SG	V;SBJV;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
ob	oben	N;NOM;SG	N;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
suchen	suchest	N;DAT;PL	V;SBJV;PRS;2;SG	C
Leset	Lesen	V;IND;PRS;2;PL	N;DAT;PL	C
möchtet	möchten	V;SBJV;PRS;2;PL	N;DAT;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
jagst	jaget	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
offenbare	offenbar	V;SBJV;PRS;1;SG	N;NOM;SG	TGT_SLOT_ERROR
bauest	baust	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
verziehe	verzieh	V;SBJV;PRS;1;SG	N;NOM;SG	TGT_SLOT_ERROR
decke	decken	V;SBJV;PRS;1;SG	N;DAT;PL	C
krank	kranken	N;NOM;SG	N;DAT;PL	C
kostet	koste	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
gewinnet	gewinnen	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
begehrt	begehrst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
möchtest	möchte	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Orten	Orte	V;SBJV;PST;3;PL	V;SBJV;PST;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Abtrünnigen	Abtrünnige	N;DAT;PL	V;SBJV;PRS;1;SG	TGT_SLOT_ERROR
heiß	heißest	N;NOM;SG	V;SBJV;PRS;2;SG	C
verdammte	verdammten	V;SBJV;PST;1;SG	V;SBJV;PST;3;PL	C
ehre	ehren	V;SBJV;PRS;1;SG	N;DAT;PL	C
heilet	heile	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
liebe	lieb	V;SBJV;PRS;1;SG	N;NOM;SG	C
verwahrt	verwahrst	V;IND;PRS;2;PL	V;IND;PRS;2;SG	C
Sorge	Sorgen	V;SBJV;PRS;1;SG	N;DAT;PL	C
Tritte	Tritt	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
gewöhnt	gewöhnte	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
meine	meinte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
solcher	solche	ADJ;GEN;SG	V;SBJV;PRS;1;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
aller	alles	ADJ;GEN;SG	ADJ;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
hurst	hure	V;IND;PRS;2;SG	V;SBJV;PRS;1;SG	C
deren	der	N;DAT;PL	N;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
fluchten	fluchet	V;SBJV;PST;3;PL	V;SBJV;PRS;2;PL	C
eure	eurer	V;SBJV;PRS;1;SG	ADJ;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Diesen	Diese	N;DAT;PL	V;SBJV;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
führest	führen	V;SBJV;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
backen	backt	N;DAT;PL	V;IND;PRS;2;PL	C
verstecken	verstecke	N;DAT;PL	V;SBJV;PRS;1;SG	C
Welche	Welchen	V;SBJV;PRS;1;SG	N;DAT;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
reizest	reizt	V;SBJV;PRS;2;SG	V;IND;PRS;2;PL	C
alles	alle	ADJ;ACC;SG	V;SBJV;PRS;1;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Kreisen	Kreise	N;DAT;PL	V;SBJV;PRS;1;SG	C
ausfuhren	ausfuhr	N;DAT;PL	N;NOM;SG	C
schlagest	schlage	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
dichten	dich	V;SBJV;PST;3;PL	N;NOM;SG	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
Paläste	Palästen	V;SBJV;PRS;1;SG	N;DAT;PL	C
hingehst	hingehet	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
