lära	läras	V;ACT;NFIN	ADJ;INDF;GEN;PL	TGT_SLOT_ERROR
tryckte	trycka	V;ACT;IND;PST	V;ACT;NFIN	C
kon	kos	ADJ;INDF;MASC+FEM;SG	N;INDF;GEN;SG	C
Sanna	San	V;ACT;NFIN	V;ACT;NFIN;COMPOUND	TGT_POS_ERROR;TGT_SLOT_ERROR
antalet	antal	N;DEF;NOM;SG	N;INDF;NOM;SG	C
brunnens	brunne	N;DEF;GEN;SG	N;INDF;NOM;SG	TGT_SLOT_ERROR
trampa	trampas	V;IMP	V;PASS;NFIN	C
mana	mat	V;ACT;NFIN	ADJ;INDF;NEUT;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
gånge	gångar	N;INDF;NOM;SG	N;INDF;PL	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
täcka	täcke	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
vilket	vilken	PRN;NOM;NEUT;SG	N;DEF;SG	SRC_POS_ERROR;TGT_POS_ERROR;TGT_SLOT_ERROR
ålägges	ålägga	V;PASS;IND;PRS	V;ACT;NFIN	C
upptage	upptages	V.PTCP;PST	V;PASS;IND;PRS	C
Jobs	Job	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
lyfta	lyftes	V;ACT;NFIN	V;PASS;IND;PRS	C
hållna	hållare	V;ACT;NFIN	V.CVB;COMPV	POS_PAIR_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
stjäle	stjäla	V.PTCP;PST	V;ACT;NFIN	C
talar	talen	V;ACT;IND;PRS	N;DEF;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
dödade	dödas	ADJ;DEF;PL	V;PASS;NFIN	C
blinde	blindas	V.PTCP;PST	ADJ;INDF;GEN;PL	C
ställda	ställd	V;ACT;NFIN	V.PTCP;PST	C
öppnen	öppnade	N;DEF;SG	ADJ;DEF;PL	SRC_LEXICAL_ERROR
märkt	märke	ADJ;INDF;NEUT;SG	V.PTCP;PST	POS_PAIR_ERROR;TGT_SLOT_ERROR
uppgiven	uppgives	ADJ;INDF;MASC+FEM;SG	V;PASS;IND;PRS	POS_PAIR_ERROR
skådade	skåden	ADJ;DEF;PL	N;DEF;SG	TGT_LEXICAL_ERROR
eländet	elände	N;DEF;NOM;SG	N;INDF;NOM;SG	C
stallet	stall	N;DEF;NOM;SG	N;INDF;NOM;SG	C
