немого	немых	ADJ;GEN;MASC;SG	N;GEN;PL	C
желай	желали	N;ACC;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
изменился	изменишь	V;PST;SG;MASC	V;FUT;2;SG	PARADIGM_ERROR
второй	второю	ADJ;ESS;FEM;SG	ADJ;INS;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
подходите	подходить	V;FUT;2;PL	V;NFIN	C
молодым	молодой	ADJ;INS;MASC;SG	ADJ;ESS;FEM;SG	C
родят	родным	V;PRS;3;PL	ADJ;INS;NEUT;SG	POS_PAIR_ERROR
которая	которого	ADJ;NOM;FEM;SG	ADJ;GEN;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
положен	положи	V.PTCP;PASS;PST	V;IMP;2;SG	C
рубите	рубить	V;FUT;2;PL	V;NFIN	C
удерживай	удерживать	N;ACC;SG	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
простите	просты	V;FUT;2;PL	V;IMP;2;SG	PARADIGM_ERROR;TGT_SLOT_ERROR
подкрепить	подкрепите	V;NFIN	V;FUT;2;PL	C
твердые	твердых	ADJ;ACC;PL	N;GEN;PL	TGT_SLOT_ERROR
умертви	умертвили	V;IMP;2;SG	V;PST;PL	C
проклинайте	проклинали	V;IMP;2;PL	V.CVB	TGT_SLOT_ERROR
которым	которого	ADJ;INS;MASC;SG	ADJ;GEN;MASC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
рассеянный	рассеянного	ADJ;ACC;MASC;SG	ADJ;GEN;MASC;SG	C
страшным	страшных	ADJ;INS;NEUT;SG	ADJ;ESS;PL	C
приступали	приступив	V;PST;PL	V.CVB;PST	PARADIGM_ERROR
Мой	Моем	N;ACC;SG	V;PRS;1;PL	C
узнали	узнаем	V.CVB	V;PRS;1;PL	C
погребали	погребен	V;PST;PL	V.PTCP;PASS;PST	PARADIGM_ERROR
приняла	принять	ADJ;FEM;SG;LGSPEC1	ADJ;GEN;FEM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
которые	которых	ADJ;ACC;PL	N;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
схватили	схватила	V;PST;PL	V;PST;SG;FEM	C
разложили	разложите	V;PST;PL	V;FUT;2;PL	C
пою	по	V;PRS;1;SG	N;ACC;SG	POS_PAIR_ERROR;TGT_POS_ERROR
твердо	твердом	N;ESS;SG	N;INS;SG	TGT_SLOT_ERROR
искушать	искушали	ADJ;GEN;FEM;SG	V.CVB	SRC_SLOT_ERROR;TGT_SLOT_ERROR
переходят	переходит	V;PRS;3;PL	V;FUT;3;SG	C
осквернили	оскверните	V;PST;PL	V;FUT;2;PL	C
отворила	отворили	V;PST;SG;FEM	V;PST;PL	C
выходила	выходим	V;PST;SG;FEM	V;IMP;1;PL	C
отведи	отведите	V;IMP;2;SG	V;FUT;2;PL	TGT_SLOT_ERROR
мертвою	мертво	ADJ;INS;FEM;SG	N;ESS;SG	TGT_SLOT_ERROR
прогоните	прогони	V;FUT;2;PL	V;IMP;2;SG	C
засевайте	засевай	V;IMP;2;PL	N;ACC;SG	TGT_SLOT_ERROR
уходили	уходите	V;PST;PL	V;FUT;2;PL	C
помни	помнить	V;IMP;2;SG	V;NFIN	C
подняли	подняло	V.CVB	V;PST;SG;NEUT	C
твердая	твердых	ADJ;NOM;FEM;SG	N;GEN;PL	TGT_SLOT_ERROR
осени	осенила	V;IMP;2;SG	V;PST;SG;FEM	C
жили	жилами	N;NOM;PL	N;INS;PL	POS_PAIR_ERROR;SRC_SLOT_ERROR
посвятила	посвятите	V;PST;SG;FEM	V;FUT;2;PL	C
простирает	простирать	V;PRS;3;SG	ADJ;GEN;FEM;SG	TGT_SLOT_ERROR
обольстили	обольстила	V;PST;PL	V;PST;SG;FEM	C
Духа	Духом	N;GEN;SG	N;INS;SG	C
которым	которых	ADJ;INS;MASC;SG	N;GEN;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
заколают	заколал	PRN;ACC;3;SG	PRN;NOM;3;SG	SRC_LEXICAL_ERROR
пить	пило	ADJ;GEN;FEM;SG	V;PST;SG;NEUT	C
удалили	удалить	V;PST;PL	V;NFIN	C
нечисты	нечистою	N;NOM;PL	ADJ;INS;FEM;SG	C
сходили	сходи	V;PST;PL	V;IMP;2;SG	C
посадите	посадить	V;FUT;2;PL	V;NFIN	C
познали	познайте	V.CVB	V;IMP;2;PL	C
видимо	видимою	N;ACC;SG	V;PRS;1;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
узнай	узнает	N;ACC;SG	V;PRS;3;SG	C
жертвам	жертву	N;DAT;PL	N;DAT;SG	TGT_SLOT_ERROR
почитает	почитать	V;PRS;3;SG	ADJ;GEN;FEM;SG	TGT_SLOT_ERROR
спаси	спасу	V;IMP;2;SG	V;FUT;1;SG	C
рассказывали	рассказывай	V.CVB	N;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
граду	градом	N;DAT;SG	N;INS;SG	C
возбуди	возбудите	V;IMP;2;SG	V;FUT;2;PL	C
воспламенили	воспламенился	V;PST;PL	V;PST;SG;MASC	PARADIGM_ERROR
Святых	Святым	N;GEN;PL	ADJ;INS;MASC;SG	C
