mælir	mælist	V;SBJV;PRS;2;SG	V;SBJV;PRS;1;SG	C
minnist	minnst	V;SBJV;PRS;1;SG	V;IND;PRS;1;SG	TGT_SLOT_ERROR
nokkrum	nokkrir	N;INDF;DAT;PL	V;IND;PST;2;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
ályktaði	ályktað	V;SBJV;PST;3;SG	V.CVB	POS_PAIR_ERROR
báðum	báða	N;INDF;DAT;PL	N;INDF;GEN;PL	TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
skuluð	skulu	V;IND;PST;2;PL	N;INDF;GEN;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
munið	munt	V;IND;PRS;2;PL	V.PTCP;PST;ACC;SG	TGT_SLOT_ERROR
drepa	drepum	N;INDF;GEN;PL	N;INDF;DAT;PL	C
fyrstir	fyrstur	V;IND;PST;2;SG	V.PTCP;PST;NOM;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
leyfi	leyfðu	V;SBJV;PRS;3;PL	V.PTCP;PST;DAT;PL	POS_PAIR_ERROR
kunna	kunni	N;INDF;GEN;PL	N;INDF;DAT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
settuð	settir	V;IND;PST;2;PL	V;IND;PST;2;SG	C
spillti	spilltur	N;INDF;DAT;SG	V.PTCP;PST;NOM;SG	C
flokki	flokkur	N;INDF;DAT;SG	V.PTCP;PST;NOM;SG	TGT_SLOT_ERROR
klædda	klædd	N;INDF;GEN;PL	N;INDF;ACC;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
leggur	leggið	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
yrði	yrðuð	N;INDF;DAT;SG	V;IND;PST;2;PL	SRC_SLOT_ERROR;TGT_SLOT_ERROR
leggi	leggið	V;SBJV;PRS;3;PL	V;IND;PRS;2;PL	C
hræðist	hræðast	V;SBJV;PRS;1;SG	V;IND;PRS;3;PL	C
klæðast	klæðum	V;IND;PRS;3;SG	N;INDF;DAT;PL	C
færist	færð	V;SBJV;PRS;1;SG	N;INDF;NOM;SG	TGT_SLOT_ERROR
kært	kær	V.PTCP;PST;ACC;SG	V;IMP;2;SG	C
allt	alla	N;INDF;ACC;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
kært	kærðu	V.PTCP;PST;ACC;SG	V.PTCP;PST;DAT;PL	C
slíkar	slíkt	ADJ;NOM;PL	N;INDF;ACC;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
saurgi	saurgast	N;INDF;DAT;SG	V;IND;PRS;3;SG	SRC_LEXICAL_ERROR
leysir	leysa	V;SBJV;PRS;2;SG	V;NFIN	C
flettu	fletta	V;SBJV;PST;3;PL	V;NFIN	C
