resas	resa	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
Haso	Hasor	ADJ;INDF;NOM;PL	ADJ;PRS;GEN	POS_PAIR_ERROR;SRC_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
rörde	röres	V;ACT;IND;PST	V;PASS;IND;PRS	C
rannsakade	rannsaken	ADJ;DEF;PL	N;DEF;SG	TGT_LEXICAL_ERROR
slicke	slickade	ADJ;DEF;MASC;SG	ADJ;DEF;PL	SRC_LEXICAL_ERROR
åten	åt	DET;SG	N;INDF;NOM;SG	SRC_LEXICAL_ERROR
taga	tage	V;ACT;NFIN	V.PTCP;PST	TGT_SLOT_ERROR
stickade	sticka	ADJ;DEF;PL	V;IMP	C
släkterna	släkte	N;DEF;PL	N;INDF;NOM;SG	PARADIGM_ERROR;SRC_SLOT_ERROR
tjänarna	tjänen	PROPN;MASC	N;DEF;SG	TGT_LEXICAL_ERROR;SRC_SLOT_ERROR
löpare	löpa	V.CVB;COMPV	V;ACT;NFIN	PARADIGM_ERROR;SRC_SLOT_ERROR
Egyptens	Egypten	N;DEF;GEN;SG	DET;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
öppnade	öppnades	ADJ;DEF;PL	V;PASS;IND;PST	C
skapades	skapare	V;PASS;IND;PST	N;INDF;NOM;PL	POS_PAIR_ERROR
blottas	blotten	V;PASS;NFIN	N;DEF;SG	TGT_LEXICAL_ERROR
Abias	Abida	ADJ;INDF;GEN;PL	V;ACT;NFIN	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
manas	manade	V;PASS;NFIN	ADJ;DEF;PL	POS_PAIR_ERROR
nederlaget	nederlag	N;DEF;NOM;SG	N;INDF;NOM;SG	C
orenen	oren	N;DEF;SG	N;INDF;NOM;SG;COMPOUND	SRC_LEXICAL_ERROR;TGT_SLOT_ERROR
grumlen	grumlade	N;DEF;SG	ADJ;DEF;PL	SRC_LEXICAL_ERROR
allas	allt	ADJ;INDF;GEN;PL	ADJ;INDF;NEUT;SG	SRC_SLOT_ERROR;TGT_SLOT_ERROR
förtäres	förtäre	V;PASS;IND;PRS	V.PTCP;PST	TGT_LEXICAL_ERROR
våldsverkarna	våldsverkare	V;ACT;NFIN	V.PTCP;PST	SRC_SLOT_ERROR;TGT_SLOT_ERROR
fälles	fälla	V;PASS;IND;PRS	V;ACT;NFIN	C
upptänden	upptänd	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN;COMPOUND	SRC_LEXICAL_ERROR
höljas	hölja	ADJ;INDF;GEN;PL	V;ACT;NFIN	C
lame	lames	V.PTCP;PST	V;PASS;IND;PRS	SRC_SLOT_ERROR;TGT_SLOT_ERROR
Beten	Beta	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	PARADIGM_ERROR;SRC_SLOT_ERROR
utdelade	utdelat	ADJ;DEF;PL	V.CVB;ACT	POS_PAIR_ERROR
förbränna	förbrännes	V;ACT;NFIN	V;PASS;IND;PRS	C
hala	hals	V;ACT;NFIN	N;INDF;GEN;SG	POS_PAIR_ERROR
borrar	borrade	V;ACT;IND;PRS	ADJ;DEF;PL	POS_PAIR_ERROR
drivna	driven	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	C
Gud	Guds	N;INDF;NOM;SG	N;INDF;GEN;PL	TGT_SLOT_ERROR
antända	antändes	V;ACT;NFIN	V;PASS;IND;PRS	C
Adas	Ada	V;PASS;NFIN	V;IMP	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
rört	röres	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
anstiftades	anstiftade	V;PASS;IND;PST	ADJ;DEF;PL	C
förordnade	förordnades	ADJ;DEF;PL	V;PASS;IND;PST	C
användes	användas	V;PASS;IND;PRS	ADJ;INDF;GEN;PL	C
samlas	samlen	V;PASS;NFIN	N;DEF;SG	TGT_LEXICAL_ERROR
löftet	löfte	N;DEF;NOM;SG	N;INDF;NOM;SG	C
Joram	Jorams	N;INDF;NOM;SG	N;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
vis	vid	N;INDF;GEN;SG	V.PTCP;PST	PARADIGM_ERROR;TGT_SLOT_ERROR
vise	visade	ADJ;DEF;MASC;SG	ADJ;DEF;PL	PARADIGM_ERROR
skuldoffersväduren	skuldoffersvädur	DET;SG	N;INDF;NOM;SG	SRC_LEXICAL_ERROR;TGT_LEXICAL_ERROR
gripa	gripen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	POS_PAIR_ERROR
Mas	Maas	N;INDF;GEN;SG	ADJ;INDF;GEN;PL	TGT_POS_ERROR;TGT_SLOT_ERROR
lida	lider	V;ACT;NFIN	V.CVB	TGT_SLOT_ERROR
smädade	smädare	ADJ;DEF;PL	N;INDF;NOM;PL	POS_PAIR_ERROR
fyllt	fyllen	ADJ;INDF;NEUT;SG	ADJ;INDF;MASC+FEM;SG	TGT_LEXICAL_ERROR
täcka	täckes	V;ACT;NFIN	V;PASS;IND;PRS	C
Johanna	Johannes	V;ACT;NFIN	V;PASS;IND;PRS	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
levande	leva	V.PTCP;PRS	V;ACT;NFIN	PARADIGM_ERROR
lärd	lärda	V.PTCP;PST	V;ACT;NFIN	TGT_SLOT_ERROR
Melkisedeks	Melkisedek	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
gileadit	gileaditen	N;INDF;NOM;SG	DET;SG	SRC_LEXICAL_ERROR
Israels	Israel	N;INDF;GEN;PL	N;INDF;NOM;SG	C
Arbas	Arba	ADJ;INDF;GEN;PL	V;ACT;NFIN	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
rycka	ryckes	V;ACT;NFIN	V;PASS;IND;PRS	C
lärda	lärde	V;ACT;NFIN	V;ACT;IND;PST	C
uppfylla	uppfyllen	V;ACT;NFIN	ADJ;INDF;MASC+FEM;SG	TGT_LEXICAL_ERROR
lämnades	lämnade	V;PASS;IND;PST	ADJ;DEF;PL	C
släckt	släckes	ADJ;INDF;NEUT;SG	V;PASS;IND;PRS	C
Benjamins	Benjamin	N;INDF;GEN;PL	N;INDF;NOM;SG	C
utrönt	utröna	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
kastade	kastades	ADJ;DEF;PL	V;PASS;IND;PST	C
åt	åten	N;INDF;NOM;SG	DET;SG	TGT_LEXICAL_ERROR
Bosra	Bosras	V;ACT;NFIN	ADJ;INDF;GEN;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
årens	års	N;DEF;GEN;SG	N;INDF;GEN;PL	C
Svärdet	Svärd	N;DEF;NOM;SG	N;INDF;NOM;SG	C
Alexanders	Alexander	N;INDF;GEN;PL	N;INDF;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
förslag	förslaget	N;INDF;NOM;SG	N;DEF;NOM;SG	C
tvaget	tvagen	V;ACT;NFIN;COMPOUND	ADJ;INDF;MASC+FEM;SG	SRC_LEXICAL_ERROR
buren	burna	ADJ;INDF;MASC+FEM;SG	V;ACT;NFIN	TGT_SLOT_ERROR
beskärd	beskärt	V.PTCP;PST	ADJ;INDF;NEUT;SG	C
utstött	utstöta	ADJ;INDF;NEUT;SG	V;ACT;NFIN	C
arms	armen	N;INDF;GEN;SG	ADJ;INDF;MASC+FEM;SG	TGT_SLOT_ERROR
värde	värden	ADJ;DEF;MASC;SG	N;DEF;SG	TGT_SLOT_ERROR
gifte	gifta	ADJ;DEF;MASC;SG	V;IMP	TGT_SLOT_ERROR
hörare	hörn	V.CVB;COMPV	ADJ;INDF;MASC+FEM;SG	SRC_LEXICAL_ERROR;TGT_SLOT_ERROR
böjt	böjd	ADJ;INDF;NEUT;SG	V.PTCP;PST	POS_PAIR_ERROR
