Neumonde	Neumonden	V;SBJV;PRS;1;SG	N;DAT;PL	C
Ha	Hast	N;NOM;SG	V;IND;PRS;2;SG	POS_PAIR_ERROR;SRC_POS_ERROR
rühmest	rühmst	V;SBJV;PRS;2;SG	V;IND;PRS;2;SG	C
Soll	Sollte	N;NOM;SG	V;SBJV;PST;1;SG	C
kehre	kehret	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
Sollten	Soll	V;SBJV;PST;3;PL	N;NOM;SG	POS_PAIR_ERROR
meinem	meine	ADJ;DAT;SG	V;SBJV;PRS;1;SG	SRC_POS_ERROR;SRC_SLOT_ERROR
pflanze	pflanzen	V;SBJV;PRS;1;SG	N;DAT;PL	C
suchet	suche	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
hinaufgehst	hinaufgeht	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
wehre	wehrte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
allen	allem	N;DAT;PL	ADJ;DAT;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
wachen	wacht	N;DAT;PL	V;IND;PRS;2;PL	C
fälle	fällt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
Obrigkeiten	Obrigkeit	N;DAT;PL	N;NOM;SG	C
scheinest	scheinen	V;SBJV;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
lauf	lauft	N;NOM;SG	V;IND;PRS;2;PL	C
meines	meinte	ADJ;ACC;SG	V;SBJV;PST;1;SG	POS_PAIR_ERROR;SRC_POS_ERROR;SRC_SLOT_ERROR
blast	blase	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
beide	beiden	V;SBJV;PRS;1;SG	N;DAT;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
lebte	leben	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
trage	tragt	V;SBJV;PRS;1;SG	V;IND;PRS;2;PL	C
eine	einer	V;SBJV;PRS;1;SG	ADJ;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
gehört	gehörten	V;IND;PRS;2;PL	V;SBJV;PST;3;PL	C
hinausgehst	hinausgeht	V;IND;PRS;2;SG	V;IND;PRS;2;PL	C
meinst	meinte	V;IND;PRS;2;SG	V;SBJV;PST;1;SG	C
selbst	selber	V;IND;PRS;2;SG	ADJ;GEN;SG	SRC_POS_ERROR;TGT_POS_ERROR
gehörst	gehören	V;IND;PRS;2;SG	N;DAT;PL	POS_PAIR_ERROR
fällte	fällt	V;SBJV;PST;1;SG	V;IND;PRS;2;PL	C
blitzt	blitzen	V;IND;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
Leide	Leiden	V;SBJV;PRS;1;SG	N;DAT;PL	C
stärket	stärke	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
kaufet	kaufest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
schaffte	schaffen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
sorget	sorgen	V;SBJV;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
wünschen	wünsche	N;DAT;PL	V;SBJV;PRS;1;SG	C
Meinst	Meine	V;IND;PRS;2;SG	V;SBJV;PRS;1;SG	C
wehre	wehret	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;PL	C
blasen	blast	N;DAT;PL	V;IND;PRS;2;PL	C
Machet	Mache	V;SBJV;PRS;2;PL	V;SBJV;PRS;1;SG	C
Flammen	Flamme	N;DAT;PL	V;SBJV;PRS;1;SG	C
Gewürze	Gewürzen	V;SBJV;PRS;1;SG	N;DAT;PL	C
glaubst	glaubet	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
Stimmen	Stimme	N;DAT;PL	V;SBJV;PRS;1;SG	C
Weh	Wehen	N;NOM;SG	N;DAT;PL	C
machet	macht	V;SBJV;PRS;2;PL	V;IND;PRS;2;PL	C
vertraut	vertraute	V;IND;PRS;2;PL	V;SBJV;PST;1;SG	C
betrügen	betrüge	N;DAT;PL	V;SBJV;PRS;1;SG	C
sagte	sage	V;SBJV;PST;1;SG	V;SBJV;PRS;1;SG	C
Fallt	Fallen	V;IND;PRS;2;PL	N;DAT;PL	POS_PAIR_ERROR
streute	streuen	V;SBJV;PST;1;SG	N;DAT;PL	POS_PAIR_ERROR
brauche	brauchte	V;SBJV;PRS;1;SG	V;SBJV;PST;1;SG	C
fahret	fahrest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
Schiffe	Schiffen	V;SBJV;PRS;1;SG	N;DAT;PL	C
fraget	fragest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
fragest	fragte	V;SBJV;PRS;2;SG	V;SBJV;PST;1;SG	C
Lobe	Lob	V;SBJV;PRS;1;SG	N;NOM;SG	C
kämpfen	kämpfe	N;DAT;PL	V;SBJV;PRS;1;SG	C
heißt	heiße	V;IND;PRS;2;PL	V;SBJV;PRS;1;SG	C
pflügte	pflüget	V;SBJV;PST;1;SG	V;SBJV;PRS;2;PL	C
möge	mögest	V;SBJV;PRS;1;SG	V;SBJV;PRS;2;SG	C
trinket	trinkest	V;SBJV;PRS;2;PL	V;SBJV;PRS;2;SG	C
schämst	schämet	V;IND;PRS;2;SG	V;SBJV;PRS;2;PL	C
