малом	малого	N;INS;SG	ADJ;GEN;MASC;SG	C
сохраните	сохранить	V;FUT;2;PL	V;NFIN	C
любимую	любимое	ADJ;ACC;FEM;SG	ADJ;NOM;NEUT;SG	C
усилился	усилить	V;PST;SG;MASC	V;NFIN	PARADIGM_ERROR
совершился	соверши	V;PST;SG;MASC	V;IMP;2;SG	PARADIGM_ERROR
летали	летите	V;PST;PL	V;FUT;2;PL	PARADIGM_ERROR;TGT_SLOT_ERROR
хвалите	хвалить	V;FUT;2;PL	V;NFIN	C
левый	лев	ADJ;ACC;MASC;SG	N;NOM;SG	C
имеешь	имеет	V;PRS;2;SG	V;PRS;3;SG	C
ходили	ходи	V;PST;PL	V;IMP;2;SG	C
животного	животное	ADJ;GEN;NEUT;SG	ADJ;ACC;NEUT;SG	C
избранным	избранный	ADJ;INS;MASC;SG	ADJ;ACC;MASC;SG	C
имеет	имеющий	V;PRS;3;SG	V.PTCP;ACT;PRS	POS_PAIR_ERROR
порази	поразили	V;IMP;2;SG	V;PST;PL	C
проходите	проходить	V;FUT;2;PL	V;NFIN	C
даруй	даруешь	N;ACC;SG	V;PRS;2;SG	C
молодые	молодых	ADJ;ACC;PL	N;GEN;PL	C
духу	духов	N;DAT;SG	N;GEN;PL	C
бросили	бросила	V;PST;PL	V;PST;SG;FEM	C
жертва	жертвы	N;GEN;SG	N;NOM;PL	C
сама	сами	N;GEN;SG	N;NOM;PL	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
самый	сам	ADJ;ACC;MASC;SG	N;NOM;SG	SRC_POS_ERROR;TGT_POS_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
теснился	теснили	V;PST;SG;MASC	V;PST;PL	C
родить	родили	V;NFIN	V;PST;PL	C
жилищах	жилищу	N;ESS;PL	N;DAT;SG	C
родных	родят	ADJ;ESS;PL	V;PRS;3;PL	POS_PAIR_ERROR
духа	дух	N;GEN;SG	N;NOM;SG	C
расслабленным	расслабленного	ADJ;INS;NEUT;SG	ADJ;GEN;NEUT;SG	C
отделен	отделите	V.PTCP;PASS;PST	V;FUT;2;PL	C
имейте	имеющий	V;IMP;2;PL	V.PTCP;ACT;PRS	POS_PAIR_ERROR
воронам	ворону	N;DAT;PL	N;DAT;SG	C
преуспевали	преуспевайте	V.CVB	V;IMP;2;PL	C
овладели	овладейте	V.CVB	V;IMP;2;PL	C
привалите	привалили	V;FUT;2;PL	V;PST;PL	C
Аду	Адам	N;DAT;SG	N;DAT;PL	C
любить	любила	V;NFIN	V;PST;SG;FEM	C
каком	каков	N;INS;SG	N;GEN;PL	PARADIGM_ERROR;SRC_SLOT_ERROR;TGT_SLOT_ERROR
проводить	проводите	V;NFIN	V;FUT;2;PL	C
живых	живые	N;GEN;PL	ADJ;ACC;PL	C
