isters	isters
fyllt	fyllt
högskolestyrelsernas	högskolestyrelsernas
blottades	blottades
alkoholism	alkoholism
nynorskan	nynorskan
Sköt	Sköt
skriftligt	skriftligt
röva	röva
ansad	ansad
rastades	rastades
göras	göras
tågas	tågas
väljarnas	väljarnas
arkeologen	arkeologen
flata	flata
anrättningars	anrättningars
departementsråds	departementsråds
adelssläktens	adelssläktens
skyhöge	skyhöge
begås	begås
rövas	rövas
ripjaktens	ripjaktens
kuddes	kuddes
insamlande	insamlande
tryckande	tryckande
sköta	sköta
dövt	dövt
moppen	moppen
homofons	homofons
arbetssättet	arbetssättet
kakkalas	kakkalas
skånken	skånken
mötts	mötts
odjur	odjur
bytas	bytas
repmånaden	repmånaden
lagstiftningens	lagstiftningens
slags	slags
välkomnad	välkomnad
psykologs	psykologs
preciserat	preciserat
stöta	stöta
flugits	flugits
bombarderats	bombarderats
ungdomsförbund	ungdomsförbund
ugglors	ugglors
malströmmarna	malströmmarna
massakern	massakern
tv:n	tv:n
kronprins	kronprins
hämma	hämma
särkarnas	särkarnas
stimulerat	stimulerat
gångjärn	gångjärn
ursprungskällas	ursprungskällas
utgörande	utgörande
ens	ens
värdemängds	värdemängds
utfärdad	utfärdad
koken	koken
förvånade	förvånade
släkten	släkten
tågades	tågades
drängen	drängen
trofasthet	trofasthet
konverterad	konverterad
tillkommelsen	tillkommelsen
Beta	Beta
klistra	klistra
jugoslaviskor	jugoslaviskor
baltiskt	baltiskt
följe	följe
clowneri	clowneri
snöres	snöres
resande	resande
socialförsäkringsministers	socialförsäkringsministers
förtryckas	förtryckas
tigs	tigs
lydelse	lydelse
minskade	minskade
bollklubb	bollklubb
hyresnämnderna	hyresnämnderna
beskyddare	beskyddare
använd	använd
saltstången	saltstången
bildrullars	bildrullars
pappersknivar	pappersknivar
blåmes	blåmes
resurskrävande	resurskrävande
bronsmedaljs	bronsmedaljs
mötande	mötande
elektriciteten	elektriciteten
utgjordes	utgjordes
accelerationen	accelerationen
mårkor	mårkor
psykologers	psykologers
tretalets	tretalets
tålmodiga	tålmodiga
bevisande	bevisande
barkas	barkas
translationer	translationer
duka	duka
beten	beten
sjöslag	sjöslag
dubbelklickar	dubbelklickar
kexets	kexets
årtusendena	årtusendena
droppen	droppen
vittnesbörd	vittnesbörd
glåporden	glåporden
grindarnas	grindarnas
oxarna	oxarna
förståndets	förståndets
ledda	ledda
undkomma	undkomma
luggs	luggs
uppställde	uppställde
kufen	kufen
oxes	oxes
presenning	presenning
möjliggörande	möjliggörande
