sendir	sendir
málandi	málandi
hengdum	hengdum
testósterónið	testósterónið
met	met
flettið	flettið
drekktum	drekktum
hross	hross
klæindi	klæindi
skyttur	skyttur
hrap	hrap
hljóma	hljóma
sonur	sonur
skýrir	skýrir
þolinu	þolinu
guðir	guðir
ökuleyfið	ökuleyfið
fuglafræðina	fuglafræðina
háls	háls
kontrafagottið	kontrafagottið
hæsi	hæsi
faldanna	faldanna
grísku	grísku
vísindamanni	vísindamanni
auki	auki
krókus	krókus
kasta	kasta
körfuboltar	körfuboltar
lessum	lessum
hverjir	hverjir
undantókum	undantókum
húsbóndanum	húsbóndanum
tæfunum	tæfunum
byggið	byggið
gómunum	gómunum
lúkks	lúkks
kaupi	kaupi
hálfendarnir	hálfendarnir
hinu	hinu
vömbin	vömbin
þurrísum	þurrísum
hinum	hinum
gaggaði	gaggaði
toga	toga
meiðsli	meiðsli
meðalið	meðalið
gagntekur	gagntekur
sparðs	sparðs
spils	spils
uppfærðuð	uppfærðuð
fjórum	fjórum
stoppanirnar	stoppanirnar
klæða	klæða
æfingunum	æfingunum
meir	meir
krældi	krældi
hreyfinganna	hreyfinganna
öxla	öxla
þvörguðuð	þvörguðuð
leynduð	leynduð
hænsna	hænsna
þögguðu	þögguðu
menguðu	menguðu
fjarðanna	fjarðanna
fylltu	fylltu
aðgreindir	aðgreindir
sættir	sættir
káetan	káetan
stoðunum	stoðunum
tárið	tárið
göfgar	göfgar
skepnu	skepnu
sleiksins	sleiksins
staðurinn	staðurinn
hverju	hverju
stækjunnar	stækjunnar
sinarnar	sinarnar
þessa	þessa
markgreifanna	markgreifanna
páskaeggsins	páskaeggsins
hljóðfærið	hljóðfærið
fiska	fiska
skini	skini
svertuð	svertuð
sent	sent
fyllir	fyllir
sjúgi	sjúgi
svíki	svíki
gjaldi	gjaldi
hljóðfæri	hljóðfæri
sprokunum	sprokunum
tyrkneskunnar	tyrkneskunnar
vallarmiðju	vallarmiðju
sápa	sápa
borðið	borðið
æxlununum	æxlununum
kúbeinunum	kúbeinunum
öðrum	öðrum
veski	veski
undirættbálkunum	undirættbálkunum
beð	beð
aðfaranæturnar	aðfaranæturnar
tyrkneskan	tyrkneskan
rusls	rusls
æfingu	æfingu
bruninn	bruninn
líkin	líkin
lærandi	lærandi
félagum	félagum
kallað	kallað
möluðuð	möluðuð
kúrdísku	kúrdísku
drepur	drepur
svik	svik
spektu	spektu
styrktuð	styrktuð
missum	missum
eign	eign
