vökunum	vökunum
verslaði	verslaði
fetinu	fetinu
greinanna	greinanna
konuna	konuna
organista	organista
sleik	sleik
sekta	sekta
ráðið	ráðið
læsti	læsti
búið	búið
dæmdir	dæmdir
togi	togi
pyntið	pyntið
herpti	herpti
þakkað	þakkað
höttum	höttum
kenndin	kenndin
jóna	jóna
vísindamönnunum	vísindamönnunum
göfguðuð	göfguðuð
æðardúninn	æðardúninn
skipi	skipi
hryggdýrið	hryggdýrið
fuglafræðin	fuglafræðin
guðum	guðum
breyta	breyta
kætin	kætin
lífstykkið	lífstykkið
japanskan	japanskan
svæfði	svæfði
skjalla	skjalla
framlengt	framlengt
fiskur	fiskur
hnefann	hnefann
efaði	efaði
sendur	sendur
kross	kross
málir	málir
tölvupóstföngum	tölvupóstföngum
lýsið	lýsið
tindana	tindana
vanadíns	vanadíns
skytum	skytum
högum	högum
byggir	byggir
tind	tind
múgæsingum	múgæsingum
reynir	reynir
gramúlfinn	gramúlfinn
árósa	árósa
uppfærðuð	uppfærðuð
skiptum	skiptum
hryggið	hryggið
klætt	klætt
hafs	hafs
krossanna	krossanna
haf	haf
fjöldanum	fjöldanum
hröðlum	hröðlum
hersveitina	hersveitina
abbadís	abbadís
blóðfrumunum	blóðfrumunum
fisk	fisk
látið	látið
felldur	felldur
hraða	hraða
málaði	málaði
tæfunum	tæfunum
æðardúni	æðardúni
sölum	sölum
peningi	peningi
peninginn	peninginn
leikmönnum	leikmönnum
lesandann	lesandann
notað	notað
sálmur	sálmur
klæindi	klæindi
safnaðir	safnaðir
lungnaberkla	lungnaberkla
líkist	líkist
böðla	böðla
flugvellirnir	flugvellirnir
vegasalta	vegasalta
sjúgi	sjúgi
reyrinn	reyrinn
þökkunum	þökkunum
flokkana	flokkana
árósinn	árósinn
kosti	kosti
heiðagæs	heiðagæs
sápur	sápur
samkomulag	samkomulag
staðinn	staðinn
loga	loga
glas	glas
brjálæði	brjálæði
byggist	byggist
aukaföllin	aukaföllin
upplestra	upplestra
gerist	gerist
starfið	starfið
