gættu	gættu
leiðslu	leiðslu
skottulæknirinn	skottulæknirinn
værum	værum
eigin	eigin
pennavinurinn	pennavinurinn
borðaðir	borðaðir
gæra	gæra
snúið	snúið
fimbulvetur	fimbulvetur
byggða	byggða
undir	undir
hvæstu	hvæstu
labba	labba
þrengingu	þrengingu
annan	annan
vonin	vonin
bliku	bliku
hagann	hagann
heyrðum	heyrðum
drepa	drepa
hlátrinum	hlátrinum
kjörfurstar	kjörfurstar
óhamingju	óhamingju
ali	ali
höndlað	höndlað
blikum	blikum
byggði	byggði
hóll	hóll
tunglsjúkur	tunglsjúkur
legkaka	legkaka
æfingu	æfingu
skinum	skinum
spila	spila
raulaði	raulaði
rusls	rusls
minnst	minnst
aukafalla	aukafalla
sýndu	sýndu
leiðir	leiðir
Send	Send
plasta	plasta
félagum	félagum
jörðina	jörðina
arga	arga
metast	metast
óskuðu	óskuðu
flokkarnir	flokkarnir
fjóra	fjóra
ást	ást
skjótt	skjótt
herpti	herpti
kalksteinn	kalksteinn
keypti	keypti
kysstuð	kysstuð
Skyldum	Skyldum
greinisins	greinisins
settur	settur
glatt	glatt
byggjum	byggjum
brúðkaupsgestir	brúðkaupsgestir
nafla	nafla
treysta	treysta
rymdi	rymdi
sjálfsmorðs	sjálfsmorðs
kommúnistinn	kommúnistinn
æðstu	æðstu
gætt	gætt
gjörði	gjörði
hötuðum	hötuðum
brekkusnigla	brekkusnigla
vitrunum	vitrunum
stundum	stundum
hvíl	hvíl
teiknaðir	teiknaðir
fram	fram
næsta	næsta
rósemi	rósemi
umkringdum	umkringdum
varna	varna
spikum	spikum
ríktu	ríktu
handrit	handrit
siðaði	siðaði
velji	velji
skýr	skýr
kalkspats	kalkspats
leiðin	leiðin
æðardúni	æðardúni
iðnina	iðnina
öxin	öxin
oft	oft
kameljóns	kameljóns
stunda	stunda
bólstraskýjum	bólstraskýjum
heddunum	heddunum
útlista	útlista
sakargiftir	sakargiftir
þvo	þvo
fluttur	fluttur
hyllið	hyllið
rakaði	rakaði
skildum	skildum
hitt	hitt
læsir	læsir
rigningarnar	rigningarnar
vörum	vörum
pennavinunum	pennavinunum
fundin	fundin
heiman	heiman
máluðu	máluðu
klæddu	klæddu
mella	mella
mörkunum	mörkunum
viki	viki
gengið	gengið
mengaði	mengaði
hjartar	hjartar
perlanna	perlanna
hylja	hylja
saumi	saumi
minningin	minningin
hitamælunum	hitamælunum
skrifi	skrifi
loft	loft
hjakkið	hjakkið
metin	metin
afgreiddi	afgreiddi
útlisti	útlisti
húsbóndi	húsbóndi
dúkur	dúkur
geimar	geimar
felldur	felldur
afritunum	afritunum
hneykið	hneykið
missis	missis
möluðuð	möluðuð
reiðir	reiðir
tilreiknar	tilreiknar
betrir	betrir
færðir	færðir
notað	notað
flokkar	flokkar
dansa	dansa
leyfis	leyfis
leysa	leysa
belgir	belgir
lofa	lofa
líkaminn	líkaminn
skerma	skerma
svengdin	svengdin
klappandi	klappandi
fisksins	fisksins
boðum	boðum
labbið	labbið
véið	véið
Skyldu	Skyldu
skyttur	skyttur
skjóla	skjóla
missi	missi
birtur	birtur
göfgar	göfgar
símaskrána	símaskrána
miðgilda	miðgilda
núna	núna
mætti	mætti
anda	anda
akur	akur
sín	sín
vífa	vífa
neitaði	neitaði
opna	opna
græddi	græddi
alur	alur
endar	endar
dreif	dreif
Munum	Munum
raustar	raustar
sellerí	sellerí
sést	sést
úkraínsku	úkraínsku
karsinn	karsinn
skottulækni	skottulækni
berð	berð
meta	meta
eðju	eðju
málaðir	málaðir
eruð	eruð
meðulunum	meðulunum
hnéskel	hnéskel
hrek	hrek
notum	notum
ákærðu	ákærðu
fljótt	fljótt
lungnaberkla	lungnaberkla
jöfnuninni	jöfnuninni
skírlífar	skírlífar
fæddir	fæddir
dauði	dauði
kvikmyndin	kvikmyndin
hraða	hraða
tíin	tíin
