diski	diski
markgreifanna	markgreifanna
afritunum	afritunum
súrefnisskorturinn	súrefnisskorturinn
gjömmum	gjömmum
raustu	raustu
flokknum	flokknum
fæðu	fæðu
vönduðuð	vönduðuð
náið	náið
hátíða	hátíða
drottnarans	drottnarans
öðlaðist	öðlaðist
fjarðanna	fjarðanna
stökkum	stökkum
söfnum	söfnum
lagðir	lagðir
lauguðum	lauguðum
strætisvagna	strætisvagna
sum	sum
slúttað	slúttað
hefðarsætin	hefðarsætin
saurgi	saurgi
skammir	skammir
færði	færði
fiskanna	fiskanna
aðfaranóttin	aðfaranóttin
undantekningu	undantekningu
porti	porti
smjattið	smjattið
áhrifi	áhrifi
Sumir	Sumir
tjöldunum	tjöldunum
leyfum	leyfum
tísku	tísku
fræðimennirnir	fræðimennirnir
hjúkrar	hjúkrar
stigbreytinguna	stigbreytinguna
sérhvert	sérhvert
laugaði	laugaði
skækjur	skækjur
lakki	lakki
vökina	vökina
siðaði	siðaði
breytt	breytt
dáið	dáið
inni	inni
skírlífar	skírlífar
leiðast	leiðast
hvein	hvein
kalkúnana	kalkúnana
hafsins	hafsins
vindum	vindum
skírir	skírir
færir	færir
Allir	Allir
dæmist	dæmist
klæðið	klæðið
hafði	hafði
guðinn	guðinn
hagnaðarins	hagnaðarins
þessa	þessa
hvílíkar	hvílíkar
leynduð	leynduð
fimbulvetur	fimbulvetur
klæddi	klæddi
definite	definite
fjarlægt	fjarlægt
ungmennis	ungmennis
notuðuð	notuðuð
óhamingju	óhamingju
bíóinu	bíóinu
greinarnir	greinarnir
hitamælinn	hitamælinn
æfingunum	æfingunum
yfirheita	yfirheita
pokir	pokir
fjarveru	fjarveru
hvor	hvor
læst	læst
klæða	klæða
leyfi	leyfi
fjár	fjár
fýri	fýri
sápa	sápa
hráka	hráka
umfjöllunin	umfjöllunin
þekktuð	þekktuð
gráðu	gráðu
kvakið	kvakið
styrktuð	styrktuð
gætið	gætið
hvílast	hvílast
öðlist	öðlist
skelfisksins	skelfisksins
kenndin	kenndin
hafi	hafi
flokks	flokks
starfið	starfið
brott	brott
æðikollur	æðikollur
notaði	notaði
kúfinn	kúfinn
Leitast	Leitast
talsmannsins	talsmannsins
blikunum	blikunum
fjólu	fjólu
fundum	fundum
undu	undu
hagnýtti	hagnýtti
Hvaðan	Hvaðan
skiptum	skiptum
sælunum	sælunum
saurgast	saurgast
musteranna	musteranna
þinn	þinn
tennisboltarnir	tennisboltarnir
varalitanna	varalitanna
blóðfrumu	blóðfrumu
hvílíkan	hvílíkan
hafa	hafa
raðið	raðið
köstum	köstum
frystiskápar	frystiskápar
safnaðir	safnaðir
leiðsla	leiðsla
rannana	rannana
hengið	hengið
fært	fært
almættið	almættið
hljómað	hljómað
vanheilagan	vanheilagan
eitur	eitur
hrifsaðir	hrifsaðir
geirfuglsins	geirfuglsins
greinanna	greinanna
efi	efi
lungnaberklarnir	lungnaberklarnir
flotaforingjann	flotaforingjann
gefið	gefið
ris	ris
belgi	belgi
alla	alla
slík	slík
skammar	skammar
Þess	Þess
kúrdískan	kúrdískan
höfðuð	höfðuð
fórnið	fórnið
logann	logann
þurrísum	þurrísum
kvænti	kvænti
beini	beini
gætti	gætti
kúturinn	kúturinn
stjórnuðu	stjórnuðu
þarfaþing	þarfaþing
ákærðu	ákærðu
sjálfsmorðs	sjálfsmorðs
fleygði	fleygði
þína	þína
hvílist	hvílist
hlátri	hlátri
flokksins	flokksins
vísum	vísum
sigur	sigur
skytu	skytu
smjatti	smjatti
endurnýja	endurnýja
bólstraskýjum	bólstraskýjum
of	of
þrengingin	þrengingin
hnerruðu	hnerruðu
kalkúnum	kalkúnum
flæmingja	flæmingja
leit	leit
treystuð	treystuð
gólfið	gólfið
eldpipar	eldpipar
komna	komna
gæra	gæra
káetan	káetan
spjótkastinu	spjótkastinu
öfunda	öfunda
leyndi	leyndi
synjaði	synjaði
kæru	kæru
óvirti	óvirti
leysa	leysa
sagna	sagna
hirða	hirða
endurnýjum	endurnýjum
hneykjandi	hneykjandi
bikkju	bikkju
mínu	mínu
tengisagnirnar	tengisagnirnar
hryggið	hryggið
líks	líks
minnkið	minnkið
vegasalta	vegasalta
almætti	almætti
krossfara	krossfara
fórintu	fórintu
maura	maura
samvistarfallinu	samvistarfallinu
handboltanum	handboltanum
brjóstbeinið	brjóstbeinið
pípuhatta	pípuhatta
breytingar	breytingar
víst	víst
spítalarnir	spítalarnir
kostandi	kostandi
samtengingin	samtengingin
spjótkast	spjótkast
rífist	rífist
sættið	sættið
setta	setta
farsímar	farsímar
kviðunum	kviðunum
tignað	tignað
smaragð	smaragð
sent	sent
færeysku	færeysku
brögðin	brögðin
lík	lík
köngulóm	köngulóm
henni	henni
vissa	vissa
Alls	Alls
spöðum	spöðum
vissum	vissum
svara	svara
sess	sess
fjölgyðistrúm	fjölgyðistrúm
núna	núna
sápur	sápur
fær	fær
gormsins	gormsins
grasafræði	grasafræði
stæra	stæra
erfði	erfði
þjónustuna	þjónustuna
undantekningum	undantekningum
félag	félag
matana	matana
notað	notað
kærir	kærir
tóninum	tóninum
testósteróns	testósteróns
leyfanna	leyfanna
reyrinn	reyrinn
borðið	borðið
tind	tind
íþyngir	íþyngir
neitað	neitað
myndið	myndið
lýsir	lýsir
tengisagna	tengisagna
kantötum	kantötum
skituna	skituna
þökkum	þökkum
umskornu	umskornu
krossfestir	krossfestir
glasi	glasi
ættkvíslinni	ættkvíslinni
þreytist	þreytist
kvars	kvars
nýtir	nýtir
öll	öll
herstígvél	herstígvél
kjafta	kjafta
færð	færð
hellum	hellum
mæðraveldis	mæðraveldis
líkið	líkið
nærmyndin	nærmyndin
lastmælin	lastmælin
hefjið	hefjið
gerist	gerist
klekkir	klekkir
lappa	lappa
síst	síst
byggðuð	byggðuð
heiðagæs	heiðagæs
lastmælir	lastmælir
síðar	síðar
afleiðingar	afleiðingar
fjallgarð	fjallgarð
ræni	ræni
ógleði	ógleði
geisladiskurinn	geisladiskurinn
eigandann	eigandann
átuð	átuð
gilt	gilt
hjartarsaltið	hjartarsaltið
félögin	félögin
norðan	norðan
fyllið	fyllið
vekti	vekti
kastið	kastið
skipast	skipast
leiðslu	leiðslu
boðið	boðið
fagurfræðin	fagurfræðin
neinir	neinir
fórnum	fórnum
strandlengjum	strandlengjum
hvína	hvína
þinnar	þinnar
klæddu	klæddu
æxlun	æxlun
fræðimönnunum	fræðimönnunum
tómstundagamni	tómstundagamni
poka	poka
lofa	lofa
ljóðlistin	ljóðlistin
múgæsingu	múgæsingu
hálfleikur	hálfleikur
hinar	hinar
skrifuðum	skrifuðum
látið	látið
öxin	öxin
gjörist	gjörist
byggt	byggt
minnunum	minnunum
eigur	eigur
knattspyrnu	knattspyrnu
hellirinn	hellirinn
snæri	snæri
gjóstarnir	gjóstarnir
markspyrnum	markspyrnum
skytuð	skytuð
eyrað	eyrað
vörina	vörina
Krists	Krists
grunnlinn	grunnlinn
pyntið	pyntið
framlengdi	framlengdi
vátryggja	vátryggja
skíri	skíri
leikfangs	leikfangs
anganna	anganna
ugga	ugga
bifar	bifar
afgreiðum	afgreiðum
hefjir	hefjir
kjörfurstann	kjörfurstann
hagnýta	hagnýta
gagntak	gagntak
þekktur	þekktur
send	send
nöðru	nöðru
hljóma	hljóma
lakka	lakka
gallín	gallín
hnéskel	hnéskel
fjöldanum	fjöldanum
lífvörðurinn	lífvörðurinn
spörfugl	spörfugl
agúrku	agúrku
kalli	kalli
patinu	patinu
hávellunnar	hávellunnar
klippi	klippi
skelfisk	skelfisk
velji	velji
sköpum	sköpum
grískuna	grískuna
svörður	svörður
hatursins	hatursins
jafna	jafna
trúarjátningunni	trúarjátningunni
tæfu	tæfu
étið	étið
fagurfræðina	fagurfræðina
sælur	sælur
hengdir	hengdir
aukafalls	aukafalls
hneigir	hneigir
hræðið	hræðið
leyndin	leyndin
áhugamáli	áhugamáli
skipin	skipin
farsíma	farsíma
Þessir	Þessir
akra	akra
spurningarnar	spurningarnar
safna	safna
lungnaberkla	lungnaberkla
súrefnisskortinum	súrefnisskortinum
málandi	málandi
kyrkti	kyrkti
lofandi	lofandi
bílstjórar	bílstjórar
kafði	kafði
hræddum	hræddum
hneigði	hneigði
lifanda	lifanda
nota	nota
umfjöllun	umfjöllun
hrææta	hrææta
guðum	guðum
fæddur	fæddur
Allur	Allur
pennavinunum	pennavinunum
helvíti	helvíti
elska	elska
svæfið	svæfið
tómlæti	tómlæti
varir	varir
tónfræði	tónfræði
sparði	sparði
sparka	sparka
skutuð	skutuð
óvirtir	óvirtir
efla	efla
frumbyggja	frumbyggja
guðspjallamenn	guðspjallamenn
breyting	breyting
nefnast	nefnast
straumurinn	straumurinn
málum	málum
glas	glas
ráðanna	ráðanna
höfnun	höfnun
glásirnar	glásirnar
heim	heim
varirnar	varirnar
svæfði	svæfði
Jótlandið	Jótlandið
græði	græði
annast	annast
stærið	stærið
konu	konu
þérað	þérað
ökrunum	ökrunum
Svía	Svía
Slíkar	Slíkar
svæfi	svæfi
kostum	kostum
akur	akur
átu	átu
stoppanirnar	stoppanirnar
gjaldi	gjaldi
síddum	síddum
menguðu	menguðu
öllum	öllum
þínar	þínar
gerast	gerast
hugtak	hugtak
sendandi	sendandi
kaupi	kaupi
ökuleyfið	ökuleyfið
gættu	gættu
efldu	efldu
svertir	svertir
slúttir	slúttir
gyltuna	gyltuna
kommúnistum	kommúnistum
leglinum	leglinum
skjallið	skjallið
skírandi	skírandi
fisksins	fisksins
stýri	stýri
hafanna	hafanna
pipars	pipars
þerraði	þerraði
drýgi	drýgi
uppfærðuð	uppfærðuð
gramúlf	gramúlf
gjaldir	gjaldir
makar	makar
bols	bols
tyrkneskan	tyrkneskan
geðshræringu	geðshræringu
skyti	skyti
uppi	uppi
færðu	færðu
þekkist	þekkist
samboðin	samboðin
vinátta	vinátta
rita	rita
myndaði	myndaði
mistur	mistur
múslimarnir	múslimarnir
þíns	þíns
klæddir	klæddir
búist	búist
tvennur	tvennur
huldir	huldir
kastandi	kastandi
læra	læra
misskilningi	misskilningi
vökunum	vökunum
metum	metum
vanadíns	vanadíns
syndgum	syndgum
endarnir	endarnir
heyrðu	heyrðu
flettum	flettum
girni	girni
ríbónúkleasann	ríbónúkleasann
ges	ges
skaflinn	skaflinn
fiskana	fiskana
hneyktuð	hneyktuð
norður	norður
missirinn	missirinn
skapinu	skapinu
kært	kært
reyknum	reyknum
samkomulagið	samkomulagið
hringaðir	hringaðir
eindar	eindar
settur	settur
berklanna	berklanna
iðnina	iðnina
helvítið	helvítið
mynstur	mynstur
hugsun	hugsun
eiturlyfjanotendurnir	eiturlyfjanotendurnir
æðardúninn	æðardúninn
lið	lið
allur	allur
tjörnum	tjörnum
úthlutum	úthlutum
beð	beð
freigátunum	freigátunum
misstir	misstir
þess	þess
kosta	kosta
hneigðuð	hneigðuð
fiskur	fiskur
skírn	skírn
körfubolta	körfubolta
góluðu	góluðu
burt	burt
fletti	fletti
ali	ali
græddir	græddir
eðla	eðla
hornsins	hornsins
höfðu	höfðu
skipi	skipi
líkaminn	líkaminn
svaraði	svaraði
karsinn	karsinn
gjalda	gjalda
pats	pats
aðgreindu	aðgreindu
aukafallsliðina	aukafallsliðina
sig	sig
sjálfsmorðið	sjálfsmorðið
gaggið	gaggið
misstuð	misstuð
ónáðuðuð	ónáðuðuð
flotaforingja	flotaforingja
enda	enda
frumvörpum	frumvörpum
hvílir	hvílir
fjölmiðlasögu	fjölmiðlasögu
Jótlandinu	Jótlandinu
lax	lax
aliönd	aliönd
fjórir	fjórir
hverju	hverju
alur	alur
minntu	minntu
svita	svita
ferð	ferð
gæti	gæti
skipa	skipa
fylli	fylli
iðnaður	iðnaður
fjöldann	fjöldann
lítið	lítið
metin	metin
maurs	maurs
langaði	langaði
dansaði	dansaði
boðin	boðin
Asía	Asía
minna	minna
prúttar	prúttar
yfirheitunum	yfirheitunum
kvöldunum	kvöldunum
skipta	skipta
þerrir	þerrir
þessar	þessar
spjarir	spjarir
lærði	lærði
móðunum	móðunum
skepnan	skepnan
glóbrystinginn	glóbrystinginn
færa	færa
hin	hin
síðu	síðu
tjarnar	tjarnar
kontrabassann	kontrabassann
kasta	kasta
gjósta	gjósta
risa	risa
flokkanna	flokkanna
hefjum	hefjum
æxlununum	æxlununum
síður	síður
sinna	sinna
krossfesti	krossfesti
öndun	öndun
fullreynd	fullreynd
minnisspilið	minnisspilið
raustin	raustin
stund	stund
þakkað	þakkað
tappatogara	tappatogara
frystiskápum	frystiskápum
horn	horn
beilum	beilum
skörð	skörð
sumir	sumir
hvert	hvert
neitaði	neitaði
einhver	einhver
hlutirnir	hlutirnir
borða	borða
liðanna	liðanna
öslaði	öslaði
skýrði	skýrði
styrktu	styrktu
bismútið	bismútið
deyða	deyða
Kristur	Kristur
frjókornanna	frjókornanna
leysti	leysti
plóg	plóg
fórnfæra	fórnfæra
yfirheitin	yfirheitin
hreyfir	hreyfir
nefnist	nefnist
þols	þols
þekkt	þekkt
kostuðu	kostuðu
þeirrar	þeirrar
sérhver	sérhver
stundir	stundir
hengdu	hengdu
neinn	neinn
róðra	róðra
okkarínu	okkarínu
umkringdum	umkringdum
klúðrir	klúðrir
gætt	gætt
vola	vola
karsi	karsi
plokkaði	plokkaði
hrapsins	hrapsins
efaði	efaði
bæjasvöluna	bæjasvöluna
byggði	byggði
hvern	hvern
tvennuna	tvennuna
hjakka	hjakka
grundarinnar	grundarinnar
