fehlen	fehlen
Ochse	Ochse
erniedrigt	erniedrigt
Urteil	Urteil
lobe	lobe
traget	traget
Meine	Meine
spannte	spannte
teilet	teilet
junge	junge
grün	grün
Wollte	Wollte
schießen	schießen
Tat	Tat
erlassen	erlassen
Ordnung	Ordnung
ungehorsame	ungehorsame
wohnest	wohnest
Eiche	Eiche
bekehrt	bekehrt
steigest	steigest
Heeren	Heeren
Kreise	Kreise
schätzte	schätzte
fasset	fasset
erforschest	erforschest
brecht	brecht
steckte	steckte
griffen	griffen
wachet	wachet
verführen	verführen
Ästen	Ästen
stellte	stellte
Fallen	Fallen
Träume	Träume
verstecken	verstecken
trefft	trefft
Empörung	Empörung
Bleibet	Bleibet
schlagt	schlagt
bange	bange
Händen	Händen
Türkis	Türkis
Schild	Schild
empörte	empörte
begehre	begehre
kehrst	kehrst
Sagte	Sagte
Pfeifen	Pfeifen
spracht	spracht
erhebet	erhebet
Lobgesänge	Lobgesänge
eingehet	eingehet
krank	krank
Zäune	Zäune
bekannt	bekannt
laufet	laufet
regieren	regieren
erweckest	erweckest
jungen	jungen
Klagen	Klagen
Last	Last
Gefäßen	Gefäßen
Blitzen	Blitzen
könnest	könnest
harret	harret
flehte	flehte
verwahrst	verwahrst
Fülle	Fülle
Streiten	Streiten
streuen	streuen
baute	baute
Kehre	Kehre
lernet	lernet
pflanzest	pflanzest
eile	eile
suchst	suchst
Dinge	Dinge
untergehst	untergehst
Leset	Leset
Bleibe	Bleibe
recke	recke
bereite	bereite
suchte	suchte
Reizt	Reizt
gebieten	gebieten
predigst	predigst
Gefängnissen	Gefängnissen
Gemeinden	Gemeinden
Gelobt	Gelobt
Hure	Hure
blasen	blasen
anrührt	anrührt
Gibst	Gibst
Gewürzen	Gewürzen
einführen	einführen
Söhnen	Söhnen
gute	gute
grünte	grünte
Saget	Saget
Sieb	Sieb
glaubte	glaubte
handhabt	handhabt
lüge	lüge
vergebet	vergebet
Worte	Worte
Speisen	Speisen
Edelsteine	Edelsteine
Stärke	Stärke
wollten	wollten
entsetzt	entsetzt
trügen	trügen
bezahlest	bezahlest
schickte	schickte
schon	schon
Ecken	Ecken
