valdi	valdi
skrifa	skrifa
þúsundunum	þúsundunum
byggt	byggt
felld	felld
hýstum	hýstum
gangast	gangast
ferð	ferð
flettir	flettir
Látið	Látið
helgast	helgast
greina	greina
tala	tala
skammt	skammt
hlið	hlið
missi	missi
þjást	þjást
drepa	drepa
búna	búna
styrk	styrk
spáði	spáði
starfi	starfi
skýrðu	skýrðu
fengin	fengin
safnast	safnast
sýndu	sýndu
fljótið	fljótið
guði	guði
fært	fært
hýstuð	hýstuð
varðveitast	varðveitast
heimtuð	heimtuð
þekkist	þekkist
vörum	vörum
þvost	þvost
hrærði	hrærði
höfðuð	höfðuð
leggið	leggið
virtuð	virtuð
spilltur	spilltur
gjörir	gjörir
rétt	rétt
ákveðið	ákveðið
minnst	minnst
lagður	lagður
dans	dans
mælist	mælist
horft	horft
komast	komast
kunna	kunna
hætti	hætti
kenndir	kenndir
neyddu	neyddu
notum	notum
klæddum	klæddum
flokkur	flokkur
Munu	Munu
stundum	stundum
akur	akur
skýrt	skýrt
dreif	dreif
valið	valið
gefast	gefast
veittu	veittu
verða	verða
langaði	langaði
leggi	leggi
lokum	lokum
kallast	kallast
hryggist	hryggist
anda	anda
hópur	hópur
Haf	Haf
skil	skil
heita	heita
fara	fara
lagði	lagði
meta	meta
kasta	kasta
náðu	náðu
nota	nota
skjóti	skjóti
þrýstir	þrýstir
kastaði	kastaði
fiska	fiska
muni	muni
leyfði	leyfði
Mun	Mun
sendir	sendir
heyrðir	heyrðir
hengdu	hengdu
kæru	kæru
höfða	höfða
valinn	valinn
vaxi	vaxi
undu	undu
slepptu	slepptu
haga	haga
voru	voru
sýnduð	sýnduð
minnist	minnist
spillti	spillti
skilinn	skilinn
glataði	glataði
keyptu	keyptu
komna	komna
fyllast	fyllast
leyfi	leyfi
málið	málið
háir	háir
mund	mund
kasti	kasti
hugsast	hugsast
Komu	Komu
mundir	mundir
hálsinn	hálsinn
fluttu	fluttu
kastið	kastið
sjúkdóma	sjúkdóma
sendur	sendur
fiskinn	fiskinn
láta	láta
hitt	hitt
hagi	hagi
birtum	birtum
klædduð	klædduð
þoli	þoli
reynist	reynist
þörf	þörf
hafna	hafna
hreinsaði	hreinsaði
nefnda	nefnda
gjörist	gjörist
lýsti	lýsti
fá	fá
neyddur	neyddur
byggðu	byggðu
líkir	líkir
berast	berast
lifðu	lifðu
styrki	styrki
gjörðu	gjörðu
eigist	eigist
greinunum	greinunum
færð	færð
flokkinn	flokkinn
boðin	boðin
helga	helga
skapa	skapa
boða	boða
styrkti	styrkti
færðu	færðu
haldist	haldist
dæmast	dæmast
ritaði	ritaði
flytjast	flytjast
leiddi	leiddi
spilltum	spilltum
gefið	gefið
vissa	vissa
skip	skip
verði	verði
varðveitist	varðveitist
gætir	gætir
biðjast	biðjast
treyst	treyst
leyfðu	leyfðu
spáð	spáð
fylltu	fylltu
máli	máli
dæmdur	dæmdur
hefði	hefði
Leitast	Leitast
birtast	birtast
orðið	orðið
staða	staða
færðuð	færðuð
veitist	veitist
gefin	gefin
sóttu	sóttu
eigna	eigna
safnaði	safnaði
hafði	hafði
heyrðuð	heyrðuð
elska	elska
dána	dána
lifnaður	lifnaður
tjá	tjá
verki	verki
byggist	byggist
tíða	tíða
sendi	sendi
flétta	flétta
finnast	finnast
liðið	liðið
vísu	vísu
skjótast	skjótast
merkti	merkti
búið	búið
sendu	sendu
gjöri	gjöri
breytum	breytum
Leita	Leita
hljómaði	hljómaði
skjótt	skjótt
klæðast	klæðast
gerist	gerist
borðum	borðum
breytt	breytt
met	met
eyða	eyða
misst	misst
færu	færu
líka	líka
reiði	reiði
hvílu	hvílu
ræðu	ræðu
fæðist	fæðist
sett	sett
hengdi	hengdi
segir	segir
leyndi	leyndi
hræddir	hræddir
skipast	skipast
ráða	ráða
heyrðu	heyrðu
rek	rek
þolið	þolið
gætti	gætti
móður	móður
Lík	Lík
gjörður	gjörður
hefur	hefur
freistaði	freistaði
munir	munir
fyllir	fyllir
lýst	lýst
týndur	týndur
ráðum	ráðum
nefnt	nefnt
komist	komist
fundinn	fundinn
líkið	líkið
þol	þol
heitið	heitið
klædda	klædda
skírast	skírast
settum	settum
ákveðin	ákveðin
aldir	aldir
Hafa	Hafa
Kom	Kom
hefðuð	hefðuð
greinum	greinum
valdið	valdið
leitum	leitum
réttur	réttur
styrkist	styrkist
liðinn	liðinn
hulda	hulda
þakka	þakka
áliti	áliti
verk	verk
keypti	keypti
ráði	ráði
breiddi	breiddi
mátt	mátt
fenguð	fenguð
orð	orð
fylltur	fylltur
Munum	Munum
lögðu	lögðu
geta	geta
fundin	fundin
giftast	giftast
fremur	fremur
leysti	leysti
fylla	fylla
drukkna	drukkna
berst	berst
settuð	settuð
seldu	seldu
eyðist	eyðist
veittuð	veittuð
hittu	hittu
vetur	vetur
séum	séum
seldir	seldir
stundir	stundir
hornum	hornum
breidd	breidd
drekk	drekk
kunni	kunni
fiskurinn	fiskurinn
megum	megum
dæmist	dæmist
aukast	aukast
fisk	fisk
gættu	gættu
vísa	vísa
gerast	gerast
keyptir	keyptir
drekkið	drekkið
