ändamålet	ändamålet
glada	glada
berget	berget
Asa	Asa
mättas	mättas
bevarades	bevarades
tryckes	tryckes
övrigt	övrigt
bränna	bränna
sålde	sålde
blodbadet	blodbadet
brunnarna	brunnarna
ställde	ställde
förskräckt	förskräckt
nästa	nästa
vindarna	vindarna
kullar	kullar
vanära	vanära
uppfört	uppfört
taket	taket
utbyta	utbyta
förtära	förtära
slaktades	slaktades
uttåg	uttåg
bortkastade	bortkastade
Råd	Råd
utfärdades	utfärdades
stormade	stormade
järn	järn
Anas	Anas
förre	förre
tjänarna	tjänarna
glädes	glädes
hala	hala
arme	arme
brunnens	brunnens
drypa	drypa
betryckte	betryckte
förvarade	förvarade
närande	närande
dyrkade	dyrkade
behöva	behöva
vitt	vitt
antal	antal
sports	sports
förökades	förökades
hyst	hyst
talar	talar
mäta	mäta
sålden	sålden
sjukt	sjukt
skylde	skylde
snår	snår
kokt	kokt
brännsåret	brännsåret
lämnade	lämnade
höres	höres
hölja	hölja
insatt	insatt
eländet	eländet
blottas	blottas
ära	ära
stillas	stillas
hals	hals
utspridde	utspridde
försvunno	försvunno
förbränna	förbränna
förstånd	förstånd
släppa	släppa
kränkt	kränkt
saknade	saknade
försonas	försonas
syns	syns
fyllas	fyllas
resas	resas
korsfästes	korsfästes
utsträcka	utsträcka
hela	hela
gläds	gläds
gräten	gräten
sliten	sliten
handlar	handlar
svin	svin
sjuke	sjuke
uppgiva	uppgiva
sålda	sålda
sena	sena
gudarna	gudarna
besöka	besöka
blotta	blotta
stänga	stänga
fördärvet	fördärvet
stötes	stötes
kullarna	kullarna
hugga	hugga
torg	torg
avhålle	avhålle
trätt	trätt
gives	gives
väckt	väckt
rullas	rullas
läras	läras
pressar	pressar
klipper	klipper
hyllade	hyllade
fyllen	fyllen
Landet	Landet
hugges	hugges
bestänkt	bestänkt
förbudet	förbudet
skuren	skuren
lända	lända
gästabud	gästabud
vattnade	vattnade
övermod	övermod
tröstade	tröstade
tabernakels	tabernakels
hjul	hjul
Helt	Helt
styrkes	styrkes
trampade	trampade
skuggade	skuggade
tårarna	tårarna
böja	böja
beställt	beställt
möta	möta
fördömde	fördömde
välj	välj
hoppade	hoppade
alltings	alltings
övergive	övergive
friköpt	friköpt
stött	stött
ställa	ställa
kysst	kysst
kallas	kallas
gods	gods
utröna	utröna
flyga	flyga
mätta	mätta
rätta	rätta
tusentals	tusentals
uppenbaras	uppenbaras
fots	fots
avfallen	avfallen
ristade	ristade
förundren	förundren
bäre	bäre
tagen	tagen
gladas	gladas
