козлов	козлов
козлом	козлом
Воздай	Воздай
злословили	злословили
язв	язв
огорчили	огорчили
накормить	накормить
платить	платить
выполним	выполним
предавали	предавали
поем	поем
рули	рули
золотого	золотого
поручи	поручи
молился	молился
чужого	чужого
воспоминать	воспоминать
построили	построили
святая	святая
изменился	изменился
звезде	звезде
укрепите	укрепите
вложить	вложить
исследуй	исследуй
Жертвы	Жертвы
скрытые	скрытые
схватить	схватить
приходить	приходить
беременным	беременным
злак	злак
связанного	связанного
доброю	доброю
имели	имели
гусеницы	гусеницы
лгали	лгали
носильщиков	носильщиков
родился	родился
рак	рак
признает	признает
убийцы	убийцы
предложи	предложи
пчелы	пчелы
служанке	служанке
молчите	молчите
исчислите	исчислите
бросился	бросился
скал	скал
войском	войском
преданным	преданным
госпоже	госпоже
считать	считать
воспой	воспой
глазу	глазу
напоила	напоила
нечисты	нечисты
птенцах	птенцах
наставить	наставить
предавай	предавай
берете	берете
венце	венце
втором	втором
века	века
затворила	затворила
прилагайте	прилагайте
входите	входите
поднимали	поднимали
замедлить	замедлить
похоронили	похоронили
воспоминайте	воспоминайте
ртом	ртом
благодарили	благодарили
сухою	сухою
прости	прости
испытанных	испытанных
носите	носите
подходить	подходить
Тире	Тире
открывайте	открывайте
собранный	собранный
замерло	замерло
призванным	призванным
остановился	остановился
берет	берет
одержимого	одержимого
безумные	безумные
разорили	разорили
принесло	принесло
возлег	возлег
передвигает	передвигает
Ханаанскою	Ханаанскою
Воздайте	Воздайте
воротился	воротился
добре	добре
искупи	искупи
переносить	переносить
тварь	тварь
усилили	усилили
любимое	любимое
вела	вела
чудным	чудным
приблизить	приблизить
дополните	дополните
изгоняли	изгоняли
открытою	открытою
крыле	крыле
Духе	Духе
порядка	порядка
пророчествуй	пророчествуй
опустили	опустили
спустила	спустила
подумали	подумали
фараон	фараон
онемеют	онемеют
посвятила	посвятила
любим	любим
помышляли	помышляли
были	были
хвалите	хвалите
обратила	обратила
ставила	ставила
устремили	устремили
заключи	заключи
приучила	приучила
сделай	сделай
имело	имело
